# variable: Total Cloud Cover
# units: percent
# 
| fcst_hour |      1 |      2 |      3 |      4 |      5 |      6 |      7 |      8 |      9 |     10 |     11 |    12 |     13 |     14 |     15 |     16 |     17 |     18 |     19 |     20 |     21 |     22 |     23 |     24 |     25 |     26 |     27 |     28 |     29 |     30 |     31 |     32 |     33 |     34 |     35 |     36 |     37 |     38 |     39 |     40 |
|         0 |   4.97 |   0.21 |  16.09 |      0 |  24.23 |   2.68 |  10.84 |      0 |  46.84 |  18.44 |   1.23 | 44.97 |   6.02 |  30.06 |   6.41 |      0 |   9.71 |  11.44 |   7.36 |  54.46 |  37.49 |      0 |  79.30 |      0 |  21.25 |      0 |      0 |  19.21 |  27.28 |   9.89 |      0 |   5.12 |  19.79 |  61.54 | 100.00 |   8.30 |   6.47 |  57.82 |   9.27 |  56.69 |
|         1 |   6.12 |   2.50 |  24.89 |   5.20 |  35.56 |   9.66 |  16.80 |   5.04 |  51.85 |  41.31 |  14.03 | 45.58 |   5.75 |  32.97 |  24.61 |   2.82 |   5.57 |   4.10 |  32.81 |  64.40 |  20.85 |      0 |  28.62 |      0 |  15.73 |      0 |      0 |  39.61 |  40.47 |   8.12 |      0 |  10.12 |  41.93 |  63.28 |  10.80 |  18.80 |  21.62 |  68.50 |  18.52 |  41.08 |
|         2 |  13.66 |   9.25 |  35.31 |  19.44 |  45.01 |  68.69 |  34.90 |  23.76 |  60.39 |  64.06 |  24.38 | 53.20 |  29.17 |  36.61 |  45.48 |   5.94 |  14.98 |   1.12 |  53.43 |  77.83 |  39.61 |  22.33 |  36.40 |   6.46 |   9.46 |  26.91 |   2.28 |  50.51 |  60.09 |  13.71 |   8.30 |  23.83 |  65.11 |  65.04 |  43.84 |  26.95 |  38.90 |  75.09 |  33.24 |  39.55 |
|         3 |  23.22 |  34.40 |  42.80 |  29.75 |  50.49 |  95.23 |  30.63 |  37.79 |  72.68 |  80.99 |  29.33 | 58.52 |  41.14 |  52.80 |  49.22 |   1.96 |  18.65 |   1.74 |  58.22 |  83.78 |  54.39 |  28.64 |  42.60 |  27.62 |  24.07 |  40.90 |  13.41 |  54.74 |  66.76 |  16.20 |  20.78 |  33.77 |  83.38 |  73.86 |  58.39 |  37.29 |  46.17 |  79.23 |  45.71 |  40.70 |
|         4 |  23.76 |  63.94 |  51.93 |  27.77 |  38.46 |  66.25 |  39.22 |  36.40 |  76.69 |  67.28 |  20.54 | 41.27 |  33.09 |  74.09 |  31.99 |  12.92 |  37.03 |  12.03 |  39.53 |  72.08 |  55.80 |  28.81 |  59.94 |  47.28 |  71.79 |  33.32 |  16.00 |  53.90 |  58.19 |  21.31 |  15.50 |  29.90 |  88.92 |  78.78 |  53.93 |  50.03 |  43.39 |  73.34 |  45.66 |  43.43 |
|         5 |  25.74 |  74.38 |  36.08 |   9.19 |  21.08 |  68.60 |  27.47 |  35.39 |  71.78 |  45.49 |   2.93 |  8.24 |  15.21 |  43.24 |   3.18 |   9.43 |  48.61 |  11.68 |  25.00 |  56.71 |  32.27 |  18.19 |  50.06 |  39.59 |  82.22 |  22.80 |  15.40 |  48.32 |  31.96 |  25.28 |  31.39 |  20.02 |  50.40 |  69.95 |  31.61 |  42.21 |  17.03 |  66.79 |  28.58 |  25.01 |
|         6 |      0 |  48.73 |   6.15 |   9.63 |  12.75 |  31.94 |  21.51 |   5.99 |   5.80 |  37.63 |   0.29 |  5.43 |   1.67 |   7.68 |   2.60 |   2.85 |  46.94 |   6.71 |  14.00 |  38.44 |   5.46 |   8.79 |   2.18 |  62.25 |  59.75 |  14.02 |  13.40 |  34.07 |  17.58 |  15.16 |  39.76 |  30.89 |   1.07 |  50.86 |  41.04 |  35.79 |   0.76 |  58.90 |  19.99 |   2.47 |
|         7 |      0 |  39.23 |      0 |  24.98 |  16.25 |   9.41 |  15.96 |   2.34 |      0 |   4.57 |      0 |  1.92 |   0.30 |   2.58 |   5.48 |      0 |   0.97 |   3.31 |   7.82 |  10.35 |      0 |   9.24 |      0 |  69.81 |  35.12 |   4.47 |   1.15 |   7.52 |   2.33 |  21.19 |  35.19 |  23.47 |   2.64 |      0 |  35.95 |   3.11 |   0.18 |  10.86 |  41.49 |  12.03 |
|         8 |      0 |  22.86 |      0 |  17.58 |   3.18 |   1.97 |  14.21 |   0.62 |      0 |   0.37 |      0 |  0.49 |   4.80 |   1.77 |   1.28 |      0 |   6.74 |   9.78 |   5.66 |   9.36 |      0 |   8.79 |      0 |   6.08 |  80.06 |   2.64 |      0 |      0 |      0 |  20.11 |  30.26 |  13.12 |   2.42 |      0 |  24.56 |   8.85 |   0.45 |      0 |  80.99 |   7.11 |
|         9 |      0 |  36.23 |      0 |  43.25 |   0.68 |      0 |  22.76 |      0 |      0 |      0 |      0 |  0.23 |  12.01 |      0 |   0.95 |   1.46 |  16.30 |   8.40 |   9.00 |  14.85 |      0 |   2.24 |      0 |      0 | 100.00 |      0 |      0 |      0 |      0 |   7.48 |   8.68 |   4.51 |   1.44 |      0 |  11.73 |   1.43 |      0 |      0 | 100.00 |      0 |
|        10 |   3.13 |  39.30 |      0 |  12.36 |      0 |   7.69 |  13.77 |      0 |      0 |   1.20 |      0 |     0 |   7.66 |      0 |   7.24 |   0.82 |   0.53 |   7.05 |  21.31 |  12.41 |  10.93 |      0 |      0 |      0 |  47.58 |      0 |   3.60 |      0 |      0 |   0.19 |  10.92 |      0 |   3.10 |      0 |  17.67 |      0 |      0 |   5.21 | 100.00 |      0 |
