# variable: Total Cloud Cover
# units: percent
# 
| fcst_hour |      1 |      2 |     3 |      4 |      5 |      6 |      7 |      8 |      9 |     10 |     11 |     12 |     13 |     14 |     15 |     16 |     17 |     18 |     19 |     20 |     21 |     22 |     23 |     24 |     25 |     26 |     27 |     28 |     29 |     30 |     31 |     32 |     33 |     34 |     35 |     36 |     37 |     38 |     39 |     40 |
|         0 |  52.37 |  50.06 | 64.40 |  62.71 |  59.92 |  53.92 |  44.65 |  62.39 |  66.29 |  58.17 |  69.52 |  66.96 |  57.76 |  62.26 |  58.18 |  66.47 |  45.69 |  58.20 |  58.78 |  54.18 |  60.89 |  52.98 |  70.82 |  65.31 |  57.70 |  64.06 |  58.86 |  60.22 |  52.96 |  55.47 |  49.06 |  42.79 |  52.54 |  78.83 |  63.97 |  72.42 |  62.41 |  54.65 |  66.05 |  54.98 |
|         1 |  47.68 |  62.43 | 54.91 |  42.84 |  63.80 |  50.39 |  32.03 |  63.69 |  62.62 |  63.82 |  66.20 |  66.65 |  56.29 |  67.05 |  54.48 |  74.81 |  38.00 |  65.71 |  59.64 |  61.64 |  63.04 |  56.67 |  78.27 |  66.54 |  55.11 |  70.07 |  58.53 |  59.19 |  63.17 |  65.24 |  59.14 |  34.48 |  40.75 |  77.47 |  65.23 |  42.07 |  68.41 |  63.73 |  65.59 |  68.67 |
|         2 |  61.12 |  67.41 | 53.61 |  75.20 |  65.23 |  72.94 |  48.23 |  69.01 |  61.29 |  64.83 |  67.93 |  65.08 |  60.79 |  64.14 |  54.37 |  82.23 |  74.51 |  68.14 |  61.50 |  69.23 |  70.30 |  61.50 |  76.00 |  59.93 |  61.13 |  58.55 |  63.40 |  71.09 |  62.52 |  73.14 |  65.81 |  53.57 |  43.16 |  75.46 |  55.57 |  73.14 |  67.19 |  65.75 |  57.69 |  61.70 |
|         3 |  77.86 |  67.32 | 72.82 |  58.15 |  64.64 |  73.49 |  59.20 |  61.11 |  75.32 |  57.80 |  67.18 |  63.11 |  60.33 |  62.11 |  55.86 |  83.90 |  65.36 |  83.20 |  56.28 |  65.86 |  78.48 |  63.17 |  76.74 |  57.91 |  82.26 |  64.29 |  68.94 |  66.33 |  63.36 |  63.14 |  66.01 |  63.30 |  38.85 |  73.94 |  59.15 |  80.49 |  56.15 |  67.50 |  53.72 |  61.76 |
|         4 |  45.18 |  61.09 | 62.40 |  60.17 |  54.57 |  56.74 |  65.87 |  54.36 |  52.04 |  58.04 |  69.70 |  59.48 |  59.56 |  59.72 |  71.98 |  75.62 |  56.19 |  59.57 |  52.59 |  64.18 |  79.52 |  60.23 |  77.36 |  49.86 |  70.11 |  70.41 |  66.29 |  67.82 |  61.23 |  61.47 |  60.79 |  65.35 |  26.61 |  80.72 |  69.34 |  82.53 |  57.92 |  63.77 |  64.37 |  64.28 |
|         5 |  59.01 |  55.55 | 60.89 |  81.79 |  41.48 |  12.74 |  45.76 |  64.24 |  62.33 |  60.05 |  47.77 |  76.61 |  63.03 |  72.63 |  67.24 |  84.81 |  46.28 |  76.71 |  52.10 |  68.40 |  62.36 |  60.25 |  72.38 |  39.33 |  63.81 |  75.80 |  81.89 |  56.57 |  62.54 |  75.98 |  64.33 |  67.29 |  48.74 |  87.47 |  57.77 |  80.19 |  65.10 |  71.41 |  72.50 |  72.42 |
|         6 |  80.59 |  58.76 | 49.03 |  68.31 |  56.53 |  42.90 |  66.46 |  80.43 |  84.96 |  72.72 |  77.32 |  97.24 |  69.85 |  42.69 |  62.04 |  76.85 |  55.29 |  82.96 |  59.44 |  63.29 |  87.71 |  64.11 |  85.25 |  66.63 |  70.97 |  73.07 |  77.09 |  72.54 |  67.34 |  82.11 |  70.63 |  78.97 |  68.09 |  94.16 |  44.89 |  89.28 |  66.72 |  66.05 |  61.44 |  78.10 |
|         7 |  70.93 |  83.35 | 71.24 |  65.47 |  44.21 |  62.59 |  58.39 |  66.62 |  73.58 |  96.14 |  79.24 |  96.20 |  81.73 |  36.13 |  42.98 |  77.51 |  65.54 |  85.35 |  74.50 |  78.36 |  83.67 |  66.18 |  83.53 |  52.29 |  41.42 |  70.40 |  52.52 |  77.09 |  75.49 |  72.64 |  60.53 |  58.68 |  51.96 |  91.77 |  56.73 |  82.45 |  67.47 |  72.92 |  62.70 |  75.86 |
|         8 |  66.79 |  70.63 | 76.87 |  77.57 |  65.79 |  99.75 |  50.29 |  80.69 |  91.17 |  88.35 |  70.67 | 100.00 |  66.16 |  63.14 |  68.61 |  69.43 |  64.41 |  76.19 |  73.91 |  54.95 |  75.35 |  62.79 |  94.78 |  57.19 |  58.29 |  55.95 |  79.97 |  88.56 |  54.67 |  87.53 |  37.74 |  18.31 |  66.20 |  82.60 |  82.92 |  85.69 |  71.87 |  90.49 |  76.44 |  93.30 |
|         9 |  55.28 |  57.02 | 82.95 |  85.32 |  86.67 |  84.70 |  76.05 |  95.18 |  89.52 |  96.97 |  55.55 | 100.00 |  53.04 |  66.59 |  86.32 |  84.53 |  79.08 |  87.40 |  85.20 |  87.15 |  71.90 |  48.86 |  91.03 |  83.62 |  79.17 |  70.58 |  86.57 |  77.78 |  70.29 |  75.96 |  30.56 |  35.46 |  87.61 |  87.44 |  85.86 |  87.30 |  97.96 |  81.82 |  82.04 |  87.77 |
