# variable: Momentary Wind Speed at 10m
# units: km/h
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |   25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |   36 |    37 |    38 |    39 |    40 |
|         0 |  5.10 |  4.80 |  4.34 |  3.85 |  4.19 |  3.92 |  4.62 |  4.55 |  3.54 |  3.81 |  4.71 |  4.44 |  5.02 |  3.57 |  3.34 |  5.06 |  3.76 |  5.44 |  4.46 |  3.75 |  3.67 |  4.60 |  3.86 |  4.27 | 3.55 |  4.79 |  3.87 |  4.06 |  4.20 |  4.71 |  4.56 |  3.87 |  4.23 |  3.09 |  4.46 | 3.78 |  4.72 |  4.65 |  4.10 |  4.47 |
|         1 |  4.78 |  4.32 |  3.59 |  3.28 |  3.60 |  3.50 |  3.93 |  4.39 |  2.99 |  3.22 |  4.26 |  3.81 |  4.33 |  3.01 |  2.87 |  4.57 |  2.93 |  4.72 |  3.95 |  3.27 |  3.00 |  4.26 |  3.46 |  3.72 | 3.11 |  4.38 |  3.48 |  3.56 |  3.82 |  4.19 |  3.97 |  3.01 |  4.02 |  2.67 |  4.15 | 3.23 |  4.13 |  4.20 |  3.37 |  3.88 |
|         2 |  4.63 |  3.95 |  3.18 |  3.18 |  3.42 |  3.11 |  3.64 |  4.28 |  3.08 |  2.75 |  3.97 |  3.33 |  4.22 |  2.60 |  2.85 |  4.26 |  2.18 |  4.39 |  3.68 |  2.93 |  2.59 |  3.98 |  3.42 |  3.14 | 2.89 |  3.82 |  3.25 |  3.26 |  3.61 |  3.76 |  3.53 |  2.46 |  4.11 |  2.32 |  3.93 | 2.84 |  3.86 |  3.93 |  2.86 |  3.54 |
|         3 |  4.44 |  3.46 |  3.06 |  3.23 |  3.38 |  2.64 |  3.42 |  4.07 |  2.61 |  2.27 |  3.73 |  3.09 |  4.01 |  2.46 |  2.53 |  3.92 |  1.97 |  4.31 |  3.23 |  2.63 |  2.24 |  3.70 |  3.28 |  2.69 | 2.47 |  3.32 |  2.76 |  3.21 |  3.34 |  3.49 |  2.83 |  2.29 |  3.93 |  2.29 |  3.88 | 2.48 |  3.84 |  3.67 |  2.82 |  3.01 |
|         4 |  4.44 |  3.02 |  2.99 |  3.39 |  3.64 |  2.65 |  3.06 |  3.87 |  2.68 |  1.88 |  3.58 |  2.87 |  3.89 |  2.38 |  2.57 |  3.67 |  1.90 |  4.29 |  2.83 |  2.25 |  2.56 |  3.19 |  3.49 |  2.68 | 2.15 |  2.85 |  2.49 |  2.95 |  2.94 |  3.48 |  2.60 |  1.86 |  3.78 |  2.22 |  3.87 | 2.50 |  3.69 |  3.38 |  3.33 |  2.66 |
|         5 |  4.43 |  2.68 |  2.28 |  2.68 |  3.63 |  2.53 |  2.78 |  3.64 |  2.81 |  1.17 |  3.18 |  2.29 |  3.67 |  2.30 |  2.24 |  3.44 |  1.69 |  4.05 |  2.56 |  1.91 |  2.74 |  2.63 |  3.16 |  2.47 | 2.01 |  2.79 |  2.15 |  2.51 |  2.74 |  3.45 |  2.14 |  1.84 |  3.55 |  1.57 |  3.78 | 1.98 |  3.59 |  3.19 |  2.97 |  2.59 |
|         6 |  4.34 |  2.56 |  1.94 |  2.41 |  3.07 |  2.12 |  2.81 |  3.39 |  2.38 |  0.74 |  2.89 |  1.86 |  3.43 |  2.07 |  2.23 |  3.05 |  1.70 |  3.51 |  2.14 |  1.22 |  2.84 |  2.30 |  2.78 |  2.17 | 2.08 |  2.57 |  1.91 |  2.36 |  2.46 |  3.09 |  2.18 |  1.75 |  3.27 |  1.42 |  3.61 | 1.42 |  3.06 |  2.94 |  2.25 |  2.57 |
|         7 |  4.75 |  2.08 |  1.87 |  1.26 |  2.52 |  2.15 |  3.03 |  3.97 |  2.20 |  0.35 |  3.23 |  1.63 |  3.84 |  1.47 |  1.58 |  2.93 |  2.41 |  3.67 |  1.60 |  0.51 |  2.12 |  2.33 |  2.28 |  0.79 | 1.36 |  2.55 |  1.42 |  1.71 |  1.76 |  3.08 |  1.58 |  0.86 |  3.25 |  1.08 |  4.42 | 0.91 |  3.69 |  2.34 |  1.54 |  2.30 |
|         8 |  4.24 |  1.19 |  0.56 |  1.36 |  3.37 |  1.68 |  1.48 |  3.30 |  2.37 |  2.74 |  2.81 |  0.39 |  3.51 |  0.74 |  2.85 |  2.50 |  1.50 |  3.04 |  1.30 |  2.02 |  2.73 |  1.69 |  3.89 |  0.77 | 1.75 |  1.79 |  1.73 |  3.06 |  2.17 |  2.37 |  1.49 |  1.07 |  1.97 |  1.56 |  3.83 | 1.89 |  3.33 |  2.75 |  1.78 |  1.73 |
|         9 |  5.33 |  1.70 |  1.55 |  1.47 |  4.22 |  2.22 |  1.36 |  3.14 |  3.96 |  4.16 |  2.80 |  1.24 |  4.08 |  0.78 |  3.00 |  2.19 |  1.60 |  4.22 |  0.84 |  2.71 |  2.71 |  1.35 |  2.98 |  1.29 | 1.85 |  1.34 |  1.67 |  4.32 |  2.61 |  2.47 |  1.64 |  1.23 |  2.41 |  1.98 |  3.83 | 2.29 |  4.18 |  3.21 |  2.28 |  1.27 |
|        10 |  7.11 |  3.05 |  2.81 |  2.47 |  5.68 |  3.03 |  1.93 |  3.25 |  5.52 |  3.70 |  4.60 |  3.44 |  4.88 |  0.80 |  5.05 |  3.07 |  2.46 |  6.29 |  1.14 |  2.99 |  5.02 |  2.05 |  3.94 |  3.29 | 4.24 |  4.13 |  3.76 |  6.01 |  4.14 |  4.50 |  3.64 |  1.37 |  4.03 |  2.22 |  4.59 | 2.05 |  5.96 |  4.47 |  4.82 |  3.03 |
|        11 |  8.75 |  6.79 |  4.94 |  4.49 |  7.24 |  5.19 |  3.51 |  4.48 |  6.41 |  2.83 |  6.43 |  4.88 |  5.98 |  1.99 |  5.94 |  4.88 |  3.02 |  7.81 |  2.93 |  3.54 |  5.99 |  3.25 |  4.84 |  5.36 | 6.22 |  6.34 |  6.54 |  7.15 |  5.23 |  7.47 |  4.83 |  2.77 |  5.63 |  3.66 |  4.58 | 3.00 |  6.57 |  6.22 |  6.78 |  5.01 |
|        12 |  9.13 |  8.16 |  5.63 |  5.59 |  8.17 |  6.44 |  3.99 |  6.66 |  6.88 |  2.83 |  7.19 |  5.40 |  6.68 |  3.83 |  6.38 |  6.65 |  3.59 |  8.22 |  4.21 |  4.36 |  7.27 |  4.48 |  6.54 |  6.33 | 7.02 |  6.86 |  7.88 |  7.35 |  5.65 |  8.74 |  5.80 |  3.51 |  6.33 |  5.03 |  4.62 | 4.50 |  6.78 |  6.69 |  7.91 |  5.83 |
|        13 |  9.00 |  8.52 |  5.98 |  6.84 |  8.60 |  7.21 |  4.20 |  7.75 |  7.32 |  4.39 |  8.61 |  5.62 |  7.48 |  5.23 |  7.19 |  7.42 |  4.54 |  8.96 |  4.80 |  5.52 |  8.80 |  4.79 |  7.56 |  7.38 | 7.81 |  7.01 |  8.65 |  7.19 |  6.13 |  9.05 |  6.84 |  4.25 |  7.19 |  6.15 |  5.11 | 6.57 |  7.21 |  7.07 |  8.38 |  6.31 |
|        14 |  8.67 |  8.63 |  6.74 |  7.71 |  9.04 |  7.89 |  4.28 |  8.08 |  7.44 |  6.14 |  8.65 |  6.50 |  7.50 |  7.06 |  7.65 |  8.09 |  5.87 |  8.82 |  6.37 |  6.74 |  9.32 |  5.67 |  8.43 |  7.98 | 8.47 |  7.39 |  8.87 |  7.49 |  6.47 |  9.41 |  7.22 |  4.91 |  7.57 |  6.39 |  6.19 | 7.97 |  7.19 |  7.48 |  8.25 |  6.72 |
|        15 |  8.64 |  8.43 |  6.70 |  8.04 |  8.83 |  8.10 |  4.32 |  7.71 |  7.42 |  6.58 |  8.59 |  6.95 |  7.87 |  7.88 |  7.39 |  8.34 |  6.78 |  8.91 |  7.22 |  7.34 |  9.38 |  6.14 |  8.91 |  8.13 | 8.68 |  7.28 |  8.74 |  8.00 |  7.27 |  9.53 |  7.31 |  5.00 |  7.35 |  6.21 |  6.57 | 8.27 |  6.98 |  7.56 |  7.47 |  7.14 |
|        16 |  7.29 |  7.51 |  6.17 |  6.73 |  7.66 |  7.44 |  3.99 |  6.91 |  6.73 |  6.14 |  7.71 |  6.41 |  6.89 |  8.17 |  6.53 |  7.39 |  6.79 |  8.27 |  6.81 |  6.97 |  8.82 |  5.49 |  8.28 |  7.55 | 7.65 |  6.26 |  7.94 |  8.08 |  6.55 |  8.77 |  6.95 |  5.12 |  6.18 |  5.51 |  6.34 | 7.24 |  6.05 |  6.99 |  6.34 |  6.73 |
|        17 |  3.70 |  4.36 |  3.93 |  2.96 |  3.62 |  3.84 |  2.86 |  4.20 |  4.27 |  4.92 |  4.53 |  3.97 |  2.95 |  5.02 |  3.36 |  3.38 |  4.14 |  5.06 |  4.01 |  4.66 |  5.04 |  2.98 |  4.26 |  4.30 | 3.73 |  3.24 |  5.20 |  4.61 |  3.50 |  5.70 |  4.19 |  3.71 |  2.82 |  2.22 |  3.00 | 4.12 |  2.89 |  4.38 |  3.16 |  4.40 |
|        18 |  2.08 |  2.63 |  3.22 |  2.10 |  2.72 |  1.60 |  3.03 |  4.61 |  2.60 |  4.56 |  3.19 |  2.75 |  0.84 |  2.96 |  2.66 |  0.73 |  2.91 |  3.10 |  2.29 |  4.71 |  3.81 |  1.95 |  3.04 |  2.99 | 2.50 |  0.27 |  3.01 |  2.16 |  2.22 |  2.56 |  3.12 |  2.80 |  0.61 |  0.70 |  0.81 | 2.39 |  3.63 |  3.38 |  2.05 |  3.39 |
|        19 |  3.93 |  2.50 |  1.98 |  2.60 |  4.40 |  1.16 |  2.12 |  4.74 |  0.35 |  3.65 |  3.70 |  0.70 |  1.80 |  2.92 |  2.69 |  3.10 |  3.47 |  2.25 |  1.55 |  4.54 |  4.62 |  2.40 |  4.28 |  1.54 | 1.79 |  1.66 |  2.12 |  2.30 |  3.00 |  2.73 |  3.79 |  1.32 |  2.51 |  2.82 |  1.94 | 1.47 |  5.01 |  2.86 |  2.12 |  2.04 |
|        20 |  4.48 |  3.71 |  1.35 |  2.65 |  3.44 |  2.32 |  2.13 |  4.16 |  0.49 |  2.47 |  4.18 |  2.11 |  1.72 |  3.26 |  2.78 |  3.77 |  4.09 |  2.94 |  2.66 |  3.59 |  4.49 |  3.45 |  3.81 |  3.31 | 2.99 |  1.86 |  2.90 |  1.87 |  3.29 |  3.53 |  4.39 |  2.24 |  2.68 |  2.64 |  1.00 | 2.73 |  4.42 |  3.83 |  3.37 |  3.62 |
|        21 |  2.83 |  2.95 |  0.27 |  1.54 |  2.37 |  2.02 |  2.77 |  3.84 |  0.68 |  1.49 |  3.09 |  1.58 |  0.72 |  2.29 |  2.25 |  3.18 |  3.06 |  2.52 |  2.19 |  3.05 |  3.33 |  2.03 |  2.24 |  3.33 | 2.71 |  1.54 |  2.26 |  0.64 |  2.42 |  2.76 |  3.42 |  0.76 |  3.53 |  1.70 |  0.56 | 2.65 |  3.07 |  3.22 |  1.23 |  2.69 |
|        22 |  1.79 |  2.39 |  0.89 |  1.51 |  1.68 |  1.22 |  1.13 |  3.57 |  1.75 |  1.04 |  2.42 |  1.29 |  0.81 |  2.44 |  1.71 |  2.06 |  2.37 |  1.93 |  1.53 |  3.52 |  2.47 |  1.75 |  2.29 |  1.79 | 1.53 |  1.34 |  1.44 |  1.70 |  1.94 |  2.21 |  3.03 |  1.14 |  3.06 |  1.44 |  1.05 | 2.64 |  2.59 |  2.73 |  1.15 |  1.70 |
|        23 |  1.48 |  1.34 |  1.97 |  1.91 |  1.04 |  1.15 |  0.74 |  2.77 |  2.84 |  2.56 |  1.40 |  1.19 |  1.36 |  2.65 |  1.69 |  0.89 |  2.49 |  2.06 |  1.75 |  4.29 |  1.53 |  0.96 |  2.16 |  1.33 | 1.69 |  0.90 |  1.40 |  1.76 |  1.55 |  1.41 |  1.90 |  2.14 |  0.88 |  1.34 |  1.61 | 3.36 |  1.21 |  1.46 |  1.85 |  2.26 |
|        24 |  0.98 |  1.88 |  3.01 |  2.17 |  1.59 |  3.07 |  2.47 |  1.86 |  3.64 |  3.53 |  0.97 |  1.55 |  2.10 |  2.47 |  1.93 |  1.27 |  3.04 |  2.62 |  1.93 |  4.98 |  1.18 |  1.78 |  1.73 |  1.13 | 1.30 |  1.24 |  1.98 |  1.78 |  2.15 |  1.15 |  0.78 |  1.81 |  1.04 |  1.15 |  2.36 | 3.89 |  0.64 |  1.97 |  2.41 |  2.11 |
|        25 |  1.05 |  3.12 |  3.60 |  1.40 |  2.01 |  3.35 |  2.54 |  1.42 |  3.41 |  3.71 |  1.29 |  2.43 |  2.57 |  2.99 |  1.21 |  0.78 |  4.16 |  3.26 |  1.73 |  4.67 |  0.47 |  2.28 |  1.88 |  0.97 | 1.35 |  2.00 |  2.50 |  2.57 |  2.43 |  1.35 |  0.54 |  1.25 |  2.46 |  1.07 |  3.42 | 4.05 |  0.90 |  0.73 |  2.67 |  0.85 |
|        26 |  2.58 |  3.75 |  3.84 |  1.96 |  2.95 |  3.49 |  2.57 |  0.46 |  2.91 |  3.93 |  2.29 |  3.14 |  2.94 |  3.48 |  1.05 |  1.27 |  4.93 |  3.66 |  2.14 |  4.87 |  0.09 |  2.58 |  2.16 |  1.38 | 1.25 |  2.06 |  3.24 |  2.75 |  2.70 |  1.58 |  1.97 |  1.43 |  3.24 |  1.24 |  3.49 | 4.61 |  0.29 |  1.15 |  2.57 |  1.96 |
|        27 |  2.56 |  2.83 |  3.76 |  1.71 |  2.71 |  3.49 |  2.99 |  1.24 |  2.71 |  3.57 |  2.18 |  3.05 |  3.10 |  3.39 |  1.74 |  2.19 |  4.24 |  3.42 |  2.43 |  4.29 |  0.93 |  2.63 |  2.51 |  1.16 | 1.17 |  1.90 |  3.58 |  2.16 |  3.27 |  1.64 |  2.49 |  1.38 |  3.11 |  1.91 |  3.54 | 3.75 |  0.52 |  1.51 |  2.66 |  2.31 |
|        28 |  2.28 |  2.81 |  3.51 |  2.09 |  2.32 |  4.12 |  2.47 |  1.83 |  3.24 |  3.64 |  2.10 |  3.24 |  2.75 |  3.81 |  1.99 |  3.03 |  4.07 |  3.08 |  2.86 |  4.39 |  1.90 |  2.49 |  3.13 |  1.17 | 1.29 |  2.61 |  3.68 |  2.18 |  3.43 |  2.17 |  2.57 |  1.24 |  3.22 |  2.25 |  3.69 | 3.71 |  1.00 |  1.76 |  2.67 |  3.21 |
