# variable: Momentary Wind Speed at 10m
# units: km/h
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |   12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |   30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  2.77 |  2.66 |  3.50 |  2.44 |  2.80 |  1.76 |  1.73 |  1.09 |  2.93 |  3.26 |  3.47 | 3.56 |  1.35 |  1.89 |  1.96 |  4.09 |  3.20 |  1.67 |  1.99 |  3.65 |  1.27 |  3.78 |  2.94 |  2.62 |  1.79 |  2.52 |  2.69 |  3.21 |  2.59 | 3.10 |  1.65 |  2.94 |  1.26 |  2.79 |  3.60 |  3.91 |  1.98 |  1.93 |  2.32 |  3.81 |
|         1 |  3.59 |  2.92 |  3.68 |  2.04 |  2.93 |  2.54 |  1.05 |  1.34 |  3.20 |  3.24 |  3.81 | 3.42 |  0.84 |  2.28 |  1.82 |  4.12 |  3.74 |  1.42 |  2.20 |  4.14 |  1.01 |  3.79 |  2.81 |  2.19 |  1.36 |  3.00 |  2.36 |  3.20 |  2.48 | 2.69 |  2.04 |  3.25 |  1.62 |  2.55 |  3.54 |  3.85 |  1.71 |  1.46 |  2.64 |  3.83 |
|         2 |  4.04 |  2.94 |  3.51 |  1.53 |  3.06 |  2.65 |  1.05 |  1.78 |  3.57 |  2.77 |  3.72 | 3.37 |  1.49 |  1.80 |  1.46 |  4.18 |  4.24 |  1.05 |  1.98 |  3.94 |  1.69 |  3.84 |  2.90 |  2.26 |  0.87 |  3.31 |  2.55 |  2.88 |  2.90 | 2.16 |  2.63 |  3.47 |  1.64 |  2.48 |  3.24 |  3.71 |  1.79 |  1.52 |  2.58 |  3.60 |
|         3 |  3.81 |  3.33 |  3.68 |  1.50 |  3.54 |  2.86 |  0.74 |  2.25 |  3.63 |  2.63 |  3.85 | 3.49 |  2.19 |  1.45 |  1.59 |  4.27 |  3.76 |  1.16 |  1.92 |  3.94 |  2.00 |  4.17 |  3.26 |  2.25 |  1.23 |  3.34 |  3.13 |  2.81 |  3.14 | 1.76 |  3.33 |  3.76 |  1.83 |  2.66 |  3.40 |  3.71 |  2.15 |  1.37 |  2.67 |  3.17 |
|         4 |  4.07 |  4.24 |  4.28 |  1.64 |  3.62 |  3.64 |  1.68 |  3.35 |  3.93 |  3.14 |  4.12 | 4.23 |  3.72 |  2.35 |  2.88 |  4.24 |  3.84 |  2.27 |  2.89 |  4.02 |  2.53 |  4.73 |  3.42 |  2.56 |  3.22 |  3.41 |  4.01 |  3.37 |  3.65 | 2.59 |  4.23 |  4.10 |  3.26 |  3.12 |  4.27 |  4.05 |  2.44 |  2.37 |  3.30 |  3.18 |
|         5 |  3.75 |  3.72 |  3.88 |  1.54 |  3.09 |  3.44 |  2.20 |  3.40 |  3.60 |  3.39 |  4.13 | 4.00 |  3.75 |  2.81 |  3.09 |  4.09 |  3.61 |  2.47 |  2.83 |  3.58 |  2.26 |  4.40 |  3.43 |  1.85 |  3.83 |  2.96 |  4.12 |  2.98 |  3.52 | 3.18 |  4.09 |  3.90 |  3.36 |  3.11 |  3.43 |  3.84 |  2.58 |  3.51 |  2.97 |  3.31 |
|         6 |  3.73 |  3.85 |  3.66 |  2.04 |  2.73 |  3.31 |  2.79 |  3.46 |  3.97 |  3.56 |  3.76 | 3.46 |  3.70 |  3.25 |  2.95 |  4.18 |  3.58 |  2.68 |  3.15 |  3.61 |  2.24 |  3.65 |  3.10 |  1.69 |  3.74 |  2.95 |  3.79 |  2.72 |  3.48 | 3.03 |  4.47 |  3.82 |  3.28 |  3.20 |  3.40 |  3.70 |  2.65 |  2.77 |  2.64 |  3.17 |
|         7 |  4.15 |  4.26 |  4.55 |  1.32 |  3.17 |  3.86 |  3.66 |  3.50 |  4.45 |  4.46 |  4.85 | 4.39 |  4.16 |  4.03 |  3.39 |  4.83 |  5.11 |  3.84 |  3.78 |  4.55 |  3.88 |  4.36 |  3.75 |  1.58 |  4.14 |  3.53 |  4.21 |  4.47 |  4.45 | 3.76 |  5.67 |  5.15 |  3.54 |  4.30 |  4.91 |  5.14 |  2.17 |  3.17 |  2.58 |  4.44 |
|         8 |  6.23 |  6.17 |  6.57 |  4.51 |  6.82 |  6.10 |  5.06 |  5.71 |  6.55 |  6.70 |  7.43 | 5.86 |  6.11 |  6.65 |  6.51 |  6.77 |  6.61 |  6.05 |  5.92 |  5.26 |  6.43 |  5.85 |  6.63 |  4.84 |  6.53 |  5.92 |  6.33 |  7.11 |  6.45 | 5.90 |  7.56 |  7.27 |  5.34 |  6.69 |  6.97 |  7.17 |  5.48 |  5.07 |  5.65 |  6.79 |
|         9 |  7.54 |  6.65 |  7.93 |  5.66 |  8.41 |  6.97 |  5.15 |  6.20 |  8.44 |  7.23 |  8.11 | 6.96 |  6.54 |  7.32 |  7.60 |  8.30 |  7.44 |  6.85 |  6.33 |  6.42 |  8.05 |  7.60 |  8.32 |  6.91 |  7.72 |  7.39 |  7.37 |  8.71 |  7.36 | 6.88 |  7.81 |  8.68 |  5.29 |  8.26 |  8.15 |  8.53 |  6.95 |  5.87 |  7.33 |  7.90 |
