# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |    1 |    2 |    3 |     4 |     5 |    6 |    7 |    8 |    9 |   10 |   11 |   12 |   13 |   14 |   15 |   16 |   17 |    18 |   19 |   20 |    21 |    22 |   23 |   24 |   25 |   26 |   27 |    28 |   29 |    30 |   31 |    32 |   33 |   34 |   35 |   36 |    37 |   38 |   39 |   40 |
|         0 | 6.23 | 6.11 | 5.73 |  5.72 |  6.03 | 6.73 | 6.31 | 6.15 | 6.05 | 5.80 | 6.72 | 6.32 | 5.61 | 5.61 | 5.38 | 4.97 | 5.80 |  5.74 | 5.91 | 6.44 |  6.05 |  5.98 | 6.48 | 6.06 | 6.02 | 5.83 | 5.99 |  6.04 | 5.79 |  5.86 | 6.10 |  6.03 | 6.06 | 5.55 | 6.02 | 5.34 |  6.58 | 6.29 | 6.32 | 5.89 |
|         1 | 6.26 | 5.99 | 5.64 |  5.62 |  5.93 | 6.69 | 6.41 | 6.12 | 6.15 | 5.66 | 6.72 | 6.33 | 5.62 | 5.53 | 5.37 | 4.87 | 5.81 |  5.80 | 5.75 | 6.44 |  6.05 |  5.99 | 6.50 | 6.07 | 5.88 | 5.69 | 5.94 |  6.04 | 5.92 |  5.88 | 6.05 |  5.94 | 6.00 | 5.44 | 6.00 | 5.28 |  6.54 | 6.30 | 6.31 | 5.77 |
|         2 | 6.25 | 5.98 | 5.63 |  5.57 |  5.89 | 6.64 | 6.32 | 6.14 | 6.12 | 5.57 | 6.68 | 6.29 | 5.55 | 5.40 | 5.36 | 4.70 | 5.73 |  5.79 | 5.63 | 6.32 |  5.98 |  5.95 | 6.61 | 5.95 | 5.83 | 5.63 | 5.86 |  5.95 | 5.96 |  5.89 | 6.05 |  5.84 | 5.90 | 5.35 | 6.05 | 5.14 |  6.51 | 6.27 | 6.31 | 5.71 |
|         3 | 6.30 | 5.87 | 5.52 |  5.51 |  5.84 | 6.58 | 6.27 | 6.05 | 6.15 | 5.47 | 6.66 | 6.32 | 5.55 | 5.35 | 5.30 | 4.63 | 5.72 |  5.76 | 5.59 | 6.24 |  6.02 |  5.96 | 6.67 | 5.95 | 5.79 | 5.58 | 5.89 |  5.90 | 6.02 |  5.87 | 6.05 |  5.84 | 5.90 | 5.37 | 6.15 | 5.11 |  6.47 | 6.26 | 6.35 | 5.68 |
|         4 | 6.19 | 5.75 | 5.43 |  5.44 |  5.77 | 6.55 | 6.20 | 5.94 | 6.19 | 5.44 | 6.58 | 6.32 | 5.56 | 5.28 | 5.27 | 4.61 | 5.73 |  5.71 | 5.60 | 6.28 |  6.05 |  6.01 | 6.70 | 5.95 | 5.84 | 5.49 | 5.90 |  5.91 | 6.02 |  5.82 | 6.04 |  5.86 | 5.88 | 5.37 | 6.11 | 5.15 |  6.39 | 6.15 | 6.34 | 5.61 |
|         5 | 5.90 | 5.65 | 5.38 |  5.40 |  5.70 | 6.47 | 6.01 | 5.83 | 6.23 | 5.43 | 6.39 | 6.23 | 5.55 | 5.26 | 5.27 | 4.60 | 5.68 |  5.59 | 5.58 | 6.31 |  5.96 |  5.97 | 6.57 | 6.00 | 5.90 | 5.40 | 5.68 |  5.91 | 5.90 |  5.70 | 5.93 |  5.83 | 5.77 | 5.34 | 5.89 | 5.15 |  6.29 | 5.97 | 6.21 | 5.56 |
|         6 | 5.70 | 5.57 | 5.41 |  5.42 |  5.65 | 6.35 | 5.84 | 5.82 | 6.15 | 5.52 | 6.20 | 6.13 | 5.56 | 5.24 | 5.28 | 4.54 | 5.63 |  5.45 | 5.56 | 6.24 |  5.85 |  5.90 | 6.40 | 5.98 | 5.88 | 5.32 | 5.47 |  5.81 | 5.76 |  5.64 | 5.81 |  5.79 | 5.61 | 5.29 | 5.81 | 5.15 |  6.24 | 5.82 | 6.19 | 5.56 |
|         7 | 5.70 | 5.56 | 5.57 |  5.47 |  5.67 | 6.34 | 5.77 | 5.84 | 6.11 | 5.60 | 6.15 | 6.09 | 5.61 | 5.31 | 5.24 | 4.57 | 5.55 |  5.37 | 5.59 | 6.20 |  5.81 |  5.84 | 6.31 | 5.99 | 5.81 | 5.29 | 5.43 |  5.71 | 5.68 |  5.66 | 5.70 |  5.81 | 5.54 | 5.33 | 5.89 | 5.17 |  6.31 | 5.77 | 6.29 | 5.65 |
|         8 | 5.84 | 5.67 | 5.78 |  5.55 |  5.69 | 6.41 | 5.73 | 5.87 | 6.08 | 5.72 | 6.22 | 6.08 | 5.69 | 5.42 | 5.22 | 4.67 | 5.51 |  5.39 | 5.66 | 6.20 |  5.85 |  5.81 | 6.27 | 6.12 | 5.78 | 5.29 | 5.49 |  5.67 | 5.61 |  5.72 | 5.67 |  5.81 | 5.62 | 5.40 | 6.01 | 5.21 |  6.44 | 5.81 | 6.38 | 5.82 |
|         9 | 6.04 | 5.94 | 5.95 |  5.67 |  5.93 | 6.57 | 5.83 | 5.93 | 6.08 | 5.96 | 6.38 | 6.15 | 5.86 | 5.61 | 5.34 | 4.87 | 5.64 |  5.54 | 5.85 | 6.27 |  6.01 |  5.85 | 6.35 | 6.25 | 5.85 | 5.65 | 5.58 |  5.76 | 5.72 |  5.88 | 5.75 |  5.90 | 5.79 | 5.53 | 6.11 | 5.35 |  6.63 | 5.96 | 6.48 | 6.02 |
