# variable: Momentary Wind Speed at 10m
# units: km/h
# 
| fcst_hour |     1 |     2 |     3 |    4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |   12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  1.28 |  3.51 |  1.85 | 0.87 |  1.13 |  2.51 |  1.49 |  1.72 |  0.79 |  2.74 |  0.95 | 1.97 |  1.98 |  3.11 |  1.00 |  2.29 |  2.02 |  0.55 |  1.80 |  1.68 |  1.11 |  1.91 |  0.59 |  1.11 |  2.83 |  1.21 |  0.65 |  2.59 |  0.77 |  1.53 |  0.66 |  1.72 |  0.25 |  2.45 |  1.83 |  0.49 |  1.09 |  1.88 |  3.26 |  2.66 |
|         1 |  1.49 |  3.14 |  1.33 | 1.12 |  1.49 |  2.53 |  1.69 |  2.17 |  1.19 |  2.27 |  1.56 | 2.17 |  2.03 |  2.84 |  0.95 |  2.08 |  2.47 |  0.65 |  1.75 |  1.66 |  1.05 |  1.60 |  0.96 |  1.07 |  1.93 |  1.64 |  0.37 |  2.23 |  1.63 |  1.39 |  0.48 |  1.48 |  0.68 |  2.49 |  1.35 |  0.26 |  1.16 |  1.15 |  3.23 |  2.43 |
|         2 |  1.75 |  2.78 |  1.83 | 1.66 |  1.98 |  2.25 |  1.52 |  2.78 |  1.53 |  2.07 |  1.85 | 2.38 |  1.69 |  2.59 |  0.78 |  2.22 |  2.13 |  1.16 |  1.55 |  1.31 |  0.69 |  1.28 |  0.91 |  1.17 |  1.23 |  1.99 |  0.69 |  2.21 |  1.91 |  1.25 |  0.41 |  0.91 |  1.15 |  2.70 |  1.48 |  0.28 |  1.27 |  0.77 |  2.82 |  2.34 |
|         3 |  1.27 |  2.34 |  1.88 | 2.21 |  2.35 |  1.75 |  0.84 |  2.77 |  1.04 |  1.64 |  1.74 | 2.10 |  1.48 |  2.37 |  0.57 |  1.98 |  1.44 |  1.19 |  2.41 |  0.79 |  0.77 |  1.36 |  0.77 |  1.23 |  0.93 |  1.60 |  0.89 |  1.86 |  0.89 |  1.53 |  0.64 |  1.09 |  1.31 |  2.59 |  1.86 |  0.64 |  1.45 |  0.74 |  2.34 |  2.33 |
|         4 |  0.82 |  1.99 |  1.21 | 1.91 |  1.95 |  1.50 |  0.50 |  2.08 |  1.77 |  1.64 |  1.74 | 1.71 |  1.02 |  2.26 |  0.61 |  1.44 |  1.27 |  1.71 |  2.12 |  1.04 |  0.30 |  1.66 |  0.40 |  1.09 |  1.08 |  1.48 |  1.10 |  1.14 |  0.92 |  2.16 |  0.62 |  1.19 |  0.61 |  1.84 |  1.69 |  0.77 |  1.23 |  0.34 |  1.79 |  2.08 |
|         5 |  0.70 |  2.15 |  0.29 | 1.50 |  1.40 |  0.59 |  0.67 |  1.66 |  1.17 |  1.61 |  1.26 | 1.04 |  1.09 |  2.24 |  1.09 |  0.71 |  0.92 |  1.20 |  1.72 |  0.58 |  0.65 |  1.84 |  0.43 |  0.47 |  0.85 |  1.03 |  0.37 |  0.51 |  0.66 |  1.98 |  0.17 |  0.61 |  0.37 |  1.45 |  2.30 |  0.95 |  0.82 |  0.16 |  1.23 |  2.08 |
|         6 |  1.40 |  1.79 |  0.41 | 1.92 |  1.11 |  0.50 |  0.94 |  0.80 |  0.55 |  1.36 |  0.83 | 0.79 |  0.52 |  2.10 |  2.14 |  0.12 |  0.55 |  1.12 |  1.04 |  0.39 |  0.69 |  1.85 |  0.22 |  0.51 |  1.03 |  0.27 |  0.14 |  0.11 |  0.51 |  2.06 |  0.41 |  0.39 |  0.82 |  0.87 |  2.21 |  1.17 |  0.97 |  0.25 |  1.04 |  1.97 |
|         7 |  0.71 |  0.73 |  0.15 | 1.02 |  0.64 |  0.56 |  0.85 |  0.33 |  0.33 |  0.46 |  0.70 | 0.53 |  0.39 |  2.07 |  1.28 |  0.36 |  0.34 |  0.35 |  1.21 |  0.46 |  0.12 |  1.26 |  0.57 |  1.06 |  1.12 |  0.53 |  0.23 |  0.24 |  0.35 |  1.53 |  1.12 |  0.40 |  0.69 |  0.46 |  0.69 |  0.98 |  0.37 |  1.04 |  0.67 |  1.11 |
|         8 |  1.91 |  0.36 |  2.69 | 3.41 |  1.93 |  2.98 |  3.21 |  0.45 |  2.13 |  1.37 |  2.37 | 1.67 |  2.48 |  2.87 |  3.95 |  2.00 |  1.21 |  1.83 |  2.84 |  1.92 |  1.84 |  1.05 |  2.10 |  3.31 |  3.19 |  2.84 |  2.34 |  1.17 |  2.48 |  3.34 |  3.36 |  2.20 |  2.61 |  0.43 |  1.04 |  2.02 |  0.88 |  2.59 |  1.60 |  1.04 |
|         9 |  4.46 |  1.26 |  4.95 | 5.13 |  5.28 |  4.94 |  5.28 |  2.42 |  3.78 |  3.77 |  3.97 | 3.00 |  4.55 |  2.77 |  5.75 |  4.42 |  2.68 |  4.27 |  4.39 |  3.32 |  3.69 |  1.59 |  3.91 |  4.80 |  4.52 |  5.24 |  4.10 |  3.47 |  4.92 |  5.95 |  4.48 |  4.14 |  4.45 |  2.64 |  4.03 |  4.32 |  3.11 |  3.73 |  3.27 |  0.98 |
|        10 |  6.63 |  3.82 |  5.89 | 6.48 |  7.19 |  6.52 |  6.81 |  4.51 |  6.20 |  4.93 |  5.71 | 4.76 |  5.05 |  1.94 |  6.88 |  6.44 |  4.44 |  6.18 |  5.38 |  4.62 |  4.76 |  2.80 |  5.98 |  6.73 |  6.02 |  6.48 |  6.33 |  6.07 |  7.01 |  7.60 |  5.69 |  5.56 |  6.43 |  4.05 |  5.46 |  5.75 |  4.62 |  4.93 |  4.09 |  2.90 |
|        11 |  6.84 |  5.09 |  6.33 | 7.87 |  7.63 |  7.23 |  7.36 |  5.31 |  7.49 |  5.29 |  6.76 | 5.95 |  5.29 |  1.86 |  7.26 |  7.05 |  5.51 |  7.49 |  5.86 |  5.67 |  6.30 |  3.57 |  6.95 |  7.68 |  6.72 |  7.06 |  6.94 |  7.10 |  8.13 |  7.92 |  6.33 |  6.24 |  7.40 |  4.35 |  5.73 |  6.59 |  5.87 |  5.68 |  4.49 |  3.78 |
|        12 |  7.17 |  5.45 |  6.85 | 7.90 |  7.60 |  7.77 |  7.50 |  4.29 |  8.32 |  5.77 |  7.65 | 6.33 |  6.25 |  2.90 |  7.36 |  7.63 |  6.90 |  8.01 |  6.22 |  6.15 |  7.14 |  3.92 |  7.39 |  8.20 |  7.01 |  7.69 |  7.08 |  6.93 |  8.50 |  8.59 |  6.69 |  6.56 |  7.78 |  5.04 |  5.35 |  7.09 |  6.32 |  6.83 |  3.60 |  4.47 |
|        13 |  7.11 |  6.32 |  7.73 | 7.82 |  7.48 |  7.96 |  7.99 |  3.65 |  7.95 |  6.21 |  7.42 | 6.24 |  6.79 |  3.78 |  7.11 |  8.08 |  7.72 |  7.48 |  6.11 |  6.39 |  7.55 |  3.74 |  7.78 |  8.58 |  6.89 |  8.04 |  7.10 |  7.09 |  8.50 |  9.14 |  6.67 |  6.85 |  8.39 |  5.79 |  5.10 |  7.38 |  6.85 |  7.39 |  4.00 |  4.97 |
|        14 |  7.23 |  5.84 |  8.51 | 8.06 |  7.49 |  8.47 |  8.18 |  4.64 |  7.54 |  6.43 |  7.08 | 6.45 |  7.30 |  4.02 |  7.36 |  8.02 |  8.01 |  7.34 |  6.33 |  6.54 |  7.63 |  3.71 |  7.77 |  8.71 |  7.21 |  8.33 |  7.33 |  7.87 |  8.18 |  9.32 |  6.61 |  7.35 |  8.80 |  6.18 |  5.17 |  7.18 |  7.68 |  7.32 |  4.72 |  6.08 |
|        15 |  6.12 |  5.26 |  8.54 | 8.14 |  7.42 |  8.33 |  8.10 |  5.36 |  6.98 |  6.84 |  6.55 | 6.14 |  7.44 |  4.18 |  7.33 |  8.24 |  7.96 |  7.05 |  6.05 |  6.86 |  7.06 |  4.20 |  7.26 |  8.73 |  7.45 |  8.23 |  6.82 |  7.90 |  7.92 |  9.27 |  6.09 |  7.21 |  8.04 |  6.52 |  5.39 |  6.74 |  7.83 |  6.97 |  5.12 |  6.47 |
|        16 |  4.21 |  5.03 |  8.37 | 7.29 |  6.35 |  7.40 |  7.72 |  4.85 |  6.07 |  6.02 |  6.48 | 5.26 |  6.94 |  4.02 |  6.84 |  7.17 |  6.96 |  6.38 |  5.02 |  6.59 |  5.90 |  4.49 |  6.14 |  7.76 |  7.02 |  7.57 |  6.05 |  7.15 |  7.14 |  8.04 |  4.78 |  6.51 |  6.78 |  5.83 |  4.89 |  6.25 |  6.60 |  6.02 |  4.72 |  6.20 |
|        17 |  2.99 |  4.23 |  5.43 | 4.54 |  3.29 |  5.08 |  5.06 |  2.89 |  3.86 |  3.93 |  3.99 | 3.47 |  4.27 |  2.92 |  4.59 |  4.58 |  3.99 |  4.11 |  3.22 |  5.39 |  3.67 |  3.45 |  4.05 |  4.67 |  4.36 |  4.45 |  3.18 |  4.44 |  4.41 |  5.16 |  3.91 |  3.46 |  4.87 |  3.60 |  2.98 |  4.15 |  4.00 |  4.25 |  2.84 |  3.79 |
|        18 |  3.19 |  4.20 |  4.52 | 3.98 |  2.75 |  4.15 |  4.62 |  3.02 |  3.87 |  3.74 |  3.34 | 3.22 |  4.19 |  2.77 |  4.07 |  4.11 |  3.78 |  3.94 |  2.51 |  4.69 |  3.35 |  3.20 |  3.89 |  4.34 |  3.91 |  3.88 |  2.77 |  3.82 |  3.94 |  4.34 |  4.14 |  3.07 |  4.05 |  3.01 |  2.63 |  3.89 |  3.43 |  3.90 |  2.90 |  3.79 |
|        19 |  2.50 |  3.24 |  3.56 | 2.94 |  2.40 |  3.01 |  3.55 |  2.13 |  2.54 |  2.89 |  1.84 | 2.55 |  3.25 |  1.71 |  3.25 |  3.34 |  2.84 |  2.92 |  0.97 |  3.15 |  2.20 |  1.86 |  2.74 |  3.66 |  3.20 |  2.68 |  1.74 |  2.61 |  3.15 |  3.58 |  3.11 |  2.02 |  2.79 |  1.72 |  2.15 |  3.16 |  1.93 |  2.65 |  2.12 |  3.09 |
|        20 |  1.17 |  2.83 |  2.47 | 2.09 |  1.18 |  2.39 |  2.85 |  0.97 |  1.49 |  2.46 |  1.85 | 1.93 |  2.56 |  2.71 |  2.96 |  3.26 |  2.59 |  1.87 |  1.36 |  2.21 |  1.75 |  0.87 |  1.78 |  3.25 |  1.88 |  1.93 |  1.11 |  1.97 |  2.31 |  3.02 |  1.61 |  1.02 |  2.15 |  1.28 |  1.47 |  2.23 |  0.19 |  2.24 |  1.26 |  2.67 |
|        21 |  1.15 |  2.71 |  1.88 | 2.10 |  1.00 |  2.35 |  2.94 |  1.27 |  1.58 |  2.69 |  2.65 | 1.62 |  2.37 |  2.15 |  3.08 |  3.13 |  2.78 |  1.91 |  2.43 |  2.46 |  2.08 |  1.18 |  1.89 |  3.17 |  1.56 |  1.94 |  1.25 |  2.48 |  1.44 |  2.98 |  1.18 |  0.98 |  2.40 |  1.74 |  1.38 |  1.90 |  0.69 |  2.74 |  0.67 |  2.03 |
|        22 |  0.84 |  2.70 |  2.18 | 2.67 |  0.28 |  2.36 |  2.85 |  1.08 |  2.16 |  2.40 |  2.53 | 1.33 |  2.40 |  1.34 |  3.33 |  2.19 |  2.22 |  2.66 |  2.28 |  2.78 |  2.16 |  0.62 |  2.45 |  3.00 |  1.89 |  2.02 |  0.48 |  2.98 |  2.34 |  2.64 |  1.90 |  1.36 |  2.64 |  1.44 |  0.52 |  1.65 |  1.79 |  2.83 |  0.95 |  1.70 |
|        23 |  1.05 |  2.86 |  3.22 | 3.01 |  0.41 |  2.91 |  2.92 |  0.60 |  2.79 |  2.49 |  1.92 | 1.77 |  2.97 |  1.13 |  3.70 |  1.93 |  2.30 |  2.79 |  1.65 |  3.26 |  2.61 |  1.35 |  3.27 |  2.96 |  2.24 |  2.05 |  0.16 |  3.05 |  3.03 |  2.23 |  2.96 |  2.47 |  2.83 |  1.09 |  0.24 |  2.50 |  2.05 |  2.55 |  1.25 |  2.61 |
|        24 |  1.22 |  2.95 |  3.38 | 2.81 |  0.73 |  3.29 |  3.64 |  0.54 |  2.66 |  2.54 |  1.40 | 2.54 |  3.06 |  0.41 |  3.67 |  2.24 |  2.43 |  3.08 |  1.00 |  3.30 |  2.90 |  1.99 |  3.53 |  3.33 |  2.78 |  1.78 |  0.90 |  2.73 |  3.15 |  2.53 |  3.06 |  3.09 |  2.62 |  0.96 |  0.89 |  3.00 |  2.04 |  2.53 |  1.14 |  2.96 |
|        25 |  1.69 |  3.01 |  3.42 | 2.95 |  0.60 |  2.83 |  3.65 |  0.73 |  2.53 |  2.47 |  1.52 | 2.52 |  3.35 |  0.80 |  3.11 |  2.16 |  2.76 |  2.81 |  1.26 |  3.08 |  2.96 |  2.08 |  3.63 |  3.31 |  3.04 |  1.70 |  1.63 |  2.18 |  3.29 |  2.68 |  2.37 |  3.18 |  2.48 |  1.44 |  1.45 |  3.12 |  2.24 |  2.75 |  1.68 |  2.84 |
|        26 |  1.57 |  3.69 |  3.10 | 2.56 |  0.13 |  3.07 |  3.33 |  1.18 |  2.44 |  2.69 |  1.67 | 2.35 |  2.65 |  1.39 |  3.14 |  2.26 |  3.03 |  2.88 |  1.25 |  3.61 |  2.61 |  2.24 |  2.99 |  3.73 |  3.17 |  1.71 |  1.95 |  2.53 |  2.63 |  2.60 |  1.91 |  2.81 |  2.61 |  1.84 |  1.42 |  2.45 |  2.19 |  2.51 |  1.94 |  2.62 |
|        27 |  1.92 |  3.55 |  2.68 | 2.43 |  0.37 |  3.34 |  3.40 |  1.45 |  2.80 |  2.49 |  2.62 | 2.45 |  2.53 |  1.41 |  3.49 |  2.85 |  3.45 |  2.96 |  1.48 |  3.84 |  2.22 |  2.19 |  3.04 |  3.92 |  3.19 |  1.89 |  2.20 |  3.54 |  2.71 |  3.19 |  2.26 |  2.61 |  3.37 |  2.20 |  1.60 |  2.28 |  2.35 |  3.61 |  2.05 |  2.14 |
|        28 |  1.94 |  3.60 |  3.32 | 2.68 |  0.70 |  3.61 |  3.59 |  1.84 |  3.12 |  2.23 |  3.12 | 2.64 |  2.65 |  1.27 |  3.81 |  2.65 |  3.16 |  3.21 |  1.14 |  3.96 |  1.92 |  2.36 |  3.06 |  3.62 |  2.95 |  2.08 |  2.42 |  4.06 |  2.94 |  3.45 |  2.73 |  1.89 |  3.81 |  2.17 |  1.87 |  2.99 |  2.54 |  3.70 |  1.58 |  2.09 |
|        29 |  2.32 |  3.70 |  3.00 | 2.82 |  1.48 |  3.61 |  3.68 |  2.36 |  3.69 |  2.46 |  3.28 | 2.91 |  2.81 |  1.15 |  4.13 |  3.17 |  2.72 |  3.40 |  1.65 |  3.87 |  2.64 |  3.09 |  3.55 |  3.70 |  3.08 |  2.02 |  2.82 |  3.81 |  2.68 |  3.76 |  2.57 |  2.06 |  4.14 |  2.74 |  2.99 |  3.97 |  2.93 |  3.56 |  1.58 |  2.55 |
|        30 |  2.30 |  3.69 |  2.42 | 2.51 |  1.27 |  3.35 |  3.70 |  2.83 |  3.25 |  2.39 |  2.80 | 2.79 |  3.02 |  1.57 |  3.78 |  3.02 |  2.36 |  3.39 |  1.52 |  3.47 |  2.18 |  3.22 |  3.43 |  3.70 |  2.58 |  1.95 |  2.12 |  3.26 |  2.07 |  3.65 |  2.31 |  1.83 |  3.78 |  2.81 |  3.43 |  4.14 |  2.89 |  3.05 |  1.78 |  2.71 |
|        31 |  2.45 |  3.49 |  2.24 | 1.97 |  1.50 |  3.35 |  3.21 |  2.63 |  2.55 |  2.39 |  2.23 | 2.25 |  2.89 |  1.29 |  3.73 |  2.52 |  2.12 |  3.06 |  1.71 |  3.47 |  1.67 |  2.88 |  3.31 |  3.30 |  2.55 |  1.84 |  1.81 |  3.51 |  2.20 |  3.39 |  2.18 |  1.94 |  3.38 |  2.30 |  2.02 |  3.51 |  2.13 |  3.04 |  1.76 |  2.76 |
|        32 |  5.90 |  6.86 |  6.50 | 5.75 |  3.88 |  6.38 |  6.51 |  5.47 |  5.20 |  5.68 |  6.13 | 4.94 |  6.78 |  4.53 |  7.26 |  6.44 |  6.21 |  6.91 |  5.13 |  6.79 |  4.37 |  5.88 |  6.23 |  7.65 |  6.42 |  5.61 |  5.72 |  7.65 |  5.46 |  7.06 |  5.22 |  5.06 |  6.53 |  4.78 |  4.45 |  7.40 |  5.67 |  6.61 |  3.91 |  6.28 |
