# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |    1 |    2 |    3 |    4 |     5 |    6 |    7 |    8 |    9 |   10 |    11 |   12 |   13 |   14 |   15 |    16 |   17 |   18 |   19 |   20 |   21 |    22 |   23 |    24 |   25 |    26 |   27 |   28 |   29 |   30 |    31 |    32 |   33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 | 7.81 | 8.23 | 7.79 | 7.53 |  7.48 | 7.95 | 7.91 | 8.01 | 7.86 | 8.13 |  7.60 | 7.95 | 7.77 | 7.68 | 7.55 |  8.01 | 7.87 | 7.88 | 7.63 | 7.58 | 7.22 |  7.65 | 8.30 |  7.08 | 7.83 |  7.78 | 7.73 | 7.67 | 7.55 | 8.22 |  7.84 |  7.73 | 8.04 |  7.81 |  8.01 |  7.52 |  7.92 |  7.68 |  7.84 |  7.92 |
|         1 | 7.72 | 8.08 | 7.71 | 7.45 |  7.44 | 7.84 | 7.97 | 7.94 | 7.85 | 8.09 |  7.57 | 7.87 | 7.74 | 7.65 | 7.51 |  7.95 | 7.87 | 7.80 | 7.67 | 7.60 | 7.28 |  7.54 | 8.20 |  7.06 | 7.76 |  7.67 | 7.83 | 7.73 | 7.56 | 8.18 |  7.82 |  7.79 | 7.96 |  7.95 |  8.08 |  7.48 |  8.00 |  7.72 |  7.86 |  7.87 |
|         2 | 7.70 | 7.95 | 7.49 | 7.39 |  7.36 | 7.68 | 7.92 | 7.93 | 7.71 | 7.95 |  7.54 | 7.82 | 7.65 | 7.60 | 7.43 |  7.84 | 7.71 | 7.73 | 7.57 | 7.48 | 7.26 |  7.40 | 8.18 |  6.95 | 7.66 |  7.59 | 7.81 | 7.75 | 7.45 | 8.15 |  7.79 |  7.83 | 7.90 |  7.97 |  8.09 |  7.35 |  7.89 |  7.71 |  7.79 |  7.76 |
|         3 | 7.61 | 7.84 | 7.36 | 7.37 |  7.29 | 7.57 | 7.90 | 7.84 | 7.55 | 7.80 |  7.53 | 7.76 | 7.55 | 7.43 | 7.33 |  7.77 | 7.60 | 7.57 | 7.45 | 7.43 | 7.25 |  7.30 | 8.15 |  6.87 | 7.61 |  7.50 | 7.79 | 7.75 | 7.38 | 8.09 |  7.73 |  7.85 | 7.81 |  7.91 |  8.07 |  7.22 |  7.77 |  7.70 |  7.76 |  7.59 |
|         4 | 7.55 | 7.77 | 7.27 | 7.34 |  7.22 | 7.53 | 7.89 | 7.79 | 7.45 | 7.70 |  7.53 | 7.71 | 7.43 | 7.23 | 7.24 |  7.72 | 7.48 | 7.40 | 7.31 | 7.38 | 7.21 |  7.23 | 8.10 |  6.83 | 7.58 |  7.44 | 7.71 | 7.79 | 7.35 | 8.06 |  7.69 |  7.87 | 7.71 |  7.83 |  7.99 |  7.11 |  7.65 |  7.69 |  7.71 |  7.46 |
|         5 | 7.55 | 7.75 | 7.25 | 7.29 |  7.13 | 7.53 | 7.85 | 7.78 | 7.43 | 7.65 |  7.51 | 7.65 | 7.37 | 7.18 | 7.15 |  7.66 | 7.41 | 7.36 | 7.18 | 7.35 | 7.14 |  7.16 | 8.01 |  6.79 | 7.58 |  7.40 | 7.62 | 7.83 | 7.36 | 8.03 |  7.63 |  7.87 | 7.68 |  7.75 |  7.85 |  7.05 |  7.56 |  7.66 |  7.64 |  7.40 |
|         6 | 7.51 | 7.78 | 7.30 | 7.28 |  7.16 | 7.54 | 7.79 | 7.78 | 7.41 | 7.65 |  7.50 | 7.57 | 7.39 | 7.35 | 7.14 |  7.63 | 7.42 | 7.51 | 7.10 | 7.36 | 7.10 |  7.15 | 7.94 |  6.77 | 7.55 |  7.41 | 7.63 | 7.81 | 7.38 | 8.00 |  7.61 |  7.84 | 7.64 |  7.71 |  7.74 |  7.03 |  7.54 |  7.64 |  7.57 |  7.41 |
|         7 | 7.44 | 7.88 | 7.37 | 7.37 |  7.35 | 7.61 | 7.80 | 7.88 | 7.45 | 7.72 |  7.55 | 7.60 | 7.49 | 7.63 | 7.24 |  7.67 | 7.56 | 7.77 | 7.11 | 7.43 | 7.14 |  7.29 | 7.92 |  6.84 | 7.57 |  7.44 | 7.76 | 7.82 | 7.42 | 8.00 |  7.66 |  7.91 | 7.64 |  7.82 |  7.77 |  7.14 |  7.62 |  7.74 |  7.60 |  7.50 |
|         8 | 7.48 | 8.00 | 7.44 | 7.53 |  7.53 | 7.83 | 7.91 | 8.04 | 7.60 | 7.83 |  7.76 | 7.81 | 7.68 | 7.83 | 7.46 |  7.78 | 7.76 | 7.98 | 7.19 | 7.54 | 7.31 |  7.58 | 7.93 |  6.99 | 7.72 |  7.52 | 7.86 | 7.88 | 7.47 | 8.01 |  7.73 |  7.99 | 7.68 |  7.99 |  7.97 |  7.33 |  7.87 |  7.91 |  7.78 |  7.64 |
|         9 | 7.66 | 8.11 | 7.52 | 7.69 |  7.68 | 8.09 | 8.06 | 8.21 | 7.73 | 7.97 |  8.03 | 8.09 | 8.01 | 7.91 | 7.73 |  7.94 | 7.91 | 8.14 | 7.31 | 7.71 | 7.56 |  7.87 | 7.99 |  7.17 | 7.97 |  7.64 | 7.94 | 8.04 | 7.61 | 8.04 |  7.86 |  8.12 | 7.72 |  8.18 |  8.24 |  7.56 |  8.20 |  8.09 |  8.03 |  7.78 |
