# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |    1 |     2 |    3 |    4 |     5 |    6 |     7 |    8 |    9 |   10 |   11 |   12 |    13 |   14 |    15 |   16 |   17 |   18 |   19 |   20 |   21 |   22 |    23 |   24 |   25 |   26 |   27 |   28 |   29 |   30 |    31 |    32 |    33 |   34 |   35 |   36 |    37 |    38 |   39 |   40 |
|         0 | 8.98 |  9.09 | 8.22 | 9.11 |  9.07 | 8.74 |  8.98 | 9.54 | 8.72 | 9.41 | 9.34 | 9.23 |  9.44 | 9.30 |  8.74 | 8.85 | 9.39 | 9.09 | 9.27 | 9.32 | 8.92 | 8.47 |  8.67 | 8.23 | 9.25 | 8.65 | 9.14 | 9.43 | 9.23 | 8.73 |  9.23 |  9.34 |  8.60 | 8.79 | 8.67 | 8.70 |  8.92 |  9.03 | 8.73 | 8.59 |
|         1 | 8.81 |  8.92 | 8.08 | 9.00 |  8.99 | 8.70 |  8.98 | 9.39 | 8.66 | 9.27 | 9.24 | 9.16 |  9.36 | 9.31 |  8.65 | 8.78 | 9.27 | 9.00 | 9.27 | 9.23 | 8.81 | 8.49 |  8.50 | 8.20 | 9.20 | 8.54 | 9.02 | 9.34 | 9.08 | 8.65 |  9.18 |  9.23 |  8.49 | 8.82 | 8.51 | 8.54 |  8.97 |  8.94 | 8.64 | 8.49 |
|         2 | 8.63 |  8.72 | 7.98 | 8.92 |  8.87 | 8.51 |  8.94 | 9.29 | 8.50 | 9.28 | 9.00 | 9.04 |  9.23 | 9.27 |  8.50 | 8.64 | 9.13 | 8.80 | 9.12 | 9.03 | 8.56 | 8.30 |  8.35 | 8.09 | 8.96 | 8.38 | 8.93 | 9.21 | 8.82 | 8.54 |  8.94 |  9.06 |  8.33 | 8.70 | 8.37 | 8.40 |  8.87 |  8.81 | 8.54 | 8.29 |
|         3 | 8.48 |  8.54 | 8.06 | 8.78 |  8.73 | 8.39 |  8.90 | 9.13 | 8.31 | 9.29 | 8.83 | 8.96 |  9.18 | 9.14 |  8.40 | 8.59 | 8.95 | 8.63 | 8.97 | 8.86 | 8.36 | 8.29 |  8.28 | 8.02 | 8.81 | 8.40 | 8.88 | 9.13 | 8.61 | 8.44 |  8.77 |  8.92 |  8.22 | 8.51 | 8.35 | 8.40 |  8.72 |  8.70 | 8.43 | 8.14 |
|         4 | 8.43 |  8.51 | 8.14 | 8.70 |  8.69 | 8.50 |  8.92 | 9.06 | 8.23 | 9.27 | 8.81 | 8.95 |  9.31 | 9.08 |  8.37 | 8.55 | 8.80 | 8.56 | 8.91 | 8.85 | 8.25 | 8.43 |  8.25 | 7.95 | 8.81 | 8.46 | 8.83 | 9.10 | 8.65 | 8.44 |  8.81 |  8.78 |  8.18 | 8.38 | 8.39 | 8.54 |  8.59 |  8.66 | 8.39 | 8.13 |
|         5 | 8.39 |  8.52 | 8.20 | 8.68 |  8.73 | 8.68 |  8.96 | 9.06 | 8.18 | 9.30 | 9.01 | 9.05 |  9.36 | 9.12 |  8.37 | 8.56 | 8.81 | 8.61 | 8.88 | 8.95 | 8.34 | 8.69 |  8.22 | 7.87 | 8.98 | 8.53 | 8.81 | 9.23 | 8.80 | 8.56 |  8.99 |  8.77 |  8.20 | 8.31 | 8.46 | 8.60 |  8.62 |  8.71 | 8.35 | 8.27 |
|         6 | 8.22 |  8.39 | 8.10 | 8.59 |  8.67 | 8.64 |  8.90 | 9.03 | 7.96 | 9.10 | 9.09 | 9.16 |  9.08 | 9.05 |  8.33 | 8.51 | 8.79 | 8.55 | 8.82 | 8.97 | 8.34 | 8.66 |  8.13 | 7.67 | 9.04 | 8.31 | 8.78 | 9.31 | 8.81 | 8.63 |  9.06 |  8.65 |  8.05 | 8.25 | 8.32 | 8.40 |  8.65 |  8.64 | 8.18 | 8.21 |
|         7 | 7.87 |  8.14 | 7.84 | 8.47 |  8.50 | 8.54 |  8.78 | 8.92 | 7.69 | 8.71 | 9.01 | 8.96 |  8.78 | 8.92 |  8.18 | 8.33 | 8.64 | 8.37 | 8.64 | 8.80 | 8.26 | 8.62 |  7.95 | 7.34 | 8.99 | 7.93 | 8.60 | 9.25 | 8.70 | 8.70 |  8.91 |  8.36 |  7.86 | 8.10 | 7.95 | 7.96 |  8.58 |  8.37 | 7.99 | 8.02 |
|         8 | 7.55 |  7.89 | 7.85 | 8.28 |  8.33 | 8.41 |  8.71 | 8.85 | 7.48 | 8.43 | 8.81 | 8.65 |  8.48 | 8.85 |  7.97 | 8.13 | 8.50 | 8.26 | 8.40 | 8.74 | 8.22 | 8.60 |  7.83 | 7.25 | 8.72 | 7.69 | 8.34 | 9.11 | 8.65 | 8.63 |  8.79 |  8.13 |  7.78 | 7.90 | 7.67 | 7.67 |  8.55 |  8.21 | 7.91 | 7.94 |
|         9 | 7.44 |  7.70 | 7.82 | 8.11 |  8.26 | 8.42 |  8.57 | 8.78 | 7.33 | 8.38 | 8.53 | 8.45 |  8.26 | 8.78 |  7.90 | 7.94 | 8.40 | 8.18 | 8.28 | 8.69 | 8.09 | 8.58 |  7.80 | 7.52 | 8.17 | 7.64 | 8.26 | 8.88 | 8.49 | 8.34 |  8.57 |  8.08 |  7.77 | 7.79 | 7.58 | 7.64 |  8.46 |  8.16 | 7.85 | 7.94 |
|        10 | 7.42 |  7.65 | 7.75 | 7.99 |  8.14 | 8.38 |  8.53 | 8.70 | 7.36 | 8.40 | 8.39 | 8.36 |  8.16 | 8.49 |  7.84 | 7.74 | 8.34 | 8.16 | 8.35 | 8.55 | 7.84 | 8.50 |  7.81 | 7.61 | 7.56 | 7.65 | 8.39 | 8.56 | 8.36 | 7.87 |  8.15 |  8.13 |  7.75 | 7.80 | 7.61 | 7.73 |  8.35 |  8.21 | 7.80 | 7.98 |
|        11 | 7.01 |  7.79 | 7.59 | 7.89 |  7.97 | 7.86 |  8.29 | 8.69 | 7.29 | 8.22 | 8.44 | 8.27 |  8.12 | 7.58 |  7.69 | 7.50 | 8.27 | 7.88 | 8.29 | 8.05 | 7.38 | 7.99 |  7.89 | 7.39 | 7.13 | 7.44 | 8.48 | 8.04 | 7.70 | 7.32 |  7.45 |  8.27 |  7.40 | 7.74 | 7.40 | 7.76 |  7.67 |  8.05 | 7.93 | 7.61 |
|        12 | 6.99 |  7.63 | 7.52 | 7.96 |  7.52 | 7.75 |  8.03 | 8.52 | 7.37 | 7.81 | 8.30 | 7.98 |  8.01 | 7.50 |  7.59 | 7.48 | 8.14 | 7.69 | 7.85 | 8.03 | 7.68 | 7.67 |  7.73 | 7.06 | 7.39 | 7.52 | 8.34 | 7.88 | 7.97 | 7.48 |  7.64 |  8.27 |  7.19 | 7.67 | 7.57 | 7.60 |  8.23 |  7.54 | 8.01 | 7.81 |
|        13 | 7.23 |  7.80 | 7.88 | 8.18 |  7.68 | 7.91 |  8.21 | 8.56 | 7.55 | 8.14 | 8.21 | 8.18 |  8.32 | 7.30 |  7.86 | 7.74 | 8.10 | 7.90 | 7.83 | 8.29 | 7.87 | 7.94 |  7.69 | 7.44 | 7.45 | 7.88 | 8.17 | 8.21 | 8.04 | 7.36 |  7.72 |  8.22 |  7.58 | 7.79 | 7.93 | 7.71 |  8.40 |  7.73 | 8.22 | 8.05 |
|        14 | 7.42 |  8.03 | 8.09 | 8.45 |  7.73 | 7.95 |  8.24 | 8.70 | 7.86 | 8.23 | 8.30 | 8.36 |  8.48 | 7.28 |  8.02 | 7.76 | 8.24 | 7.89 | 8.14 | 8.30 | 7.64 | 8.10 |  7.81 | 7.70 | 7.38 | 8.03 | 8.25 | 8.40 | 8.19 | 7.21 |  7.34 |  8.34 |  7.86 | 7.81 | 8.19 | 7.93 |  8.22 |  8.01 | 8.23 | 7.93 |
|        15 | 7.55 |  8.22 | 8.04 | 8.59 |  7.94 | 7.46 |  8.21 | 8.94 | 7.96 | 8.26 | 8.54 | 8.51 |  8.59 | 7.36 |  8.10 | 7.82 | 8.45 | 7.83 | 8.39 | 8.07 | 7.25 | 7.72 |  7.99 | 7.89 | 7.06 | 8.14 | 8.42 | 8.21 | 7.74 | 7.03 |  7.42 |  8.53 |  7.98 | 7.95 | 8.20 | 8.15 |  7.92 |  8.19 | 7.92 | 7.62 |
|        16 | 7.63 |  8.39 | 7.82 | 8.71 |  7.94 | 7.29 |  8.14 | 8.95 | 7.88 | 8.23 | 8.77 | 8.62 |  8.80 | 7.28 |  7.99 | 7.80 | 8.66 | 7.75 | 8.47 | 7.66 | 6.90 | 7.50 |  8.18 | 8.00 | 6.94 | 8.20 | 8.47 | 7.91 | 7.52 | 6.96 |  7.06 |  8.67 |  7.98 | 7.88 | 8.26 | 8.23 |  7.50 |  8.37 | 7.54 | 7.63 |
|        17 | 7.64 |  8.28 | 7.49 | 8.69 |  7.76 | 7.19 |  7.70 | 8.67 | 7.57 | 8.17 | 8.80 | 8.65 |  8.85 | 7.28 |  7.78 | 7.54 | 8.69 | 7.68 | 8.36 | 7.62 | 6.88 | 7.69 |  8.18 | 7.97 | 6.89 | 8.13 | 8.43 | 7.61 | 7.55 | 7.06 |  6.89 |  8.46 |  7.90 | 7.38 | 8.29 | 8.03 |  7.57 |  8.38 | 7.51 | 7.43 |
|        18 | 7.55 |  7.87 | 7.23 | 8.49 |  7.43 | 7.15 |  7.59 | 8.28 | 7.24 | 7.88 | 8.61 | 8.34 |  8.62 | 7.16 |  7.41 | 7.16 | 8.41 | 7.48 | 8.06 | 7.65 | 7.31 | 7.62 |  7.94 | 7.70 | 6.85 | 7.87 | 8.33 | 7.43 | 7.52 | 7.14 |  7.11 |  7.93 |  7.69 | 7.02 | 8.17 | 7.66 |  7.50 |  8.13 | 7.83 | 7.42 |
|        19 | 7.15 |  7.37 | 7.07 | 8.09 |  7.10 | 7.12 |  7.35 | 7.84 | 6.92 | 7.41 | 8.24 | 7.83 |  8.15 | 7.01 |  7.08 | 6.94 | 7.98 | 7.23 | 7.65 | 7.63 | 7.22 | 7.52 |  7.58 | 7.27 | 6.71 | 7.44 | 8.26 | 7.37 | 7.47 | 7.21 |  7.28 |  7.38 |  7.45 | 7.01 | 7.95 | 7.34 |  7.44 |  7.73 | 7.77 | 7.20 |
|        20 | 6.56 |  6.87 | 6.93 | 7.53 |  6.83 | 6.96 |  7.21 | 7.66 | 6.74 | 7.10 | 7.78 | 7.26 |  7.60 | 6.83 |  7.00 | 6.90 | 7.59 | 6.98 | 7.25 | 7.43 | 6.91 | 7.22 |  7.26 | 6.81 | 6.59 | 7.09 | 8.14 | 7.37 | 7.40 | 7.04 |  7.37 |  7.03 |  7.20 | 6.99 | 7.72 | 7.12 |  7.36 |  7.30 | 7.61 | 6.97 |
|        21 | 6.20 |  6.64 | 6.93 | 7.15 |  6.71 | 6.84 |  7.16 | 7.32 | 6.68 | 7.25 | 7.39 | 7.05 |  7.23 | 6.66 |  6.87 | 6.72 | 7.34 | 6.77 | 6.88 | 7.37 | 6.76 | 7.02 |  7.08 | 6.51 | 6.48 | 6.97 | 7.96 | 7.34 | 7.32 | 6.64 |  7.22 |  6.91 |  7.01 | 7.05 | 7.57 | 6.86 |  7.26 |  7.02 | 7.39 | 6.83 |
|        22 | 6.01 |  6.75 | 7.13 | 6.82 |  6.59 | 6.72 |  7.18 | 6.88 | 6.67 | 7.31 | 7.09 | 6.98 |  7.09 | 6.47 |  6.94 | 6.77 | 7.13 | 6.73 | 6.67 | 7.09 | 6.69 | 6.82 |  6.96 | 6.53 | 6.44 | 6.67 | 7.88 | 7.23 | 7.27 | 6.27 |  6.91 |  6.80 |  6.93 | 6.91 | 7.54 | 6.65 |  7.18 |  6.89 | 7.23 | 6.69 |
