# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |      1 |      2 |      3 |      4 |      5 |      6 |      7 |      8 |      9 |     10 |     11 |     12 |     13 |     14 |     15 |     16 |     17 |     18 |     19 |     20 |     21 |     22 |     23 |     24 |     25 |     26 |     27 |     28 |     29 |     30 |     31 |     32 |     33 |     34 |     35 |     36 |     37 |     38 |     39 |     40 |
|         1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|         2 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|         3 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|         4 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|         5 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|         6 |   0.60 |   1.40 |   2.50 |   1.20 |   2.00 |   0.50 |   2.50 |   0.80 |   0.40 |   2.70 |   1.50 |   1.90 |   1.30 |   3.00 |   1.30 |   0.70 |   1.20 |   0.40 |   2.30 |   2.40 |   3.00 |   0.10 |   2.60 |   1.90 |   1.10 |   1.90 |   2.20 |   1.50 |   2.60 |   1.50 |   1.00 |   0.50 |   3.80 |   0.90 |   4.80 |   1.30 |   1.70 |   1.60 |   2.70 |   0.80 |
|         7 |  18.40 |  21.50 |  25.50 |  16.10 |  26.70 |   8.60 |  32.80 |   7.60 |  11.70 |  18.10 |  22.80 |  19.60 |  17.10 |  13.50 |  14.10 |  14.20 |   8.50 |      0 |  25.00 |  19.20 |  25.80 |   4.60 |  29.60 |  18.70 |   6.50 |  20.40 |  22.80 |  16.80 |  14.40 |  12.30 |  14.80 |   5.10 |  48.50 |   9.50 |  48.10 |  33.80 |   7.20 |  18.80 |  31.40 |  19.40 |
|         8 |  90.00 |  34.60 |  64.30 |  48.90 |  22.70 |  22.40 | 127.30 |  28.00 |  35.40 |  46.20 |  69.30 |  48.70 |  38.30 |  13.40 |  55.30 |  47.10 |  52.30 |   6.80 | 100.60 |  57.60 |  41.90 |  24.90 |  80.50 |  57.60 |  27.10 |  62.00 |  98.20 |  66.50 |  49.70 |  38.30 |  33.00 |  21.10 | 124.10 |  36.70 | 141.60 | 144.40 |  40.00 |  53.10 |  77.50 |  44.90 |
|         9 | 143.40 |  99.10 | 170.20 |  92.60 |  45.40 |  60.20 | 244.10 | 110.20 |  77.60 | 103.10 |  87.70 | 100.50 |  93.10 |  68.20 | 141.20 |  98.30 | 125.60 |  44.90 | 203.60 | 131.10 | 147.10 |  71.40 | 152.00 | 135.30 |  30.90 | 129.80 | 204.10 | 148.10 |  84.70 |  52.80 | 103.80 |  57.20 | 172.00 | 115.00 | 223.70 | 246.00 | 139.40 | 109.20 | 117.70 | 168.70 |
|        10 | 228.20 | 182.20 | 238.90 | 185.10 |  91.60 | 127.10 | 342.90 | 197.60 | 180.10 | 157.60 | 168.30 | 155.70 | 116.40 | 170.90 | 247.50 | 205.10 | 239.70 |  61.80 | 263.90 | 211.20 | 221.70 | 144.70 | 253.10 | 255.50 |  66.70 | 202.60 | 274.20 | 235.20 | 163.10 |  70.00 | 144.90 | 109.80 | 240.10 | 192.40 | 312.10 | 287.60 | 206.90 | 226.50 | 209.80 | 245.10 |
