# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |     2 |    3 |     4 |     5 |     6 |     7 |     8 |     9 |   10 |    11 |    12 |   13 |    14 |    15 |    16 |    17 |    18 |   19 |   20 |   21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |   33 |   34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  6.40 |  6.32 | 6.43 |  5.84 |  6.20 |  5.82 |  6.28 |  5.91 |  7.22 | 6.02 |  5.94 |  6.19 | 6.24 |  6.18 |  6.46 |  6.27 |  6.74 |  6.05 | 6.52 | 6.57 | 6.08 |  6.59 |  6.49 |  5.58 |  6.05 |  6.22 |  6.58 |  6.09 |  6.06 |  6.14 |  6.40 |  5.82 | 5.67 | 6.40 |  5.90 |  6.30 |  6.69 |  6.77 |  6.66 |  5.82 |
|         1 |  6.37 |  6.39 | 6.62 |  5.65 |  6.29 |  5.85 |  6.51 |  5.70 |  7.15 | 5.91 |  5.87 |  6.36 | 6.00 |  6.11 |  6.38 |  6.15 |  6.83 |  6.13 | 6.30 | 6.12 | 6.02 |  6.54 |  6.51 |  5.86 |  6.16 |  6.04 |  6.62 |  6.12 |  6.23 |  6.19 |  6.56 |  5.65 | 5.49 | 6.27 |  6.14 |  6.31 |  6.82 |  6.74 |  6.42 |  5.94 |
|         2 |  6.30 |  6.31 | 6.68 |  5.89 |  6.13 |  5.82 |  6.74 |  6.10 |  7.01 | 5.61 |  5.99 |  6.11 | 5.76 |  5.95 |  6.40 |  6.04 |  6.73 |  6.11 | 6.24 | 6.02 | 6.11 |  6.68 |  6.47 |  6.15 |  6.25 |  6.05 |  6.53 |  6.02 |  6.23 |  6.14 |  6.71 |  5.50 | 5.67 | 6.30 |  6.29 |  6.08 |  6.79 |  6.63 |  6.50 |  5.30 |
|         3 |  6.14 |  6.20 | 6.66 |  6.07 |  6.00 |  5.72 |  6.77 |  6.15 |  6.92 | 5.42 |  5.98 |  5.90 | 5.91 |  5.80 |  6.38 |  6.00 |  6.56 |  6.09 | 6.32 | 6.02 | 6.17 |  6.54 |  6.54 |  6.21 |  6.11 |  5.93 |  6.35 |  6.07 |  6.14 |  6.08 |  6.66 |  5.33 | 5.70 | 6.23 |  6.42 |  5.85 |  6.65 |  6.58 |  6.45 |  5.50 |
|         4 |  5.94 |  6.07 | 6.57 |  6.26 |  5.92 |  5.34 |  6.84 |  6.02 |  6.87 | 5.84 |  5.93 |  5.81 | 5.96 |  5.73 |  6.32 |  6.01 |  6.42 |  5.96 | 6.32 | 6.11 | 6.10 |  6.39 |  6.54 |  6.15 |  6.01 |  6.05 |  6.18 |  5.93 |  5.92 |  6.22 |  6.60 |  5.33 | 5.66 | 6.03 |  6.41 |  5.67 |  6.54 |  6.29 |  6.36 |  5.58 |
|         5 |  5.82 |  5.94 | 6.56 |  6.25 |  5.86 |  5.03 |  6.71 |  5.93 |  6.84 | 5.88 |  5.87 |  5.78 | 5.97 |  5.67 |  6.20 |  6.03 |  6.32 |  5.94 | 6.07 | 5.98 | 5.98 |  6.35 |  6.52 |  6.05 |  6.23 |  6.09 |  6.01 |  5.80 |  5.68 |  6.46 |  6.58 |  5.40 | 5.60 | 5.93 |  6.26 |  5.54 |  6.38 |  5.98 |  6.32 |  5.50 |
|         6 |  5.69 |  5.84 | 6.54 |  5.98 |  5.79 |  4.88 |  6.44 |  5.85 |  6.82 | 5.76 |  5.87 |  5.79 | 5.85 |  5.59 |  6.10 |  5.85 |  6.09 |  5.87 | 5.73 | 5.74 | 5.90 |  6.25 |  6.50 |  5.90 |  6.50 |  6.05 |  5.89 |  5.71 |  5.50 |  6.41 |  6.48 |  5.45 | 5.54 | 5.84 |  6.05 |  5.50 |  6.25 |  5.90 |  6.28 |  5.50 |
|         7 |  5.53 |  5.76 | 6.16 |  5.66 |  5.63 |  4.79 |  6.20 |  5.66 |  6.79 | 5.59 |  5.87 |  5.65 | 5.35 |  5.44 |  6.06 |  5.62 |  5.78 |  5.44 | 5.59 | 5.49 | 5.91 |  6.23 |  6.52 |  5.73 |  6.47 |  6.06 |  5.82 |  5.78 |  5.38 |  6.00 |  6.00 |  5.43 | 5.49 | 5.72 |  5.86 |  5.48 |  6.05 |  5.97 |  6.21 |  5.43 |
|         8 |  5.41 |  5.70 | 5.69 |  5.52 |  5.40 |  4.64 |  6.01 |  5.43 |  6.80 | 5.42 |  5.76 |  5.48 | 4.60 |  5.33 |  5.84 |  5.65 |  5.61 |  5.06 | 5.48 | 5.29 | 5.92 |  6.29 |  6.37 |  5.56 |  6.11 |  6.00 |  5.76 |  5.55 |  5.31 |  5.97 |  5.50 |  5.28 | 5.43 | 5.52 |  5.76 |  5.41 |  6.13 |  6.17 |  6.10 |  5.33 |
|         9 |  5.44 |  5.60 | 5.90 |  5.51 |  5.28 |  4.63 |  5.93 |  5.52 |  6.41 | 5.28 |  6.09 |  5.44 | 4.47 |  5.28 |  5.78 |  5.77 |  5.66 |  5.05 | 5.62 | 5.22 | 5.69 |  6.60 |  6.29 |  5.56 |  5.68 |  5.98 |  5.75 |  5.68 |  5.22 |  5.88 |  5.61 |  5.14 | 5.34 | 5.47 |  5.75 |  5.31 |  6.25 |  6.21 |  5.94 |  5.28 |
