# variable: Momentary Wind Speed at 10m
# units: km/h
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  2.95 |  3.01 |  3.14 |  4.70 |  4.47 |  3.79 |  1.47 |  3.17 |  1.68 |  3.09 |  2.52 |  3.31 |  2.18 |  3.04 |  2.38 |  3.27 |  4.22 |  4.46 |  4.37 |  3.60 |  2.27 |  3.20 |  4.31 |  4.35 |  3.59 |  3.70 |  3.92 |  3.34 |  3.67 |  3.81 |  4.15 |  3.05 |  3.35 |  3.83 |  2.98 |  3.94 |  3.49 |  3.98 |  3.98 |  3.22 |
|         1 |  3.29 |  2.89 |  4.00 |  4.53 |  4.62 |  4.28 |  2.08 |  3.70 |  2.23 |  3.48 |  2.61 |  3.17 |  2.42 |  3.15 |  2.43 |  3.51 |  4.34 |  4.46 |  4.55 |  3.82 |  2.76 |  3.56 |  4.47 |  4.53 |  3.85 |  3.94 |  3.83 |  3.94 |  4.16 |  3.77 |  3.91 |  3.91 |  3.68 |  3.76 |  3.49 |  3.88 |  3.83 |  3.82 |  4.17 |  4.04 |
|         2 |  3.43 |  2.33 |  3.69 |  4.05 |  4.82 |  4.35 |  1.90 |  3.24 |  2.43 |  3.77 |  2.36 |  3.16 |  2.75 |  2.70 |  2.68 |  3.42 |  3.58 |  3.95 |  4.27 |  3.24 |  3.02 |  3.26 |  4.32 |  4.12 |  3.63 |  3.80 |  3.42 |  3.62 |  4.22 |  3.22 |  3.60 |  4.08 |  3.30 |  3.60 |  3.25 |  3.44 |  3.87 |  3.42 |  4.20 |  3.55 |
|         3 |  3.21 |  1.64 |  3.76 |  4.57 |  4.67 |  3.86 |  0.52 |  3.48 |  2.52 |  3.57 |  2.62 |  3.23 |  3.52 |  3.08 |  2.32 |  3.45 |  3.80 |  3.54 |  4.58 |  3.11 |  3.19 |  3.34 |  4.33 |  4.13 |  3.57 |  4.16 |  3.70 |  3.32 |  4.33 |  2.70 |  3.61 |  4.05 |  3.09 |  3.68 |  3.17 |  3.56 |  4.17 |  3.58 |  4.63 |  3.60 |
|         4 |  3.90 |  2.83 |  3.79 |  4.86 |  5.07 |  3.70 |  2.31 |  3.68 |  3.24 |  3.31 |  3.74 |  3.86 |  3.80 |  3.56 |  2.93 |  4.08 |  3.98 |  4.24 |  5.11 |  4.19 |  4.04 |  3.96 |  5.45 |  5.06 |  4.92 |  4.42 |  3.97 |  4.11 |  4.68 |  3.43 |  4.24 |  4.02 |  3.33 |  4.52 |  3.79 |  4.26 |  4.72 |  3.42 |  5.75 |  4.10 |
|         5 |  3.79 |  2.83 |  3.08 |  5.00 |  5.34 |  3.46 |  2.16 |  3.84 |  3.18 |  3.54 |  4.02 |  3.23 |  3.84 |  2.98 |  3.64 |  4.39 |  3.92 |  4.02 |  5.02 |  3.40 |  2.74 |  3.44 |  5.24 |  4.65 |  4.47 |  4.28 |  3.84 |  3.76 |  5.03 |  3.24 |  4.07 |  3.70 |  3.30 |  5.05 |  3.49 |  4.39 |  4.91 |  2.83 |  5.46 |  3.97 |
|         6 |  4.03 |  3.16 |  2.72 |  5.29 |  5.67 |  3.84 |  2.96 |  3.32 |  3.48 |  3.37 |  3.88 |  3.72 |  3.61 |  3.29 |  3.13 |  4.44 |  3.95 |  4.20 |  5.20 |  3.82 |  2.98 |  3.19 |  5.67 |  4.33 |  4.34 |  4.52 |  4.00 |  3.94 |  4.94 |  3.01 |  4.21 |  3.64 |  3.38 |  5.10 |  3.15 |  4.04 |  4.70 |  3.56 |  4.82 |  3.83 |
|         7 |  5.02 |  2.77 |  3.02 |  5.63 |  6.11 |  4.20 |  2.44 |  3.33 |  2.81 |  2.82 |  3.83 |  3.44 |  3.59 |  3.40 |  3.59 |  4.77 |  4.07 |  5.36 |  6.59 |  3.62 |  4.02 |  3.54 |  6.17 |  4.87 |  4.70 |  4.78 |  4.14 |  4.97 |  5.84 |  3.54 |  4.16 |  4.12 |  3.44 |  5.48 |  3.17 |  5.18 |  5.84 |  3.74 |  5.59 |  3.45 |
|         8 |  8.36 |  5.86 |  6.91 |  8.26 |  8.99 |  8.80 |  6.12 |  7.46 |  6.23 |  6.38 |  7.02 |  7.37 |  7.64 |  8.03 |  6.16 |  7.81 |  8.13 |  7.32 |  8.66 |  6.80 |  7.11 |  8.28 |  7.91 |  7.27 |  8.24 |  7.96 |  7.60 |  8.05 |  8.00 |  6.45 |  7.07 |  6.46 |  7.23 |  7.51 |  7.31 |  7.82 |  8.53 |  6.89 |  8.04 |  7.03 |
|         9 |  9.07 |  7.87 |  8.56 | 10.22 |  9.49 | 10.59 |  8.02 |  8.74 |  7.94 |  9.23 |  8.67 |  9.72 |  9.92 |  9.00 |  7.94 |  9.32 |  9.74 | 10.11 | 10.83 |  7.96 |  7.96 |  8.49 |  9.41 |  9.11 |  9.51 | 10.74 | 10.21 |  8.97 |  9.25 |  7.94 |  8.54 |  8.62 |  9.26 |  9.24 |  8.67 |  9.22 | 10.62 |  8.10 |  9.44 |  7.99 |
|        10 | 10.56 |  8.81 |  9.15 | 11.11 | 11.09 | 11.95 |  9.35 |  9.71 |  9.14 | 10.56 |  9.71 | 11.24 | 10.78 | 10.42 |  9.07 | 10.74 | 10.16 | 11.69 | 11.43 |  9.31 |  8.53 | 11.12 | 10.31 | 10.19 | 10.44 | 12.13 | 10.59 | 10.09 | 10.07 | 10.10 |  9.18 | 10.21 | 10.56 | 10.24 |  9.60 |  9.94 | 11.41 |  9.37 | 10.25 |  9.33 |
|        11 | 10.98 | 10.18 | 10.26 | 12.33 | 11.90 | 12.44 | 10.46 | 10.18 | 10.00 | 11.63 |  9.73 | 11.48 | 11.14 | 10.76 | 10.43 | 11.64 | 10.16 | 11.80 | 11.65 |  9.94 | 10.32 | 11.66 | 11.35 | 10.45 | 11.33 | 13.46 | 10.77 | 11.05 | 10.76 | 10.61 |  9.75 | 10.37 | 11.08 | 10.86 | 11.10 | 10.43 | 11.79 | 10.43 | 10.95 | 10.47 |
|        12 | 11.48 | 10.28 | 10.52 | 12.80 | 12.35 | 12.38 | 11.25 |  9.90 |  9.82 | 11.78 |  9.72 | 11.48 | 11.08 | 10.68 |  9.89 | 11.94 |  9.79 | 10.72 | 12.49 | 10.48 | 10.87 | 10.91 | 11.97 | 10.29 | 11.27 | 12.98 | 10.59 | 11.15 | 11.03 | 10.00 |  9.33 | 10.22 | 11.66 | 11.38 | 11.04 | 11.05 | 11.60 | 10.92 | 11.17 | 10.25 |
