# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 | 10.95 | 10.83 | 10.80 | 11.11 | 10.50 | 10.94 | 10.65 | 10.60 | 10.76 | 10.58 | 11.31 | 10.69 | 10.75 | 10.02 | 10.45 | 10.59 | 10.89 | 10.40 | 11.15 | 10.67 | 10.96 | 10.93 | 10.84 | 10.96 | 11.29 | 10.82 | 10.39 | 11.12 | 10.55 | 11.42 | 10.51 | 11.21 | 11.11 | 11.18 | 10.64 | 11.35 | 11.45 | 10.76 | 10.57 | 10.37 |
|         1 | 10.83 | 10.77 | 10.60 | 10.94 | 10.47 | 10.90 | 10.73 | 10.61 | 10.64 | 10.59 | 11.18 | 10.67 | 10.73 | 10.00 | 10.39 | 10.56 | 10.96 | 10.49 | 10.98 | 10.67 | 10.95 | 10.88 | 10.74 | 10.97 | 11.25 | 10.72 | 10.25 | 11.04 | 10.54 | 11.26 | 10.47 | 11.23 | 11.01 | 11.21 | 10.52 | 11.25 | 11.32 | 10.70 | 10.59 | 10.26 |
|         2 | 10.72 | 10.80 | 10.53 | 10.94 | 10.49 | 10.79 | 10.75 | 10.66 | 10.56 | 10.65 | 11.10 | 10.62 | 10.83 | 10.03 | 10.32 | 10.49 | 10.99 | 10.53 | 10.85 | 10.55 | 10.91 | 10.80 | 10.68 | 10.97 | 11.14 | 10.53 | 10.03 | 11.07 | 10.57 | 11.18 | 10.32 | 11.12 | 10.94 | 11.26 | 10.44 | 11.19 | 11.27 | 10.57 | 10.72 | 10.15 |
|         3 | 10.79 | 10.78 | 10.52 | 10.91 | 10.57 | 10.75 | 10.72 | 10.63 | 10.51 | 10.70 | 11.05 | 10.75 | 10.87 | 10.10 | 10.31 | 10.51 | 10.97 | 10.59 | 10.82 | 10.64 | 10.93 | 10.76 | 10.71 | 10.92 | 11.11 | 10.44 |  9.92 | 11.11 | 10.64 | 11.20 | 10.26 | 11.02 | 10.91 | 11.26 | 10.37 | 11.26 | 11.22 | 10.59 | 10.77 | 10.10 |
|         4 | 11.05 | 10.85 | 10.63 | 10.96 | 10.72 | 10.98 | 10.77 | 10.67 | 10.63 | 10.77 | 11.17 | 10.98 | 10.98 | 10.24 | 10.45 | 10.72 | 11.08 | 10.76 | 10.94 | 10.93 | 11.13 | 10.89 | 10.89 | 10.96 | 11.26 | 10.53 | 10.01 | 11.26 | 10.77 | 11.32 | 10.29 | 11.04 | 11.00 | 11.32 | 10.49 | 11.45 | 11.26 | 10.78 | 10.94 | 10.21 |
|         5 | 11.41 | 11.03 | 10.86 | 11.06 | 10.93 | 11.39 | 10.88 | 10.82 | 10.88 | 10.91 | 11.42 | 11.21 | 11.16 | 10.34 | 10.69 | 11.00 | 11.30 | 11.13 | 11.10 | 11.24 | 11.37 | 11.12 | 11.16 | 11.12 | 11.50 | 10.71 | 10.25 | 11.44 | 10.92 | 11.58 | 10.43 | 11.22 | 11.18 | 11.46 | 10.75 | 11.65 | 11.42 | 11.04 | 11.22 | 10.44 |
|         6 | 11.68 | 11.23 | 11.24 | 11.22 | 11.14 | 11.74 | 11.03 | 11.08 | 11.16 | 11.10 | 11.67 | 11.37 | 11.47 | 10.40 | 10.96 | 11.28 | 11.59 | 11.58 | 11.32 | 11.42 | 11.59 | 11.42 | 11.39 | 11.32 | 11.78 | 10.91 | 10.53 | 11.60 | 11.12 | 11.99 | 10.60 | 11.55 | 11.40 | 11.65 | 10.99 | 11.80 | 11.67 | 11.32 | 11.47 | 10.71 |
|         7 | 11.80 | 11.41 | 11.59 | 11.36 | 11.33 | 12.00 | 11.05 | 11.40 | 11.39 | 11.19 | 11.82 | 11.46 | 11.69 | 10.38 | 11.14 | 11.38 | 11.74 | 11.86 | 11.51 | 11.54 | 11.76 | 11.60 | 11.51 | 11.43 | 11.96 | 11.12 | 10.70 | 11.70 | 11.28 | 12.45 | 10.73 | 11.80 | 11.57 | 11.88 | 11.12 | 11.89 | 11.89 | 11.43 | 11.72 | 11.00 |
|         8 | 11.79 | 11.49 | 11.75 | 11.41 | 11.39 | 12.17 | 11.04 | 11.59 | 11.38 | 11.15 | 11.94 | 11.53 | 11.62 | 10.17 | 11.09 | 11.57 | 11.56 | 11.87 | 11.63 | 11.73 | 11.71 | 11.71 | 11.60 | 11.45 | 11.91 | 11.24 | 10.73 | 11.80 | 11.36 | 12.68 | 10.81 | 11.65 | 11.56 | 12.00 | 11.04 | 11.90 | 11.90 | 11.50 | 11.81 | 11.26 |
|         9 | 11.87 | 11.59 | 11.98 | 11.63 | 11.29 | 12.09 | 11.07 | 11.46 | 11.54 | 11.22 | 12.20 | 11.50 | 11.34 |  9.94 | 11.12 | 11.47 | 11.53 | 12.19 | 11.65 | 11.69 | 11.48 | 11.76 | 11.62 | 11.46 | 11.75 | 11.21 | 10.88 | 11.90 | 11.53 | 12.73 | 10.83 | 11.27 | 11.31 | 11.92 | 10.75 | 11.90 | 11.82 | 11.42 | 11.52 | 11.46 |
