# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  8.63 |  9.45 | 10.30 | 11.15 | 11.84 |  9.37 | 10.42 |  9.75 |  9.90 | 11.26 | 11.09 |  9.99 |  9.24 |  9.75 | 13.02 | 11.04 | 11.70 | 10.23 | 12.02 |  9.03 | 10.55 |  9.34 | 11.42 | 11.82 | 11.80 | 10.89 | 10.34 | 11.24 | 11.08 |  9.47 | 11.46 | 11.21 |  8.75 |  9.94 | 10.41 | 10.81 | 10.64 | 11.12 | 11.64 | 12.23 |
|         1 |  8.41 |  8.99 |  9.85 | 10.97 | 11.56 |  8.71 | 10.03 |  9.17 |  9.83 | 11.26 | 11.12 |  9.66 |  8.94 |  9.23 | 12.61 | 10.82 | 11.36 | 10.01 | 11.88 |  8.76 | 10.43 |  8.91 | 10.85 | 11.81 | 11.62 | 10.61 | 10.11 | 10.95 | 11.10 |  8.80 | 11.33 | 10.91 |  8.30 |  9.69 | 10.11 | 10.06 | 10.29 | 10.77 | 11.38 | 11.88 |
|         2 |  8.24 |  8.52 |  9.03 |  9.79 | 11.07 |  8.15 |  9.26 |  8.38 |  9.17 | 10.96 | 10.53 |  9.17 |  8.25 |  8.39 | 12.02 | 10.10 | 10.85 |  9.65 | 11.47 |  8.61 |  9.30 |  8.54 | 10.24 | 11.53 | 10.89 |  9.69 |  9.44 | 10.52 | 11.03 |  8.47 | 10.66 | 10.12 |  7.69 |  9.20 |  9.72 |  9.85 |  9.79 |  9.86 | 10.61 | 11.14 |
|         3 |  7.78 |  7.98 |  8.52 |  9.10 | 10.66 |  7.80 |  8.52 |  7.77 |  8.39 | 10.55 |  9.74 |  8.63 |  7.77 |  8.24 | 11.41 |  9.33 | 10.35 |  9.11 | 10.93 |  7.92 |  8.69 |  8.23 |  9.75 | 10.79 | 10.35 |  8.71 |  8.86 | 10.04 | 10.85 |  8.23 |  9.70 |  9.08 |  6.81 |  8.70 |  9.41 |  9.46 |  9.33 |  9.11 |  9.89 | 10.31 |
|         4 |  7.42 |  7.23 |  8.11 |  8.86 | 10.15 |  7.70 |  7.87 |  7.08 |  7.77 | 10.00 |  8.96 |  8.44 |  7.65 |  8.07 | 10.87 |  8.75 |  9.98 |  8.45 | 10.00 |  7.73 |  8.22 |  7.88 |  9.17 |  9.85 |  9.88 |  7.93 |  8.28 |  9.47 | 10.46 |  7.93 |  8.74 |  9.19 |  5.83 |  8.59 |  9.16 |  9.06 |  8.83 |  8.50 |  9.44 |  9.53 |
|         5 |  7.22 |  6.29 |  7.75 |  8.68 |  9.67 |  7.20 |  7.04 |  6.64 |  8.00 |  9.44 |  8.19 |  8.13 |  7.66 |  7.97 | 10.34 |  8.50 |  9.53 |  8.28 |  8.54 |  7.73 |  7.79 |  7.77 |  9.24 |  9.27 |  9.38 |  7.14 |  8.05 |  8.98 |  9.93 |  7.75 |  8.13 |  9.05 |  5.26 |  8.33 |  8.71 |  8.86 |  8.52 |  7.91 |  8.90 |  8.87 |
|         6 |  7.70 |  5.83 |  7.92 |  9.06 |  9.61 |  7.39 |  6.77 |  6.81 |  8.54 |  9.48 |  7.80 |  8.00 |  7.69 |  8.32 | 10.27 |  8.75 |  9.59 |  8.39 |  8.24 |  8.12 |  7.74 |  7.85 |  9.52 |  9.49 |  9.29 |  6.92 |  8.05 |  8.83 |  9.66 |  8.04 |  8.15 |  8.98 |  5.09 |  8.14 |  8.54 |  9.20 |  8.88 |  7.86 |  8.58 |  8.58 |
|         7 |  9.94 |  8.75 |  9.99 | 10.87 | 11.37 |  9.71 |  9.21 |  9.07 | 10.77 | 11.43 |  9.53 |  9.75 | 10.25 |  9.91 | 11.87 | 10.45 | 11.60 | 10.41 | 10.17 | 10.45 | 10.17 | 10.10 | 11.55 | 11.12 | 10.84 |  9.22 | 10.11 | 10.70 | 11.30 | 10.24 | 10.58 | 10.40 |  8.13 | 10.18 | 10.47 | 11.30 | 10.92 | 10.23 | 10.49 | 10.30 |
|         8 | 14.69 | 14.50 | 14.17 | 13.94 | 15.09 | 14.87 | 14.29 | 14.75 | 14.63 | 14.80 | 13.45 | 13.62 | 14.49 | 14.34 | 14.90 | 13.93 | 15.16 | 14.23 | 14.08 | 15.40 | 14.59 | 14.28 | 14.81 | 14.34 | 14.93 | 13.63 | 14.81 | 15.05 | 14.48 | 15.02 | 14.84 | 14.01 | 14.84 | 14.37 | 14.73 | 14.43 | 14.82 | 14.61 | 15.13 | 14.60 |
|         9 | 17.61 | 17.33 | 16.94 | 16.83 | 17.75 | 17.78 | 17.21 | 17.60 | 17.70 | 17.31 | 15.64 | 16.38 | 17.31 | 17.12 | 17.53 | 16.42 | 17.63 | 16.83 | 16.69 | 18.46 | 17.27 | 17.19 | 17.71 | 16.61 | 17.41 | 16.36 | 17.67 | 17.75 | 16.98 | 17.70 | 17.79 | 16.66 | 17.71 | 16.98 | 17.28 | 17.12 | 17.57 | 17.56 | 17.54 | 17.48 |
