# variable: Mean Sea Level Pressure
# units: hPa
# 
| fcst_hour |       1 |       2 |       3 |       4 |       5 |       6 |       7 |       8 |       9 |      10 |      11 |      12 |      13 |      14 |      15 |      16 |      17 |      18 |      19 |      20 |      21 |      22 |      23 |      24 |      25 |      26 |      27 |      28 |      29 |      30 |      31 |      32 |      33 |      34 |      35 |      36 |      37 |      38 |      39 |      40 |
|         0 | 1016.31 | 1016.02 | 1016.55 | 1016.49 | 1016.11 | 1016.23 | 1016.71 | 1016.36 | 1016.58 | 1016.02 | 1017.05 | 1016.69 | 1016.68 | 1016.38 | 1016.55 | 1016.66 | 1017.00 | 1016.73 | 1016.52 | 1017.03 | 1016.30 | 1016.50 | 1015.87 | 1016.23 | 1016.79 | 1016.07 | 1016.53 | 1016.56 | 1016.20 | 1016.60 | 1016.51 | 1016.18 | 1016.32 | 1016.68 | 1016.52 | 1016.36 | 1016.60 | 1016.45 | 1015.70 | 1016.74 |
|         1 | 1016.50 | 1016.34 | 1016.77 | 1016.71 | 1016.15 | 1016.07 | 1016.62 | 1016.43 | 1016.51 | 1016.21 | 1017.20 | 1016.87 | 1016.51 | 1016.41 | 1016.43 | 1016.82 | 1017.51 | 1016.79 | 1016.81 | 1016.97 | 1016.42 | 1016.60 | 1016.05 | 1016.42 | 1016.98 | 1016.23 | 1016.62 | 1016.70 | 1016.54 | 1016.74 | 1016.62 | 1016.30 | 1016.65 | 1016.86 | 1017.01 | 1016.74 | 1017.02 | 1016.60 | 1015.90 | 1016.68 |
|         2 | 1016.51 | 1016.35 | 1016.81 | 1016.70 | 1016.05 | 1016.00 | 1016.82 | 1016.47 | 1016.67 | 1016.33 | 1017.01 | 1016.92 | 1016.57 | 1016.44 | 1016.31 | 1017.04 | 1017.42 | 1017.19 | 1016.95 | 1016.70 | 1016.53 | 1016.75 | 1016.19 | 1016.56 | 1017.08 | 1016.56 | 1016.70 | 1016.59 | 1016.82 | 1016.78 | 1016.75 | 1016.33 | 1016.84 | 1016.84 | 1017.40 | 1016.72 | 1016.94 | 1016.67 | 1016.07 | 1016.57 |
|         3 | 1016.65 | 1016.21 | 1016.89 | 1016.63 | 1016.32 | 1016.06 | 1016.97 | 1016.40 | 1016.88 | 1016.72 | 1016.81 | 1016.99 | 1016.64 | 1016.60 | 1016.60 | 1016.81 | 1017.35 | 1017.13 | 1017.09 | 1016.72 | 1016.61 | 1016.84 | 1016.44 | 1016.49 | 1017.17 | 1016.80 | 1016.56 | 1016.65 | 1017.10 | 1016.85 | 1016.67 | 1016.51 | 1016.82 | 1017.10 | 1017.44 | 1016.80 | 1016.79 | 1016.45 | 1015.96 | 1016.41 |
|         4 | 1016.98 | 1016.48 | 1017.25 | 1016.83 | 1016.73 | 1016.48 | 1017.08 | 1016.53 | 1017.29 | 1016.72 | 1017.03 | 1017.18 | 1017.13 | 1016.70 | 1016.96 | 1016.88 | 1017.30 | 1017.44 | 1017.35 | 1017.11 | 1016.84 | 1017.27 | 1016.92 | 1016.37 | 1017.31 | 1016.89 | 1016.76 | 1016.93 | 1017.35 | 1017.06 | 1016.82 | 1016.83 | 1017.27 | 1017.19 | 1017.39 | 1017.01 | 1017.00 | 1016.58 | 1016.38 | 1016.75 |
|         5 | 1016.58 | 1016.20 | 1017.25 | 1016.65 | 1016.56 | 1016.18 | 1016.78 | 1016.08 | 1016.78 | 1016.23 | 1016.81 | 1016.69 | 1016.95 | 1016.24 | 1016.70 | 1016.62 | 1016.96 | 1017.10 | 1017.23 | 1016.92 | 1016.44 | 1017.09 | 1016.67 | 1016.03 | 1016.91 | 1016.63 | 1016.34 | 1016.57 | 1016.71 | 1016.62 | 1016.59 | 1016.26 | 1017.12 | 1016.80 | 1016.92 | 1016.73 | 1016.64 | 1016.49 | 1016.25 | 1016.70 |
|         6 | 1016.95 | 1016.88 | 1017.61 | 1017.25 | 1016.78 | 1016.53 | 1017.06 | 1016.28 | 1017.01 | 1016.53 | 1017.51 | 1017.14 | 1017.38 | 1016.45 | 1017.12 | 1017.01 | 1017.36 | 1017.44 | 1017.67 | 1017.40 | 1017.00 | 1017.48 | 1016.99 | 1016.53 | 1016.78 | 1017.01 | 1016.70 | 1016.88 | 1017.15 | 1017.00 | 1017.02 | 1016.59 | 1017.64 | 1017.07 | 1017.44 | 1016.74 | 1016.78 | 1017.07 | 1016.61 | 1017.23 |
|         7 | 1016.57 | 1016.64 | 1017.19 | 1017.03 | 1016.66 | 1016.34 | 1016.89 | 1015.87 | 1016.77 | 1016.42 | 1017.39 | 1016.77 | 1016.98 | 1016.36 | 1016.73 | 1016.76 | 1017.29 | 1017.20 | 1017.60 | 1017.16 | 1016.77 | 1017.26 | 1016.46 | 1016.42 | 1016.41 | 1016.97 | 1016.33 | 1016.53 | 1017.00 | 1017.00 | 1016.68 | 1016.19 | 1017.30 | 1017.03 | 1017.13 | 1016.39 | 1016.35 | 1016.57 | 1016.44 | 1017.00 |
|         8 | 1016.95 | 1016.90 | 1017.48 | 1017.51 | 1017.07 | 1016.92 | 1017.37 | 1016.25 | 1017.29 | 1017.05 | 1017.79 | 1016.88 | 1017.59 | 1016.89 | 1017.09 | 1017.38 | 1017.59 | 1017.61 | 1017.88 | 1017.59 | 1017.09 | 1017.49 | 1017.19 | 1016.85 | 1017.15 | 1017.36 | 1016.87 | 1017.05 | 1017.53 | 1017.55 | 1016.83 | 1016.77 | 1017.47 | 1017.83 | 1017.34 | 1016.92 | 1016.88 | 1017.24 | 1016.93 | 1017.56 |
|         9 | 1016.99 | 1016.93 | 1017.70 | 1017.90 | 1016.82 | 1016.96 | 1017.40 | 1016.25 | 1017.42 | 1017.13 | 1017.86 | 1016.96 | 1018.07 | 1017.39 | 1017.01 | 1017.58 | 1017.90 | 1017.79 | 1017.79 | 1017.79 | 1017.40 | 1017.38 | 1017.16 | 1016.87 | 1017.45 | 1017.47 | 1016.77 | 1017.11 | 1017.57 | 1017.48 | 1016.95 | 1017.02 | 1017.88 | 1018.03 | 1017.42 | 1016.84 | 1016.94 | 1017.28 | 1017.14 | 1017.57 |
|        10 | 1017.13 | 1016.98 | 1017.91 | 1017.77 | 1016.89 | 1017.33 | 1017.31 | 1016.91 | 1017.46 | 1017.03 | 1017.45 | 1016.61 | 1018.31 | 1017.31 | 1017.03 | 1018.08 | 1017.64 | 1017.76 | 1017.46 | 1017.41 | 1017.30 | 1017.41 | 1017.42 | 1016.93 | 1017.25 | 1017.45 | 1016.52 | 1017.07 | 1017.80 | 1017.32 | 1017.29 | 1016.59 | 1017.73 | 1017.94 | 1017.24 | 1016.77 | 1016.84 | 1017.13 | 1017.00 | 1017.55 |
|        11 | 1016.60 | 1016.94 | 1017.61 | 1016.86 | 1017.16 | 1017.24 | 1017.13 | 1016.61 | 1017.13 | 1016.82 | 1017.20 | 1015.72 | 1017.51 | 1017.04 | 1016.65 | 1017.78 | 1017.12 | 1017.24 | 1017.03 | 1017.00 | 1017.27 | 1016.91 | 1016.85 | 1016.63 | 1016.75 | 1017.13 | 1016.26 | 1016.74 | 1017.54 | 1016.77 | 1017.36 | 1016.29 | 1017.29 | 1016.97 | 1016.69 | 1016.55 | 1016.20 | 1016.76 | 1016.72 | 1017.19 |
|        12 | 1016.93 | 1016.90 | 1017.45 | 1016.87 | 1016.68 | 1016.91 | 1017.14 | 1016.37 | 1016.91 | 1016.58 | 1016.89 | 1015.83 | 1016.98 | 1016.96 | 1016.55 | 1017.53 | 1016.82 | 1017.64 | 1017.00 | 1016.39 | 1017.19 | 1016.62 | 1016.93 | 1016.87 | 1017.25 | 1017.17 | 1016.25 | 1016.88 | 1017.42 | 1016.13 | 1017.21 | 1015.89 | 1017.06 | 1016.57 | 1017.11 | 1016.70 | 1015.72 | 1016.71 | 1016.90 | 1017.24 |
