# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |   16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |   36 |    37 |    38 |    39 |    40 |
|         0 |  9.92 |  9.36 |  9.50 |  9.75 | 10.01 |  9.56 |  9.65 |  9.61 |  9.49 |  8.40 |  9.52 |  9.31 |  9.33 |  8.50 |  9.23 | 9.04 |  9.69 |  9.42 |  9.47 |  9.23 |  9.32 |  9.58 |  9.63 |  9.31 |  9.74 |  9.02 |  9.15 |  9.26 |  9.65 |  9.28 |  9.21 |  9.69 |  9.53 |  9.74 |  9.36 | 9.22 |  9.47 |  9.10 |  9.21 |  8.94 |
|         1 |  9.84 |  9.05 |  9.37 |  9.61 |  9.87 |  9.35 |  9.49 |  9.44 |  9.28 |  8.15 |  9.42 |  9.11 |  8.98 |  8.23 |  8.69 | 8.85 |  9.53 |  9.20 |  9.25 |  9.07 |  9.05 |  9.37 |  9.38 |  8.97 |  9.29 |  8.40 |  8.83 |  9.06 |  9.44 |  9.21 |  8.96 |  9.30 |  9.40 |  9.40 |  9.24 | 9.04 |  9.30 |  8.83 |  9.07 |  8.73 |
|         2 |  9.83 |  8.79 |  9.18 |  9.48 |  9.36 |  9.09 |  9.49 |  9.34 |  9.21 |  8.02 |  9.11 |  8.99 |  8.77 |  8.04 |  8.06 | 8.71 |  9.44 |  8.98 |  9.02 |  8.92 |  8.89 |  9.09 |  9.22 |  8.51 |  9.15 |  8.51 |  8.68 |  9.05 |  9.13 |  8.95 |  8.74 |  9.26 |  9.34 |  9.12 |  8.81 | 9.07 |  9.22 |  8.69 |  8.95 |  8.73 |
|         3 |  9.79 |  8.63 |  9.14 |  9.30 |  9.19 |  8.93 |  9.38 |  9.06 |  9.23 |  7.98 |  8.58 |  9.07 |  8.49 |  8.10 |  8.27 | 8.51 |  9.27 |  8.71 |  8.97 |  8.95 |  8.83 |  8.99 |  9.08 |  8.47 |  9.12 |  8.88 |  8.55 |  8.98 |  8.96 |  8.78 |  8.74 |  9.20 |  9.24 |  9.22 |  8.16 | 9.13 |  9.12 |  8.61 |  8.93 |  8.72 |
|         4 |  9.79 |  8.88 |  9.17 |  9.13 |  9.27 |  9.00 |  9.35 |  8.84 |  9.12 |  8.11 |  8.56 |  9.13 |  8.64 |  8.20 |  8.72 | 8.15 |  9.05 |  8.68 |  8.94 |  8.98 |  8.83 |  8.96 |  8.90 |  8.52 |  9.02 |  9.07 |  8.30 |  8.73 |  8.61 |  8.87 |  8.65 |  9.10 |  9.25 |  9.35 |  8.15 | 9.05 |  8.84 |  8.55 |  8.91 |  8.60 |
|         5 |  9.75 |  9.20 |  9.15 |  8.63 |  9.23 |  8.80 |  9.32 |  9.06 |  8.93 |  7.96 |  7.97 |  8.73 |  8.34 |  7.82 |  8.58 | 7.83 |  8.83 |  8.61 |  8.85 |  8.79 |  8.71 |  8.96 |  8.67 |  8.20 |  8.98 |  9.26 |  7.91 |  8.53 |  8.45 |  8.80 |  8.08 |  8.62 |  9.31 |  9.22 |  7.66 | 8.78 |  8.43 |  8.06 |  8.67 |  8.21 |
|         6 |  9.59 |  9.42 |  9.25 |  8.14 |  9.24 |  8.61 |  9.25 |  8.99 |  8.51 |  8.18 |  7.70 |  8.21 |  7.96 |  8.21 |  8.30 | 7.92 |  8.58 |  8.55 |  8.54 |  7.90 |  8.10 |  8.90 |  8.43 |  7.99 |  8.79 |  9.14 |  7.60 |  8.33 |  8.12 |  8.76 |  7.67 |  8.28 |  9.33 |  9.07 |  7.50 | 8.43 |  8.12 |  8.06 |  8.17 |  7.92 |
|         7 |  9.23 |  9.25 |  9.31 |  7.97 |  9.38 |  8.43 |  9.19 |  9.06 |  8.06 |  8.65 |  7.67 |  7.86 |  7.65 |  8.58 |  8.65 | 8.09 |  8.23 |  8.20 |  8.01 |  7.88 |  8.13 |  8.76 |  8.10 |  8.01 |  8.14 |  9.01 |  7.96 |  7.92 |  8.00 |  8.71 |  7.80 |  8.16 |  9.32 |  8.80 |  7.30 | 8.26 |  8.58 |  8.67 |  8.12 |  8.01 |
|         8 |  8.66 |  8.58 |  9.36 |  8.31 |  8.87 |  8.26 |  9.07 |  8.54 |  8.03 |  8.79 |  7.75 |  7.96 |  8.01 |  8.45 |  8.79 | 7.95 |  8.39 |  8.18 |  8.11 |  8.46 |  8.37 |  8.36 |  7.90 |  8.26 |  8.19 |  9.05 |  8.41 |  7.72 |  8.70 |  9.22 |  8.30 |  8.16 |  9.32 |  8.34 |  7.33 | 8.49 |  9.07 |  8.73 |  8.46 |  8.08 |
|         9 |  8.53 |  8.31 |  9.17 |  8.66 |  8.62 |  8.73 |  8.98 |  8.64 |  8.29 |  8.82 |  7.84 |  8.28 |  8.32 |  8.43 |  8.79 | 8.11 |  9.03 |  8.30 |  8.43 |  9.01 |  8.76 |  8.49 |  8.09 |  8.57 |  8.78 |  8.71 |  8.79 |  7.79 |  8.79 |  9.06 |  8.66 |  8.04 |  9.26 |  8.50 |  7.47 | 8.53 |  8.92 |  8.91 |  8.84 |  8.43 |
