# variable: Momentary Wind Speed at 10m
# units: km/h
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |    6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |   33 |    34 |    35 |    36 |    37 |   38 |    39 |    40 |
|         0 | 10.42 |  8.35 |  8.40 |  8.56 |  8.20 | 9.81 |  9.82 |  8.61 | 10.91 |  9.23 | 10.53 | 10.50 |  8.45 |  9.23 |  7.56 |  9.11 | 10.45 | 10.32 |  9.05 |  9.78 |  8.61 | 10.99 |  6.07 |  7.82 | 10.76 |  9.80 |  8.87 |  8.26 |  8.18 | 10.70 |  8.75 |  8.21 | 8.29 |  8.30 | 10.26 |  9.98 |  9.64 | 9.67 |  8.39 |  9.35 |
|         1 |  9.90 |  7.93 |  8.18 |  7.93 |  8.08 | 8.89 |  9.11 |  8.92 |  9.76 |  9.17 | 10.24 |  9.86 |  7.90 |  8.84 |  7.14 |  8.33 |  9.72 | 10.13 |  8.69 |  9.39 |  8.06 | 10.12 |  5.95 |  7.70 | 10.06 |  9.20 |  7.91 |  7.81 |  7.97 |  9.87 |  8.14 |  7.45 | 8.19 |  7.54 |  9.56 |  9.04 |  9.04 | 8.71 |  7.87 |  8.52 |
|         2 |  8.86 |  7.59 |  7.71 |  7.60 |  7.39 | 7.75 |  8.40 |  8.97 |  9.19 |  9.33 |  9.74 |  9.63 |  7.56 |  8.66 |  6.73 |  7.50 |  8.80 |  9.68 |  8.46 |  8.98 |  7.56 |  9.33 |  5.70 |  7.43 |  9.71 |  8.65 |  7.76 |  7.21 |  7.01 |  8.84 |  7.72 |  7.01 | 7.96 |  7.09 |  9.35 |  8.27 |  8.42 | 7.64 |  7.31 |  7.79 |
|         3 |  8.13 |  7.30 |  6.98 |  7.35 |  6.92 | 7.13 |  8.14 |  8.72 |  8.43 |  8.61 |  8.88 |  9.10 |  7.21 |  8.45 |  6.45 |  6.80 |  8.24 |  8.96 |  8.31 |  8.94 |  7.14 |  8.37 |  5.55 |  6.87 |  9.34 |  7.75 |  7.38 |  6.96 |  6.32 |  7.77 |  7.41 |  6.77 | 7.45 |  6.73 |  8.78 |  7.50 |  7.44 | 6.94 |  6.81 |  6.95 |
|         4 |  7.51 |  7.15 |  6.23 |  6.83 |  6.44 | 6.80 |  7.80 |  8.18 |  7.45 |  7.77 |  8.16 |  8.84 |  7.08 |  8.22 |  6.02 |  6.37 |  7.97 |  8.26 |  7.76 |  8.84 |  6.76 |  7.86 |  5.54 |  6.51 |  8.81 |  7.19 |  7.02 |  6.64 |  5.71 |  6.91 |  6.92 |  6.59 | 7.06 |  6.36 |  8.19 |  7.13 |  6.80 | 6.80 |  6.64 |  6.49 |
|         5 |  6.56 |  6.84 |  5.53 |  5.98 |  5.86 | 6.09 |  7.23 |  7.30 |  6.66 |  6.85 |  7.57 |  8.35 |  6.87 |  7.51 |  5.52 |  5.84 |  7.39 |  7.39 |  6.86 |  8.08 |  6.07 |  7.52 |  5.16 |  6.02 |  8.06 |  6.59 |  6.54 |  6.19 |  5.20 |  6.44 |  6.12 |  6.24 | 6.65 |  5.64 |  7.34 |  6.58 |  6.21 | 6.39 |  6.22 |  6.21 |
|         6 |  6.03 |  6.41 |  5.22 |  5.30 |  5.26 | 5.39 |  6.88 |  6.74 |  6.14 |  6.50 |  6.85 |  7.66 |  6.90 |  6.79 |  5.18 |  5.32 |  7.10 |  6.89 |  6.17 |  7.64 |  5.31 |  6.98 |  4.81 |  5.64 |  7.67 |  6.04 |  6.44 |  5.54 |  5.04 |  5.98 |  5.69 |  5.84 | 6.26 |  4.95 |  6.61 |  6.17 |  5.62 | 5.84 |  5.74 |  6.18 |
|         7 |  5.63 |  6.11 |  5.21 |  4.40 |  5.04 | 5.15 |  6.45 |  6.48 |  5.81 |  6.21 |  6.61 |  7.28 |  6.77 |  6.28 |  4.89 |  5.21 |  6.94 |  6.55 |  5.55 |  7.47 |  4.77 |  6.53 |  4.03 |  5.53 |  7.76 |  5.63 |  6.84 |  5.18 |  4.93 |  5.57 |  5.71 |  5.62 | 6.21 |  4.69 |  6.49 |  5.87 |  5.51 | 5.23 |  5.52 |  5.95 |
|         8 |  5.90 |  6.56 |  5.63 |  5.32 |  6.63 | 4.57 |  6.88 |  7.58 |  7.61 |  6.88 |  7.54 |  8.13 |  7.55 |  6.95 |  7.12 |  5.89 |  8.09 |  7.53 |  5.77 |  9.61 |  6.91 |  9.40 |  6.01 |  6.70 |  9.26 |  6.07 |  7.78 |  8.56 |  6.34 |  6.01 |  5.93 |  6.61 | 6.72 |  8.23 |  7.58 |  6.22 |  6.42 | 6.03 |  6.07 |  6.14 |
|         9 |  7.98 |  8.69 |  7.51 |  8.04 |  9.36 | 7.50 |  9.56 | 11.01 |  8.76 |  9.30 |  9.96 | 10.55 |  9.39 |  9.38 |  9.59 |  7.43 | 10.80 | 10.51 |  9.45 | 12.09 |  8.87 | 10.90 |  9.01 |  8.69 | 12.12 |  8.65 | 10.35 | 10.78 |  9.34 |  8.52 |  7.11 |  8.40 | 8.35 | 10.18 |  9.95 |  7.89 |  8.77 | 7.63 |  8.23 |  8.41 |
