# variable: Momentary Wind Speed at 10m
# units: km/h
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |   10 |    11 |   12 |   13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  2.33 |  2.96 |  3.68 |  2.92 |  1.71 |  1.67 |  2.96 |  1.63 |  2.47 | 3.50 |  2.01 | 0.63 | 2.52 |  2.51 |  0.35 |  0.62 |  1.59 |  1.39 |  2.33 |  1.48 |  1.15 |  1.94 |  1.26 |  0.87 |  3.36 |  1.17 |  1.25 |  2.09 |  2.03 |  2.67 |  2.55 |  0.82 |  1.62 |  2.01 |  0.98 |  2.39 |  2.15 |  2.06 |  3.45 |  2.57 |
|         1 |  2.23 |  3.14 |  3.46 |  2.85 |  1.64 |  1.14 |  2.85 |  2.29 |  2.77 | 3.19 |  2.45 | 0.32 | 2.71 |  1.98 |  1.12 |  1.19 |  0.65 |  1.08 |  2.40 |  2.08 |  1.88 |  2.07 |  1.28 |  0.34 |  2.89 |  0.59 |  0.81 |  1.80 |  1.34 |  2.54 |  2.70 |  0.24 |  1.89 |  2.44 |  0.84 |  1.65 |  2.04 |  2.70 |  3.52 |  2.04 |
|         2 |  1.61 |  2.72 |  3.45 |  2.76 |  1.65 |  1.32 |  2.76 |  3.09 |  2.79 | 3.23 |  2.64 | 0.96 | 2.64 |  2.03 |  2.04 |  1.93 |  0.57 |  1.72 |  2.15 |  2.69 |  2.40 |  2.70 |  1.24 |  1.02 |  2.18 |  0.73 |  0.23 |  2.19 |  1.71 |  2.49 |  2.43 |  1.28 |  2.05 |  2.50 |  1.54 |  1.14 |  1.97 |  2.79 |  3.44 |  1.62 |
|         3 |  1.47 |  2.74 |  3.21 |  2.23 |  0.94 |  1.32 |  2.38 |  3.09 |  2.42 | 2.85 |  2.49 | 1.71 | 2.37 |  1.44 |  2.25 |  2.16 |  0.40 |  1.67 |  1.81 |  2.60 |  2.24 |  2.62 |  1.55 |  0.57 |  1.70 |  0.29 |  0.31 |  2.28 |  1.90 |  2.59 |  2.62 |  1.65 |  1.58 |  2.61 |  2.06 |  1.26 |  1.89 |  2.59 |  2.61 |  1.42 |
|         4 |  1.77 |  2.78 |  2.85 |  2.12 |  0.91 |  1.44 |  1.79 |  2.82 |  2.08 | 2.36 |  1.94 | 2.38 | 1.85 |  1.68 |  2.42 |  1.61 |  0.14 |  1.51 |  1.60 |  2.41 |  2.12 |  2.58 |  1.94 |  1.23 |  1.37 |  0.31 |  0.45 |  2.46 |  1.59 |  2.36 |  2.82 |  2.11 |  0.92 |  2.45 |  1.93 |  1.57 |  2.00 |  2.43 |  1.97 |  1.22 |
|         5 |  1.61 |  2.26 |  2.08 |  1.84 |  0.68 |  2.05 |  1.46 |  2.28 |  1.62 | 1.44 |  1.48 | 2.49 | 1.06 |  1.45 |  1.82 |  1.18 |  0.42 |  0.70 |  1.33 |  1.82 |  2.04 |  2.40 |  1.98 |  1.82 |  1.45 |  0.60 |  0.39 |  2.00 |  1.11 |  1.53 |  2.38 |  1.77 |  0.75 |  2.15 |  1.39 |  1.24 |  2.36 |  2.19 |  1.23 |  0.73 |
|         6 |  2.33 |  2.12 |  1.61 |  1.92 |  1.09 |  3.12 |  2.03 |  1.72 |  1.50 | 1.40 |  1.60 | 2.76 | 1.50 |  1.06 |  1.67 |  1.45 |  0.97 |  0.70 |  1.51 |  1.89 |  2.14 |  2.88 |  1.76 |  1.36 |  1.90 |  0.85 |  1.13 |  2.15 |  1.23 |  1.90 |  1.50 |  1.59 |  1.50 |  1.98 |  0.87 |  1.36 |  2.19 |  2.25 |  1.12 |  0.96 |
|         7 |  2.20 |  1.13 |  1.15 |  0.93 |  0.83 |  3.02 |  1.97 |  0.78 |  1.11 | 0.77 |  0.65 | 2.03 | 1.44 |  0.54 |  0.83 |  1.14 |  1.27 |  0.11 |  1.07 |  1.30 |  1.20 |  3.03 |  1.24 |  1.12 |  1.73 |  0.44 |  1.19 |  1.30 |  1.07 |  2.25 |  1.44 |  0.99 |  1.27 |  0.47 |  0.34 |  0.98 |  1.20 |  1.50 |  0.66 |  0.89 |
|         8 |  2.11 |  0.19 |  0.43 |  0.92 |  0.56 |  1.97 |  0.31 |  0.41 |  0.80 | 0.95 |  0.64 | 0.61 | 0.49 |  0.74 |  1.07 |  1.11 |  0.34 |  0.39 |  0.79 |  0.72 |  1.51 |  1.77 |  1.91 |  0.70 |  1.67 |  0.27 |  0.92 |  1.50 |  1.15 |  1.33 |  1.43 |  0.67 |  0.45 |  0.76 |  0.88 |  0.47 |  0.73 |  1.49 |  0.72 |  0.76 |
|         9 |  1.25 |  1.36 |  0.30 |  0.75 |  1.26 |  0.47 |  1.30 |  0.84 |  0.65 | 1.17 |  1.85 | 0.96 | 1.46 |  0.51 |  0.17 |  0.52 |  0.70 |  1.24 |  0.44 |  0.28 |  0.58 |  0.88 |  1.23 |  0.23 |  0.32 |  0.76 |  0.09 |  1.15 |  0.17 |  0.56 |  1.60 |  0.75 |  2.11 |  1.19 |  2.38 |  1.54 |  0.24 |  0.36 |  1.14 |  1.23 |
