# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |    1 |    2 |    3 |    4 |    5 |    6 |    7 |    8 |    9 |    10 |   11 |   12 |    13 |   14 |   15 |   16 |   17 |   18 |   19 |   20 |   21 |   22 |   23 |   24 |   25 |    26 |   27 |    28 |   29 |   30 |   31 |   32 |   33 |   34 |   35 |    36 |    37 |   38 |    39 |   40 |
|         0 | 5.06 | 5.70 | 5.63 | 4.94 | 5.17 | 6.68 | 5.56 | 5.40 | 5.53 |  5.42 | 5.65 | 5.40 |  4.98 | 4.44 | 5.49 | 5.27 | 4.55 | 5.50 | 5.94 | 5.48 | 5.57 | 5.10 | 6.06 | 6.04 | 5.28 |  5.49 | 5.38 |  5.27 | 5.05 | 4.45 | 6.13 | 6.02 | 4.09 | 6.00 | 6.56 |  5.37 |  5.68 | 5.49 |  5.06 | 6.12 |
|         1 | 4.43 | 5.29 | 4.97 | 4.22 | 4.85 | 6.02 | 4.95 | 5.03 | 5.08 |  5.26 | 4.70 | 5.28 |  4.74 | 4.25 | 5.13 | 4.80 | 4.11 | 4.63 | 5.51 | 4.67 | 5.18 | 4.76 | 5.46 | 5.17 | 5.24 |  4.95 | 4.99 |  4.85 | 4.42 | 4.46 | 5.56 | 5.59 | 4.12 | 5.23 | 6.32 |  4.56 |  5.25 | 4.93 |  4.94 | 5.37 |
|         2 | 4.17 | 4.91 | 4.57 | 3.94 | 4.68 | 5.63 | 4.97 | 4.76 | 4.80 |  5.71 | 4.61 | 5.46 |  4.93 | 4.76 | 4.93 | 5.10 | 4.21 | 4.30 | 5.30 | 4.43 | 5.23 | 4.73 | 5.19 | 5.28 | 5.40 |  4.82 | 4.99 |  4.71 | 4.30 | 4.66 | 5.03 | 5.50 | 4.48 | 5.11 | 6.22 |  4.30 |  4.97 | 4.47 |  5.07 | 5.38 |
|         3 | 4.38 | 4.99 | 4.90 | 4.22 | 4.70 | 5.49 | 4.68 | 4.76 | 4.86 |  5.79 | 4.99 | 5.57 |  5.21 | 4.81 | 4.89 | 5.31 | 4.56 | 4.52 | 5.62 | 5.01 | 5.26 | 4.78 | 5.32 | 5.51 | 5.68 |  4.94 | 5.36 |  5.14 | 4.68 | 5.20 | 4.73 | 5.62 | 4.61 | 5.86 | 6.06 |  4.92 |  5.40 | 4.58 |  5.07 | 5.80 |
|         4 | 4.35 | 4.94 | 4.99 | 4.44 | 4.85 | 5.51 | 4.16 | 4.95 | 5.28 |  5.16 | 5.07 | 5.61 |  4.79 | 4.72 | 4.42 | 4.96 | 4.71 | 4.41 | 5.07 | 5.24 | 4.95 | 4.38 | 5.19 | 4.97 | 5.24 |  4.80 | 5.27 |  4.95 | 4.67 | 5.10 | 4.95 | 5.40 | 4.85 | 5.96 | 6.26 |  4.82 |  5.41 | 4.53 |  4.67 | 5.76 |
|         5 | 4.24 | 4.89 | 4.43 | 4.29 | 4.77 | 5.72 | 4.23 | 4.31 | 5.05 |  4.61 | 4.62 | 5.39 |  4.13 | 4.59 | 3.99 | 4.42 | 4.73 | 4.26 | 4.94 | 4.98 | 4.66 | 3.97 | 4.79 | 4.85 | 4.78 |  4.72 | 5.00 |  4.36 | 4.73 | 5.00 | 4.73 | 5.01 | 4.44 | 5.57 | 6.28 |  4.72 |  5.26 | 4.37 |  4.20 | 5.37 |
|         6 | 4.08 | 4.40 | 3.95 | 4.07 | 4.15 | 5.66 | 4.04 | 3.64 | 4.61 |  4.06 | 4.24 | 4.97 |  3.70 | 4.44 | 3.48 | 3.55 | 4.13 | 4.09 | 4.82 | 4.70 | 4.06 | 4.04 | 3.95 | 4.42 | 4.19 |  4.64 | 4.33 |  4.02 | 4.48 | 4.62 | 4.43 | 4.65 | 3.90 | 5.24 | 5.99 |  4.38 |  5.08 | 4.11 |  4.14 | 4.82 |
|         7 | 3.81 | 3.88 | 3.60 | 3.94 | 4.09 | 5.02 | 4.13 | 2.97 | 3.89 |  3.61 | 3.93 | 4.68 |  3.82 | 4.43 | 3.26 | 3.08 | 3.79 | 3.70 | 4.69 | 4.45 | 3.40 | 4.37 | 3.28 | 4.11 | 3.81 |  4.53 | 3.83 |  3.98 | 3.83 | 4.12 | 4.28 | 4.22 | 3.14 | 4.85 | 5.31 |  4.01 |  4.62 | 3.88 |  3.93 | 4.31 |
|         8 | 3.66 | 3.50 | 3.30 | 3.73 | 4.27 | 4.37 | 4.03 | 2.76 | 3.23 |  3.38 | 3.65 | 4.56 |  3.86 | 3.92 | 3.23 | 3.04 | 3.72 | 3.56 | 4.55 | 4.23 | 3.10 | 4.22 | 3.21 | 3.81 | 3.54 |  4.13 | 4.10 |  4.23 | 3.00 | 3.79 | 4.24 | 3.87 | 2.48 | 4.34 | 5.06 |  4.01 |  4.19 | 3.54 |  3.87 | 3.94 |
|         9 | 3.62 | 3.22 | 3.12 | 3.35 | 4.07 | 3.96 | 4.10 | 2.97 | 3.50 |  3.36 | 3.67 | 4.43 |  3.96 | 4.02 | 3.33 | 3.18 | 3.92 | 3.36 | 4.43 | 3.95 | 3.11 | 4.27 | 3.33 | 3.90 | 3.33 |  3.81 | 4.36 |  4.34 | 2.63 | 3.71 | 4.54 | 3.74 | 2.31 | 4.07 | 5.16 |  4.36 |  4.26 | 3.42 |  4.20 | 3.91 |
|        10 | 3.70 | 3.36 | 3.21 | 2.95 | 3.81 | 3.98 | 4.35 | 3.15 | 3.72 |  3.56 | 3.83 | 4.62 |  4.04 | 3.99 | 3.38 | 3.53 | 4.28 | 3.26 | 4.60 | 3.99 | 3.47 | 4.62 | 3.67 | 4.03 | 3.33 |  3.96 | 4.30 |  4.24 | 3.06 | 4.01 | 4.74 | 3.95 | 2.93 | 4.06 | 5.29 |  4.95 |  4.60 | 3.61 |  4.23 | 4.70 |
|        11 | 3.96 | 3.86 | 3.42 | 3.10 | 3.69 | 4.56 | 4.45 | 3.68 | 3.99 |  3.77 | 4.03 | 4.75 |  4.19 | 3.80 | 3.55 | 3.60 | 4.50 | 3.23 | 4.47 | 4.95 | 3.82 | 4.85 | 4.16 | 4.54 | 3.73 |  4.40 | 4.20 |  4.21 | 3.74 | 4.48 | 3.89 | 4.65 | 3.28 | 4.33 | 5.38 |  4.93 |  4.98 | 3.79 |  3.95 | 4.84 |
|        12 | 4.24 | 4.01 | 3.82 | 3.26 | 4.16 | 5.48 | 4.51 | 4.06 | 3.90 |  3.97 | 4.46 | 4.70 |  4.53 | 3.73 | 3.78 | 3.62 | 4.50 | 3.43 | 4.63 | 5.11 | 3.92 | 4.32 | 4.43 | 3.77 | 5.03 |  4.75 | 4.43 |  4.18 | 4.12 | 4.78 | 4.01 | 4.87 | 3.13 | 4.87 | 5.59 |  4.98 |  5.31 | 3.80 |  3.79 | 5.10 |
|        13 | 4.33 | 4.05 | 4.37 | 3.51 | 4.34 | 5.14 | 4.67 | 4.56 | 4.10 |  4.41 | 4.93 | 4.62 |  4.65 | 3.90 | 4.01 | 3.67 | 4.68 | 3.51 | 4.63 | 5.25 | 3.98 | 4.47 | 4.64 | 4.19 | 4.71 |  4.99 | 4.50 |  4.04 | 4.30 | 4.93 | 4.22 | 4.61 | 3.39 | 5.24 | 5.90 |  4.75 |  5.07 | 3.84 |  4.06 | 5.02 |
|        14 | 4.15 | 4.65 | 4.53 | 3.94 | 4.57 | 5.28 | 4.94 | 4.61 | 4.30 |  4.46 | 4.55 | 4.83 |  4.64 | 4.01 | 4.21 | 3.82 | 5.03 | 3.80 | 4.66 | 4.88 | 4.32 | 4.75 | 4.55 | 4.51 | 4.14 |  5.11 | 4.57 |  4.15 | 4.15 | 4.79 | 4.63 | 3.85 | 3.65 | 5.48 | 5.96 |  5.15 |  4.73 | 3.76 |  4.43 | 4.97 |
|        15 | 3.88 | 4.62 | 4.27 | 3.93 | 4.73 | 4.94 | 5.12 | 4.31 | 4.48 |  4.42 | 3.78 | 5.15 |  4.81 | 4.01 | 3.94 | 4.06 | 4.21 | 3.96 | 4.68 | 4.12 | 4.35 | 4.83 | 4.46 | 4.75 | 4.08 |  5.05 | 4.59 |  4.61 | 4.26 | 4.51 | 5.09 | 3.90 | 3.63 | 5.71 | 5.90 |  4.88 |  5.27 | 3.79 |  5.01 | 4.90 |
|        16 | 3.62 | 4.02 | 4.54 | 4.17 | 4.48 | 5.08 | 5.10 | 4.05 | 4.87 |  4.08 | 3.89 | 5.23 |  4.57 | 4.12 | 4.07 | 4.42 | 4.02 | 4.33 | 4.71 | 4.29 | 4.28 | 4.64 | 4.30 | 5.02 | 4.21 |  4.89 | 4.61 |  4.68 | 4.34 | 4.23 | 5.14 | 4.51 | 3.60 | 5.75 | 5.93 |  4.42 |  5.69 | 3.80 |  5.67 | 5.38 |
|        17 | 3.21 | 4.03 | 5.28 | 4.14 | 5.26 | 5.55 | 4.87 | 3.92 | 5.55 |  4.04 | 4.16 | 5.28 |  4.48 | 3.98 | 4.77 | 5.79 | 4.57 | 4.41 | 5.25 | 5.10 | 4.70 | 4.86 | 4.35 | 5.22 | 4.50 |  4.84 | 4.74 |  4.74 | 4.70 | 4.53 | 5.42 | 5.04 | 3.69 | 5.83 | 5.99 |  4.73 |  5.80 | 4.28 |  5.47 | 6.13 |
|        18 | 3.34 | 4.25 | 5.81 | 3.99 | 5.37 | 5.72 | 4.86 | 4.15 | 5.53 |  4.26 | 4.19 | 5.52 |  4.75 | 3.86 | 4.93 | 6.44 | 5.27 | 4.73 | 5.99 | 5.32 | 4.52 | 5.02 | 4.46 | 5.42 | 4.97 |  4.53 | 5.23 |  4.64 | 4.84 | 5.08 | 5.44 | 5.16 | 3.89 | 5.73 | 6.00 |  5.46 |  5.66 | 4.61 |  6.16 | 6.36 |
|        19 | 3.88 | 4.51 | 6.34 | 3.85 | 5.23 | 6.22 | 4.91 | 4.45 | 5.52 |  5.04 | 4.34 | 6.09 |  4.76 | 4.19 | 4.58 | 5.84 | 5.40 | 5.20 | 6.12 | 5.14 | 3.77 | 5.08 | 4.67 | 5.68 | 5.48 |  4.47 | 5.29 |  4.95 | 4.53 | 5.55 | 5.36 | 4.90 | 3.99 | 5.22 | 5.92 |  6.09 |  5.26 | 5.17 |  6.43 | 6.15 |
|        20 | 4.13 | 4.39 | 6.38 | 3.76 | 4.91 | 6.99 | 4.75 | 4.45 | 5.69 |  5.42 | 4.34 | 6.07 |  4.55 | 4.67 | 3.81 | 5.55 | 4.96 | 5.94 | 5.90 | 5.11 | 4.05 | 5.08 | 4.61 | 5.54 | 5.63 |  4.49 | 5.50 |  5.15 | 4.36 | 5.52 | 5.57 | 4.96 | 4.38 | 5.07 | 5.72 |  5.92 |  5.44 | 5.44 |  6.36 | 6.47 |
|        21 | 4.03 | 4.47 | 5.82 | 3.87 | 5.03 | 7.12 | 4.74 | 4.21 | 5.89 |  5.43 | 4.45 | 6.03 |  4.64 | 4.57 | 3.49 | 5.30 | 4.77 | 5.87 | 5.73 | 5.14 | 4.25 | 4.79 | 4.68 | 5.64 | 5.48 |  5.17 | 5.26 |  5.61 | 4.27 | 5.39 | 5.45 | 5.50 | 4.88 | 4.88 | 5.73 |  5.48 |  5.46 | 5.74 |  6.40 | 6.30 |
|        22 | 3.74 | 4.74 | 5.55 | 4.12 | 4.80 | 6.94 | 4.57 | 4.06 | 5.89 |  5.27 | 4.47 | 6.26 |  4.45 | 4.28 | 3.83 | 5.23 | 4.97 | 5.49 | 5.35 | 5.28 | 4.31 | 4.55 | 4.61 | 5.52 | 5.25 |  5.21 | 5.40 |  5.93 | 4.62 | 5.01 | 5.39 | 5.38 | 4.64 | 4.96 | 5.56 |  5.83 |  5.66 | 5.04 |  6.60 | 6.82 |
|        23 | 3.36 | 4.91 | 5.39 | 4.52 | 4.99 | 6.63 | 4.16 | 4.20 | 5.09 |  4.33 | 4.44 | 5.83 |  4.31 | 4.67 | 4.30 | 5.53 | 5.04 | 5.05 | 5.22 | 5.12 | 4.15 | 4.39 | 4.72 | 5.27 | 5.26 |  4.93 | 5.54 |  6.00 | 4.87 | 4.97 | 5.34 | 5.05 | 4.67 | 4.75 | 5.16 |  6.11 |  5.72 | 5.00 |  6.45 | 6.84 |
|        24 | 2.71 | 5.18 | 5.49 | 4.93 | 4.97 | 6.24 | 4.01 | 4.16 | 4.80 |  4.03 | 4.02 | 5.60 |  4.38 | 4.42 | 4.59 | 5.02 | 4.97 | 5.27 | 5.32 | 4.79 | 4.20 | 4.29 | 4.93 | 5.19 | 5.19 |  5.18 | 5.66 |  5.73 | 5.11 | 5.04 | 5.37 | 5.42 | 4.79 | 4.52 | 4.66 |  5.77 |  5.58 | 5.19 |  6.03 | 6.80 |
|        25 | 2.88 | 5.24 | 5.42 | 5.11 | 4.95 | 6.07 | 4.05 | 4.51 | 4.56 |  4.50 | 2.74 | 5.65 |  4.10 | 3.76 | 4.37 | 4.76 | 4.83 | 5.10 | 5.34 | 4.94 | 4.16 | 4.37 | 5.11 | 4.84 | 5.09 |  5.30 | 5.35 |  5.34 | 5.21 | 4.75 | 5.29 | 5.07 | 4.88 | 4.12 | 4.18 |  5.14 |  5.60 | 5.14 |  5.80 | 6.45 |
|        26 | 3.64 | 5.27 | 5.19 | 4.83 | 4.69 | 6.10 | 4.28 | 4.72 | 4.38 |  4.84 | 2.53 | 5.68 |  3.57 | 3.55 | 4.27 | 4.56 | 4.55 | 5.08 | 5.30 | 5.21 | 4.07 | 4.24 | 4.63 | 4.84 | 4.99 |  5.26 | 5.41 |  5.47 | 5.17 | 4.46 | 4.95 | 4.94 | 4.82 | 4.04 | 4.42 |  4.95 |  5.53 | 5.00 |  5.38 | 6.10 |
|        27 | 4.00 | 5.43 | 5.01 | 4.83 | 4.57 | 6.34 | 4.19 | 4.92 | 4.57 |  4.75 | 2.93 | 5.82 |  3.67 | 3.64 | 4.59 | 4.15 | 4.46 | 5.11 | 5.01 | 5.39 | 4.25 | 4.38 | 4.14 | 5.08 | 4.81 |  5.09 | 5.11 |  5.15 | 5.29 | 4.52 | 4.85 | 5.04 | 4.72 | 4.17 | 4.84 |  5.31 |  5.18 | 5.05 |  4.64 | 6.23 |
|        28 | 4.03 | 5.48 | 5.18 | 4.92 | 4.74 | 5.96 | 3.81 | 4.95 | 4.66 |  5.02 | 2.95 | 5.62 |  3.94 | 3.72 | 4.62 | 4.26 | 4.50 | 5.33 | 5.31 | 5.34 | 4.50 | 4.58 | 3.92 | 5.38 | 5.15 |  5.06 | 4.92 |  5.10 | 5.41 | 4.54 | 4.92 | 4.94 | 4.90 | 4.32 | 4.80 |  5.19 |  5.20 | 5.15 |  4.55 | 6.35 |
|        29 | 4.34 | 5.51 | 5.21 | 4.88 | 4.78 | 5.72 | 3.64 | 4.82 | 4.77 |  5.20 | 2.81 | 5.61 |  3.99 | 3.75 | 4.36 | 4.74 | 4.45 | 5.36 | 5.23 | 5.09 | 4.62 | 4.79 | 4.44 | 5.46 | 5.15 |  4.93 | 4.98 |  5.16 | 5.13 | 4.44 | 4.87 | 4.96 | 5.08 | 4.36 | 4.57 |  4.96 |  5.32 | 5.45 |  4.72 | 6.50 |
|        30 | 4.45 | 5.72 | 5.30 | 4.95 | 4.65 | 5.59 | 3.78 | 4.64 | 5.02 |  5.29 | 3.04 | 5.71 |  4.14 | 3.91 | 4.36 | 5.23 | 4.31 | 5.42 | 5.12 | 4.86 | 4.59 | 4.88 | 4.42 | 5.37 | 4.78 |  4.64 | 4.61 |  5.11 | 5.39 | 4.39 | 5.07 | 5.24 | 5.27 | 4.26 | 4.47 |  4.89 |  4.92 | 5.37 |  5.10 | 6.49 |
|        31 | 4.33 | 5.61 | 5.38 | 4.97 | 4.66 | 5.66 | 3.85 | 4.82 | 5.04 |  5.40 | 3.46 | 5.91 |  4.28 | 4.38 | 4.59 | 5.38 | 4.52 | 5.38 | 5.16 | 4.89 | 4.83 | 5.10 | 4.63 | 5.32 | 4.97 |  4.87 | 4.86 |  4.69 | 5.56 | 4.27 | 5.20 | 5.44 | 5.32 | 4.26 | 4.59 |  4.87 |  4.70 | 5.15 |  5.36 | 6.41 |
|        32 | 4.21 | 5.50 | 5.82 | 5.13 | 4.76 | 5.77 | 3.98 | 5.16 | 5.59 |  5.45 | 3.78 | 6.17 |  4.26 | 4.70 | 5.15 | 5.19 | 4.30 | 5.18 | 4.98 | 5.24 | 5.33 | 5.23 | 4.83 | 5.41 | 4.94 |  5.03 | 5.21 |  4.47 | 5.59 | 4.10 | 4.97 | 5.81 | 5.60 | 4.33 | 4.72 |  4.93 |  4.93 | 5.50 |  5.43 | 6.46 |
|        33 | 3.93 | 5.56 | 5.98 | 5.41 | 5.38 | 6.03 | 4.16 | 5.16 | 5.60 |  5.78 | 3.95 | 6.08 |  4.54 | 4.88 | 5.57 | 4.91 | 4.28 | 5.40 | 5.29 | 5.40 | 5.23 | 5.77 | 4.86 | 5.53 | 5.27 |  5.03 | 5.23 |  4.63 | 5.41 | 3.72 | 5.69 | 5.86 | 5.77 | 4.55 | 4.90 |  4.76 |  5.43 | 5.71 |  5.31 | 6.48 |
|        34 | 4.83 | 5.99 | 5.64 | 5.53 | 5.79 | 6.21 | 3.86 | 4.95 | 5.48 |  5.75 | 4.17 | 5.19 |  4.81 | 5.08 | 6.06 | 4.91 | 3.80 | 5.60 | 5.74 | 5.40 | 5.59 | 5.92 | 4.64 | 5.86 | 5.82 |  5.06 | 5.24 |  5.56 | 4.38 | 4.49 | 5.78 | 6.22 | 5.81 | 4.61 | 4.95 |  5.03 |  5.66 | 5.79 |  5.43 | 6.43 |
|        35 | 4.66 | 6.40 | 5.98 | 5.51 | 6.54 | 6.39 | 4.16 | 5.33 | 4.54 |  4.59 | 4.44 | 5.34 |  4.78 | 5.61 | 6.46 | 5.14 | 4.36 | 4.65 | 6.11 | 5.90 | 5.96 | 6.40 | 4.08 | 6.22 | 4.83 |  5.90 | 4.19 |  5.86 | 6.34 | 4.43 | 5.43 | 6.13 | 5.85 | 4.62 | 4.80 |  5.29 |  5.76 | 6.70 |  5.97 | 6.94 |
|        36 | 4.51 | 5.35 | 6.35 | 5.30 | 4.89 | 6.43 | 4.29 | 5.79 | 4.76 |  4.84 | 4.73 | 5.38 |  4.73 | 5.14 | 5.99 | 5.69 | 4.76 | 5.70 | 4.97 | 6.20 | 6.04 | 6.12 | 4.33 | 5.42 | 4.76 |  6.32 | 4.14 |  6.01 | 5.20 | 4.10 | 5.58 | 6.36 | 5.80 | 4.75 | 4.61 |  4.81 |  5.35 | 6.97 |  5.56 | 7.67 |
|        37 | 5.88 | 5.28 | 5.17 | 4.86 | 5.93 | 6.33 | 4.51 | 5.32 | 5.22 |  5.40 | 4.68 | 4.93 |  5.32 | 5.08 | 5.38 | 5.33 | 5.00 | 6.37 | 5.59 | 5.38 | 5.10 | 6.21 | 4.83 | 7.14 | 6.63 |  6.30 | 5.18 |  5.77 | 5.66 | 4.60 | 5.92 | 5.55 | 6.07 | 5.88 | 5.37 |  5.12 |  5.47 | 6.37 |  5.40 | 7.63 |
|        38 | 5.59 | 5.72 | 6.34 | 5.18 | 5.39 | 5.79 | 5.13 | 5.38 | 6.04 |  5.90 | 5.07 | 5.03 |  5.64 | 6.17 | 5.12 | 5.06 | 5.48 | 6.26 | 6.47 | 6.21 | 5.21 | 6.82 | 5.41 | 6.96 | 6.30 |  5.87 | 5.59 |  5.12 | 5.13 | 5.54 | 5.66 | 5.94 | 6.33 | 5.67 | 5.80 |  5.92 |  5.63 | 6.15 |  5.84 | 7.63 |
