# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |    1 |    2 |    3 |    4 |    5 |    6 |    7 |    8 |    9 |   10 |   11 |   12 |   13 |    14 |   15 |   16 |    17 |    18 |   19 |   20 |   21 |   22 |    23 |   24 |    25 |    26 |   27 |    28 |   29 |   30 |   31 |    32 |    33 |    34 |   35 |    36 |   37 |   38 |   39 |   40 |
|         0 | 5.33 | 5.20 | 5.71 | 5.34 | 5.02 | 6.51 | 4.82 | 5.99 | 5.84 | 4.95 | 5.24 | 5.84 | 5.54 |  5.47 | 5.65 | 4.87 |  4.90 |  5.60 | 5.89 | 5.56 | 5.51 | 5.56 |  5.79 | 5.91 |  6.17 |  5.70 | 5.15 |  5.64 | 5.18 | 5.29 | 5.70 |  5.38 |  6.21 |  5.58 | 5.72 |  5.05 | 5.33 | 5.49 | 6.07 | 5.09 |
|         1 | 5.30 | 5.16 | 5.68 | 5.29 | 5.02 | 6.61 | 4.58 | 5.84 | 5.70 | 5.10 | 5.35 | 5.60 | 5.62 |  5.16 | 5.58 | 4.91 |  4.94 |  5.47 | 5.85 | 5.68 | 5.45 | 5.45 |  5.57 | 5.83 |  6.25 |  5.54 | 5.32 |  5.71 | 5.26 | 4.83 | 5.59 |  5.31 |  5.85 |  5.32 | 5.69 |  5.31 | 5.31 | 5.40 | 5.54 | 5.13 |
|         2 | 5.09 | 5.33 | 5.76 | 5.25 | 5.15 | 6.31 | 4.59 | 5.28 | 5.54 | 5.13 | 5.31 | 5.41 | 5.64 |  5.21 | 5.75 | 5.42 |  5.02 |  5.62 | 5.65 | 5.64 | 5.32 | 5.57 |  5.53 | 5.68 |  6.20 |  5.46 | 4.87 |  5.53 | 5.47 | 4.68 | 5.55 |  5.33 |  5.58 |  5.74 | 5.38 |  5.24 | 5.25 | 5.37 | 5.61 | 5.16 |
|         3 | 4.92 | 5.25 | 5.84 | 5.23 | 5.26 | 6.31 | 4.78 | 5.30 | 5.49 | 5.22 | 5.53 | 5.17 | 5.50 |  4.95 | 5.84 | 5.60 |  5.13 |  5.39 | 5.69 | 5.80 | 5.19 | 5.34 |  5.40 | 5.49 |  6.19 |  5.56 | 4.81 |  5.45 | 5.50 | 4.61 | 5.52 |  5.46 |  5.15 |  5.56 | 5.21 |  5.30 | 5.31 | 5.50 | 5.53 | 5.29 |
|         4 | 5.02 | 5.15 | 5.78 | 5.02 | 5.29 | 6.01 | 4.99 | 5.60 | 5.60 | 5.02 | 4.89 | 4.79 | 5.28 |  4.67 | 5.76 | 5.26 |  4.89 |  5.07 | 5.48 | 5.72 | 5.07 | 5.01 |  5.06 | 5.28 |  6.09 |  5.30 | 5.18 |  5.40 | 5.24 | 4.99 | 5.43 |  5.10 |  5.74 |  5.09 | 4.94 |  5.04 | 5.54 | 5.32 | 5.40 | 5.28 |
|         5 | 4.92 | 5.18 | 5.36 | 4.96 | 5.06 | 5.74 | 5.12 | 5.83 | 5.65 | 4.61 | 4.72 | 4.63 | 5.34 |  4.75 | 5.46 | 5.14 |  4.74 |  5.25 | 5.68 | 5.68 | 5.08 | 4.90 |  5.05 | 5.34 |  6.11 |  4.71 | 5.10 |  5.42 | 5.34 | 5.07 | 5.56 |  5.25 |  5.38 |  4.96 | 5.08 |  4.45 | 5.44 | 5.20 | 5.06 | 5.11 |
|         6 | 4.84 | 5.04 | 5.32 | 5.65 | 4.98 | 5.90 | 5.20 | 6.19 | 5.79 | 4.75 | 4.79 | 4.98 | 5.19 |  4.49 | 5.12 | 4.98 |  4.41 |  5.13 | 5.68 | 5.69 | 5.22 | 4.77 |  4.59 | 5.34 |  6.14 |  4.55 | 5.58 |  5.79 | 4.92 | 4.81 | 5.12 |  5.14 |  5.31 |  5.26 | 5.39 |  4.49 | 5.15 | 5.35 | 5.14 | 5.01 |
|         7 | 4.72 | 4.85 | 6.01 | 5.43 | 5.04 | 5.73 | 5.15 | 6.22 | 5.76 | 4.92 | 4.81 | 4.96 | 4.96 |  4.57 | 4.82 | 4.71 |  4.24 |  4.87 | 5.24 | 5.47 | 4.99 | 5.09 |  4.64 | 5.17 |  6.08 |  4.96 | 5.82 |  5.38 | 4.78 | 4.64 | 4.43 |  4.87 |  5.07 |  5.24 | 5.30 |  4.69 | 5.04 | 5.57 | 5.17 | 4.88 |
|         8 | 4.35 | 4.73 | 5.63 | 5.11 | 4.93 | 5.47 | 4.59 | 5.63 | 5.38 | 4.87 | 4.90 | 4.32 | 4.89 |  4.80 | 4.97 | 4.59 |  4.40 |  4.98 | 5.03 | 5.50 | 4.45 | 5.37 |  4.83 | 5.07 |  5.92 |  5.47 | 4.74 |  4.96 | 5.50 | 4.58 | 4.47 |  5.52 |  5.01 |  5.07 | 4.97 |  4.50 | 5.22 | 5.68 | 4.92 | 4.88 |
|         9 | 4.73 | 5.54 | 5.82 | 4.89 | 5.40 | 5.66 | 4.34 | 5.65 | 5.57 | 5.52 | 5.06 | 4.35 | 5.71 |  5.58 | 5.25 | 4.65 |  5.02 |  5.26 | 5.08 | 6.04 | 5.26 | 5.34 |  5.40 | 6.20 |  5.96 |  5.09 | 4.12 |  5.02 | 6.06 | 4.79 | 5.55 |  5.86 |  4.64 |  4.91 | 5.46 |  5.19 | 5.77 | 5.36 | 4.96 | 4.92 |
|        10 | 5.18 | 5.53 | 6.80 | 5.67 | 5.89 | 6.02 | 5.76 | 6.55 | 5.60 | 6.13 | 5.32 | 4.74 | 5.50 |  5.42 | 5.06 | 5.76 |  5.07 |  5.46 | 6.12 | 6.10 | 5.42 | 6.01 |  5.63 | 5.66 |  6.31 |  4.87 | 5.16 |  6.00 | 5.19 | 5.15 | 5.72 |  4.99 |  5.37 |  5.77 | 5.79 |  5.91 | 5.78 | 6.10 | 5.87 | 5.29 |
|        11 | 5.67 | 5.86 | 6.46 | 5.36 | 6.19 | 6.59 | 5.49 | 6.46 | 5.18 | 5.70 | 5.84 | 5.29 | 6.07 |  5.37 | 4.39 | 5.76 |  3.69 |  5.49 | 6.25 | 6.43 | 5.40 | 6.00 |  5.34 | 6.11 |  7.09 |  5.62 | 5.21 |  5.93 | 6.41 | 4.59 | 6.24 |  5.64 |  5.23 |  5.37 | 4.74 |  5.90 | 5.93 | 6.64 | 5.94 | 5.27 |
