# variable: Total Cloud Cover
# units: percent
# 
| fcst_hour |      1 |      2 |      3 |      4 |      5 |      6 |      7 |      8 |      9 |     10 |     11 |     12 |     13 |     14 |     15 |     16 |     17 |     18 |     19 |     20 |     21 |     22 |     23 |     24 |     25 |     26 |     27 |     28 |     29 |     30 |     31 |     32 |     33 |    34 |     35 |     36 |    37 |     38 |     39 |     40 |
|         0 |  89.21 |  56.41 |  67.27 |  84.07 |  68.90 |  72.43 |  91.64 |  87.59 |  76.37 |  71.94 |  56.73 |  89.59 |  57.32 |  57.53 |  65.61 |  89.44 |  75.90 |  83.98 |  74.56 |  88.32 |  66.12 |  91.51 |  87.87 |  77.88 |  78.29 |  54.74 |  61.18 |  84.70 |  76.81 |  73.55 |  57.34 |  60.42 |  71.90 | 87.41 |  73.58 |  89.82 | 62.19 |  75.26 |  68.57 |  80.32 |
|         1 |  64.68 |  57.03 |  73.92 |  85.36 |  86.39 |  86.31 |  85.54 |  55.36 |  90.48 |  86.60 |  58.55 |  86.52 |  72.86 |  72.38 |  60.84 |  85.16 |  93.57 |  92.55 |  85.29 |  69.48 |  63.67 |  86.08 |  74.04 |  72.85 |  72.84 |  75.46 |  65.32 |  90.96 |  83.38 |  73.31 |  50.64 |  78.64 |  80.02 | 90.25 |  75.01 |  87.64 | 66.84 |  71.48 |  82.47 |  79.87 |
|         2 |  69.90 |  74.19 |  63.60 |  81.59 |  88.73 |  88.69 |  88.15 |  64.13 |  88.11 |  87.76 |  67.74 |  78.37 |  66.83 |  57.59 |  53.02 |  80.31 |  96.90 |  89.57 |  79.35 |  84.99 |  53.33 |  88.12 |  79.58 |  78.33 |  85.17 |  84.75 |  60.62 |  86.43 |  77.90 |  71.68 |  67.92 |  84.46 |  69.84 | 89.42 |  67.05 |  91.99 | 72.74 |  69.50 |  83.36 |  91.01 |
|         3 |  52.48 |  62.68 |  80.17 |  56.39 |  83.75 |  88.38 |  90.76 |  73.65 |  84.98 |  84.18 |  75.46 |  89.09 |  80.98 |  52.96 |  51.18 |  82.90 |  90.62 |  81.60 |  78.58 |  80.89 |  61.02 |  62.22 |  87.94 |  87.27 |  79.26 |  69.38 |  72.84 |  74.71 |  64.45 |  90.23 |  62.59 |  81.82 |  67.04 | 89.31 |  71.26 |  76.10 | 79.10 |  64.44 |  77.87 |  82.31 |
|         4 |  45.27 |  79.28 |  63.93 |  55.75 |  87.43 |  82.23 |  85.82 |  82.61 |  69.84 |  94.51 |  77.27 |  88.52 |  67.15 |  50.98 |  47.12 |  86.57 |  76.53 |  85.76 |  89.63 |  82.38 |  82.27 |  50.09 |  84.62 |  88.36 |  78.88 |  57.23 |  71.06 |  86.60 |  64.54 |  91.30 |  57.15 |  73.92 |  88.69 | 89.22 |  70.14 |  76.86 | 80.19 |  73.97 |  60.74 |  64.67 |
|         5 |  88.56 |  64.60 |  55.49 |  71.67 |  84.66 |  86.93 |  78.42 |  90.31 |  83.22 |  93.18 |  72.98 |  88.90 |  81.28 |  61.46 |  45.99 |  91.27 |  92.18 |  80.98 |  98.81 |  66.83 |  89.61 |  59.27 |  80.12 |  84.94 |  83.94 |  62.77 |  84.22 |  87.07 |  78.21 |  84.46 |  78.99 |  67.56 |  88.33 | 78.92 |  78.52 |  79.44 | 81.41 |  64.32 |  71.70 |  81.23 |
|         6 |  86.41 |  74.66 |  96.74 |  66.59 |  75.66 |  70.86 |  92.96 |  88.47 |  80.57 |  90.11 |  74.71 |  87.56 |  88.57 |  91.39 |  41.23 |  92.27 |  87.15 |  65.80 |  95.73 |  81.00 |  72.17 |  76.83 |  75.41 |  73.62 |  94.38 |  70.34 |  58.83 |  85.47 |  80.73 |  92.79 | 100.00 |  68.69 |  94.39 | 83.95 |  83.67 |  94.03 | 82.54 |  91.19 |  73.04 |  93.55 |
|         7 |  74.36 |  59.79 |  96.69 |  76.09 |  55.33 |  67.36 |  74.11 |  87.08 |  70.59 |  92.54 |  79.84 |  92.61 |  90.01 |  90.98 |  93.99 |  98.67 |  89.30 |  51.21 |  85.57 |  69.09 |  69.23 |  46.80 |  63.22 |  75.51 |  49.95 |  82.37 |  79.19 |  92.90 |  68.31 |  83.30 |  74.41 |  64.63 |  93.43 | 98.92 |  63.10 |  88.23 | 80.52 |  98.15 |  70.01 |  92.87 |
|         8 |  87.42 |  87.09 |  87.16 |  74.38 |  83.94 |  83.26 |  64.17 |  75.63 |  77.56 |  87.42 |  80.35 |  64.73 | 100.00 |  91.05 | 100.00 |  86.19 |  84.93 |  62.21 |  85.00 |  61.28 |  78.08 |  60.70 |  54.30 |  67.88 |  71.66 |  61.54 |  70.18 |  86.09 |  62.32 |  91.53 |  77.76 |  51.32 |  76.87 | 90.75 |  80.73 |  77.46 | 73.17 |  99.22 |  65.40 |  89.66 |
|         9 |  89.04 |  51.44 |  86.20 |  76.08 |  84.55 |  75.54 |  74.90 |  68.45 |  67.32 |  79.03 |  54.93 |  78.97 |  89.60 |  83.26 |  93.28 |  66.60 |  93.37 |  58.80 |  76.51 |  74.04 |  66.45 |  55.62 |  64.87 |  83.78 |  86.70 |  75.72 |  94.02 |  92.01 |  79.25 |  56.81 |  82.12 |  77.17 |  87.70 | 95.08 |  95.41 |  89.34 | 62.76 |  62.99 |  62.98 |  62.95 |
