# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |    1 |    2 |     3 |    4 |    5 |     6 |    7 |    8 |     9 |    10 |    11 |   12 |   13 |   14 |    15 |   16 |   17 |    18 |    19 |   20 |    21 |   22 |   23 |    24 |   25 |   26 |   27 |    28 |   29 |   30 |   31 |   32 |   33 |   34 |   35 |    36 |   37 |   38 |   39 |    40 |
|         0 | 3.21 | 3.07 |  3.87 | 3.17 | 2.83 |  2.03 | 2.24 | 2.53 |  3.20 |  2.21 |  3.30 | 2.62 | 2.96 | 2.90 |  3.08 | 2.91 | 1.93 |  2.78 |  2.47 | 2.90 |  3.05 | 2.00 | 2.87 |  3.33 | 2.29 | 3.72 | 3.01 |  2.69 | 2.47 | 2.81 | 2.23 | 3.01 | 2.59 | 3.58 | 3.01 |  2.82 | 3.34 | 2.31 | 2.88 |  2.31 |
|         1 | 2.55 | 2.62 |  3.18 | 2.75 | 2.74 |  1.79 | 1.47 | 2.45 |  2.67 |  1.62 |  2.50 | 2.19 | 2.70 | 2.80 |  2.72 | 2.29 | 1.60 |  1.89 |  1.97 | 2.97 |  2.42 | 1.42 | 2.64 |  2.90 | 2.16 | 3.43 | 2.79 |  2.02 | 2.23 | 2.38 | 2.03 | 1.93 | 1.87 | 3.05 | 2.59 |  2.19 | 2.81 | 2.54 | 2.29 |  1.92 |
|         2 | 2.56 | 1.87 |  2.63 | 1.77 | 2.49 |  1.66 | 1.86 | 2.69 |  2.50 |  1.49 |  2.00 | 1.75 | 2.30 | 2.60 |  2.36 | 2.06 | 1.60 |  1.33 |  1.78 | 2.23 |  2.47 | 1.18 | 2.48 |  2.54 | 1.59 | 3.17 | 2.57 |  1.19 | 1.92 | 2.36 | 1.61 | 1.42 | 1.25 | 2.91 | 2.07 |  1.76 | 2.69 | 1.68 | 1.71 |  1.68 |
|         3 | 2.41 | 1.51 |  2.17 | 1.55 | 2.49 |  1.60 | 2.03 | 2.66 |  2.59 |  1.21 |  2.17 | 1.58 | 1.77 | 1.76 |  1.59 | 1.92 | 1.68 |  0.81 |  1.18 | 2.12 |  2.46 | 0.86 | 2.28 |  2.48 | 1.23 | 2.90 | 2.12 |  1.32 | 1.04 | 1.35 | 1.83 | 1.25 | 1.31 | 2.82 | 1.28 |  0.79 | 2.39 | 1.41 | 1.66 |  1.57 |
|         4 | 1.50 | 1.28 |  1.76 | 1.67 | 2.22 |  1.62 | 1.96 | 2.34 |  2.75 |  0.97 |  2.22 | 1.43 | 1.59 | 1.07 |  1.08 | 1.99 | 1.46 |  0.62 |  1.23 | 2.22 |  2.12 | 0.90 | 2.04 |  2.86 | 1.11 | 3.03 | 1.61 |  1.01 | 0.85 | 1.27 | 2.61 | 1.10 | 1.37 | 2.82 | 1.88 |  1.27 | 1.56 | 2.03 | 0.95 |  1.58 |
|         5 | 1.41 | 1.41 |  2.14 | 1.67 | 0.94 |  1.27 | 1.11 | 1.50 |  2.31 |  0.69 |  2.40 | 1.48 | 1.36 | 1.54 |  1.47 | 1.45 | 0.87 |  0.35 |  1.98 | 1.27 |  1.41 | 1.00 | 0.88 |  2.15 | 0.98 | 2.59 | 1.20 |  0.91 | 1.61 | 1.29 | 2.13 | 1.59 | 0.35 | 2.71 | 0.86 |  1.76 | 1.44 | 1.94 | 0.62 |  1.48 |
|         6 | 1.38 | 0.80 |  1.68 | 0.91 | 0.83 |  0.74 | 0.61 | 1.09 |  1.97 |  0.41 |  2.14 | 1.00 | 0.86 | 1.56 |  1.57 | 1.03 | 0.65 |  0.42 |  1.92 | 0.84 |  1.11 | 0.94 | 0.59 |  0.96 | 1.03 | 2.59 | 1.44 |  0.80 | 1.84 | 1.20 | 1.26 | 1.92 | 0.21 | 2.47 | 0.39 |  1.56 | 1.30 | 1.38 | 0.50 |  1.19 |
|         7 | 1.56 | 1.20 |  1.11 | 0.79 | 0.75 |  0.66 | 0.54 | 1.32 |  1.44 |  0.47 |  1.88 | 0.88 | 0.79 | 1.44 |  1.74 | 0.98 | 0.72 |  0.41 |  1.96 | 1.14 |  1.18 | 1.29 | 1.18 |  1.15 | 1.19 | 2.21 | 0.89 |  1.00 | 1.74 | 1.03 | 0.87 | 1.28 | 0.24 | 1.95 | 0.46 |  1.69 | 1.34 | 1.26 | 0.82 |  1.31 |
|         8 | 1.42 | 0.89 |  0.98 | 0.59 | 0.54 |  0.85 | 0.98 | 0.67 |  0.95 |  0.78 |  0.76 | 1.01 | 0.78 | 1.26 |  1.45 | 0.74 | 0.90 |  0.37 |  1.76 | 1.38 |  1.25 | 1.48 | 0.94 |  1.01 | 0.90 | 1.48 | 0.98 |  0.61 | 1.06 | 1.17 | 1.00 | 1.34 | 0.66 | 1.87 | 0.75 |  0.77 | 1.03 | 1.20 | 1.06 |  1.51 |
|         9 | 1.10 | 1.28 |  1.26 | 0.74 | 0.87 |  1.66 | 1.16 | 0.85 |  1.16 |  0.95 |  1.05 | 1.33 | 1.09 | 1.21 |  0.72 | 1.09 | 1.03 |  0.73 |  1.83 | 1.42 |  1.70 | 1.30 | 0.72 |  1.54 | 1.51 | 1.37 | 1.49 |  1.20 | 0.75 | 1.48 | 1.40 | 1.42 | 1.11 | 0.76 | 1.20 |  1.19 | 1.41 | 1.26 | 1.23 |  1.67 |
|        10 | 1.56 | 1.87 |  1.97 | 1.42 | 1.62 |  1.89 | 1.50 | 1.24 |  1.47 |  1.19 |  1.45 | 1.67 | 1.68 | 1.27 |  1.17 | 1.42 | 1.65 |  1.23 |  1.53 | 1.79 |  1.73 | 1.47 | 1.27 |  1.96 | 1.72 | 1.34 | 1.60 |  1.67 | 1.57 | 1.76 | 1.84 | 1.90 | 1.33 | 1.08 | 1.41 |  1.64 | 2.01 | 1.79 | 1.43 |  1.87 |
|        11 | 2.02 | 2.25 |  2.09 | 1.86 | 1.70 |  2.10 | 1.79 | 1.45 |  1.52 |  1.58 |  1.79 | 2.15 | 1.90 | 1.39 |  1.92 | 1.73 | 1.80 |  1.86 |  1.44 | 1.81 |  1.94 | 1.76 | 1.61 |  2.19 | 2.04 | 1.74 | 2.06 |  2.04 | 1.90 | 2.11 | 1.94 | 2.01 | 1.50 | 1.93 | 1.71 |  1.57 | 2.10 | 2.05 | 1.83 |  2.09 |
|        12 | 2.23 | 2.49 |  1.94 | 2.05 | 1.78 |  2.38 | 2.32 | 1.72 |  1.91 |  1.83 |  1.76 | 2.36 | 2.29 | 1.86 |  2.16 | 2.22 | 1.89 |  1.91 |  1.71 | 2.02 |  2.30 | 2.10 | 1.62 |  2.10 | 2.11 | 2.29 | 2.39 |  2.33 | 2.16 | 2.11 | 2.23 | 1.95 | 1.51 | 2.23 | 1.82 |  1.95 | 2.56 | 2.20 | 2.02 |  2.39 |
|        13 | 1.98 | 2.51 |  2.00 | 2.12 | 1.82 |  2.38 | 1.88 | 1.54 |  2.12 |  2.01 |  1.43 | 2.52 | 2.25 | 1.92 |  2.49 | 2.33 | 1.83 |  1.80 |  1.98 | 2.12 |  2.00 | 1.84 | 1.73 |  1.75 | 1.94 | 2.35 | 2.49 |  2.62 | 2.12 | 2.15 | 1.76 | 2.04 | 1.59 | 2.31 | 1.63 |  2.19 | 2.52 | 2.21 | 1.84 |  2.45 |
|        14 | 1.40 | 2.13 |  1.83 | 1.96 | 1.64 |  2.12 | 2.18 | 1.48 |  2.18 |  1.56 |  1.36 | 2.27 | 2.34 | 2.10 |  2.48 | 2.04 | 1.98 |  1.86 |  1.88 | 1.80 |  1.91 | 1.74 | 1.64 |  1.78 | 1.81 | 2.21 | 2.42 |  2.90 | 2.02 | 1.96 | 1.28 | 2.03 | 1.32 | 1.91 | 1.56 |  2.22 | 2.50 | 2.34 | 1.64 |  2.25 |
|        15 | 1.30 | 2.04 |  1.56 | 1.84 | 1.68 |  2.23 | 1.79 | 1.07 |  2.07 |  1.47 |  1.44 | 2.38 | 2.16 | 2.00 |  2.68 | 1.86 | 2.11 |  1.85 |  1.80 | 1.64 |  1.97 | 1.34 | 1.40 |  1.34 | 1.86 | 2.36 | 2.18 |  2.90 | 2.01 | 2.17 | 1.25 | 1.77 | 1.24 | 2.23 | 1.14 |  1.84 | 2.58 | 2.34 | 1.63 |  2.00 |
|        16 | 1.35 | 1.80 |  1.51 | 1.49 | 1.75 |  1.89 | 1.98 | 0.99 |  2.31 |  1.30 |  1.46 | 2.20 | 2.59 | 1.67 |  2.48 | 2.00 | 1.71 |  1.68 |  1.92 | 1.73 |  1.50 | 1.46 | 1.19 |  1.45 | 1.40 | 1.86 | 1.70 |  2.70 | 1.75 | 1.79 | 1.42 | 1.86 | 1.15 | 2.45 | 0.93 |  1.58 | 2.44 | 2.25 | 1.39 |  1.35 |
|        17 | 1.10 | 1.41 |  1.33 | 1.44 | 1.50 |  1.77 | 1.75 | 1.13 |  2.22 |  1.04 |  1.24 | 2.02 | 2.55 | 1.45 |  2.43 | 1.34 | 0.95 |  1.50 |  1.74 | 1.51 |  1.43 | 1.46 | 1.19 |  1.60 | 1.26 | 1.74 | 1.45 |  2.45 | 1.77 | 1.30 | 1.23 | 1.62 | 1.07 | 1.99 | 1.08 |  1.54 | 2.39 | 2.07 | 1.03 |  1.51 |
|        18 | 1.41 | 1.44 |  1.48 | 1.46 | 1.39 |  1.42 | 1.59 | 0.94 |  2.16 |  1.16 |  1.77 | 1.99 | 2.49 | 1.47 |  2.18 | 1.25 | 1.30 |  1.37 |  1.62 | 1.46 |  1.41 | 1.52 | 1.07 |  1.61 | 1.27 | 1.94 | 1.50 |  2.52 | 1.56 | 1.32 | 1.44 | 1.88 | 1.09 | 1.85 | 0.58 |  1.88 | 2.31 | 1.74 | 1.20 |  2.00 |
|        19 | 2.17 | 1.48 |  2.24 | 1.51 | 1.70 |  1.05 | 1.66 | 1.21 |  1.96 |  1.21 |  2.43 | 2.12 | 2.16 | 1.27 |  2.17 | 1.45 | 1.29 |  1.85 |  1.54 | 1.89 |  1.48 | 2.04 | 0.88 |  1.92 | 1.78 | 1.76 | 1.18 |  2.48 | 1.32 | 1.54 | 2.20 | 2.21 | 1.53 | 1.92 | 0.85 |  1.62 | 2.18 | 1.86 | 1.14 |  2.69 |
|        20 | 2.32 | 1.61 |  2.25 | 1.65 | 1.57 |  0.75 | 1.62 | 1.59 |  1.78 |  1.83 |  2.42 | 1.87 | 1.60 | 0.85 |  2.34 | 1.51 | 1.35 |  2.12 |  1.53 | 2.12 |  1.48 | 2.20 | 1.23 |  2.22 | 2.25 | 1.47 | 1.52 |  2.18 | 1.30 | 1.44 | 2.60 | 2.40 | 1.52 | 2.20 | 0.94 |  2.01 | 1.89 | 1.97 | 1.62 |  2.88 |
|        21 | 2.28 | 1.88 |  2.47 | 2.13 | 1.66 |  0.61 | 1.81 | 1.76 |  1.55 |  2.56 |  2.54 | 1.92 | 1.13 | 0.88 |  2.38 | 1.85 | 1.84 |  2.46 |  1.69 | 2.75 |  1.37 | 2.44 | 1.41 |  2.34 | 2.10 | 1.66 | 1.62 |  1.97 | 1.70 | 1.58 | 2.36 | 2.76 | 1.67 | 2.52 | 1.46 |  2.53 | 2.61 | 1.67 | 1.91 |  2.98 |
