# variable: Total Cloud Cover
# units: percent
# 
| fcst_hour |      1 |      2 |      3 |     4 |      5 |      6 |      7 |      8 |      9 |     10 |     11 |     12 |     13 |     14 |     15 |     16 |     17 |     18 |     19 |     20 |     21 |     22 |     23 |    24 |     25 |     26 |     27 |     28 |     29 |     30 |     31 |     32 |     33 |     34 |     35 |     36 |     37 |    38 |     39 |    40 |
|         0 |  87.39 | 100.00 | 100.00 | 80.34 |  63.16 |  12.36 |  88.68 |  78.41 |  80.32 |  92.40 |  75.35 |  88.85 |  70.56 |  88.03 |  77.40 |  91.40 |  75.34 |  61.66 |  82.14 |  70.36 |  76.79 |  97.34 |  46.99 | 52.89 |  79.94 |  51.52 |  72.63 |  86.02 |  75.51 |  75.75 |  55.56 | 100.00 |  87.30 |  78.36 |  62.88 |  93.71 |  88.51 | 92.00 |  77.70 | 84.41 |
|         1 |  96.91 |  91.28 | 100.00 | 88.51 |  84.48 |  67.71 |  96.34 |  90.57 |  99.24 | 100.00 |  94.77 |  90.57 |  84.65 |  89.13 |  86.97 | 100.00 |  85.60 |  77.38 |  85.38 |  95.87 |  66.28 | 100.00 |  93.21 | 77.52 |  87.10 |  77.00 |  62.41 |  75.08 |  88.61 |  67.26 |  88.60 | 100.00 | 100.00 |  97.12 |  92.20 |  96.95 |  88.30 | 98.46 |  89.30 | 91.92 |
|         2 | 100.00 |  84.90 | 100.00 | 98.97 |  90.80 |  95.42 | 100.00 |  97.44 |  99.64 |  99.27 |  99.69 | 100.00 |  95.40 |  88.89 | 100.00 |  96.74 |  93.98 |  94.12 |  92.48 | 100.00 |  90.12 |  89.20 |  97.39 | 93.02 |  94.71 |  89.03 |  91.68 |  84.16 |  94.82 |  94.54 |  91.63 |  90.35 |  97.45 |  89.85 |  99.90 |  97.69 |  97.91 | 92.81 |  96.55 | 91.29 |
|         3 |  99.21 |  78.68 |  97.63 | 90.64 |  93.98 |  97.43 |  96.85 |  97.42 |  95.51 |  95.94 |  99.02 | 100.00 |  95.49 | 100.00 |  96.07 |  92.93 |  97.13 |  96.53 | 100.00 | 100.00 | 100.00 |  94.23 | 100.00 | 93.00 |  95.07 |  93.11 |  98.95 |  77.09 |  96.36 |  97.35 |  94.37 |  91.82 |  94.62 |  92.63 | 100.00 |  95.04 |  97.47 | 95.84 |  94.89 | 84.17 |
|         4 | 100.00 |  83.95 |  96.53 | 90.36 |  90.89 |  87.72 |  93.10 |  89.79 |  93.42 |  94.11 |  91.62 |  98.28 |  76.53 |  96.92 |  89.83 |  89.39 | 100.00 | 100.00 |  91.92 | 100.00 |  93.08 |  86.85 | 100.00 | 92.89 |  87.82 |  98.28 |  96.86 |  94.62 |  88.17 |  95.54 |  95.12 |  97.01 |  95.08 |  84.33 |  98.95 |  96.19 |  94.78 | 93.13 |  88.07 | 80.90 |
|         5 |  91.73 |  88.80 |  95.79 | 93.95 |  88.69 |  95.66 |  94.31 |  90.26 |  94.11 |  94.28 |  97.48 |  96.65 |  86.67 |  91.43 |  85.92 |  91.77 |  93.99 | 100.00 |  81.60 |  95.20 |  92.47 |  84.67 |  94.79 | 78.48 |  90.98 |  99.44 |  97.97 |  89.08 |  92.41 |  88.64 | 100.00 |  96.29 |  97.89 |  81.38 |  92.82 |  93.73 |  92.94 | 93.21 |  79.44 | 90.46 |
|         6 |  94.31 |  96.62 |  94.54 | 90.05 |  88.38 |  98.12 |  96.29 |  94.87 |  94.19 |  94.39 |  99.12 |  97.81 |  91.61 |  97.56 |  90.43 |  96.50 |  95.72 | 100.00 |  89.66 |  97.44 | 100.00 |  94.23 |  92.10 | 81.17 |  89.90 |  94.49 | 100.00 |  85.26 |  99.66 |  86.71 | 100.00 |  93.34 | 100.00 |  87.67 |  94.58 |  95.34 |  92.86 | 87.46 |  83.40 | 87.50 |
|         7 |  94.15 |  93.26 |  85.91 | 74.09 |  88.39 |  93.31 |  98.24 |  93.62 | 100.00 |  94.13 |  91.21 |  93.01 |  82.16 |  89.49 |  90.51 |  94.28 |  89.51 | 100.00 |  91.30 |  89.36 | 100.00 |  98.74 |  94.76 | 85.19 |  85.34 |  98.13 | 100.00 |  77.38 |  95.65 |  84.55 | 100.00 |  89.68 | 100.00 |  88.04 |  80.00 |  95.93 |  87.62 | 81.53 |  82.87 | 83.98 |
|         8 |  95.71 |  92.25 |  94.10 | 86.98 |  88.79 |  96.02 |  94.44 |  96.22 |  93.02 |  89.79 |  92.88 |  89.36 |  74.94 |  89.81 |  93.86 |  94.12 |  92.85 |  86.64 |  84.75 |  92.10 | 100.00 |  95.35 |  92.21 | 83.08 |  91.59 |  98.80 | 100.00 |  78.25 |  92.53 |  90.27 | 100.00 |  84.84 |  95.72 |  86.95 |  83.36 |  93.93 |  89.46 | 72.08 |  86.05 | 81.55 |
|         9 |  89.59 |  64.57 |  92.36 | 93.23 |  87.24 |  97.57 |  94.92 |  96.43 |  90.57 |  91.42 |  82.26 |  95.95 |  93.94 |  97.73 |  89.97 |  89.98 |  87.81 |  81.36 |  48.16 |  96.46 |  96.53 |  88.48 |  94.18 | 89.61 |  98.15 |  99.68 |  99.10 |  80.15 |  91.76 |  94.60 |  96.75 |  92.50 |  98.91 |  85.09 |  88.64 |  94.75 |  92.84 | 81.60 |  96.14 | 79.87 |
|        10 |  83.01 |  83.18 |  84.55 | 80.54 |  93.56 |  94.56 |  90.93 |  99.27 |  90.36 |  83.31 |  90.20 |  72.22 |  86.94 |  96.19 |  76.75 |  86.35 |  96.42 |  69.67 |  62.85 |  96.53 |  94.81 |  83.65 |  99.31 | 88.56 | 100.00 |  97.88 |  94.52 |  83.24 | 100.00 |  94.75 |  94.77 |  67.47 |  98.53 |  88.93 |  69.88 |  80.43 |  81.34 | 94.39 | 100.00 | 88.05 |
