# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |    1 |    2 |    3 |    4 |    5 |    6 |    7 |     8 |    9 |   10 |   11 |   12 |    13 |    14 |   15 |   16 |   17 |   18 |   19 |   20 |   21 |   22 |   23 |    24 |   25 |    26 |    27 |   28 |   29 |   30 |   31 |   32 |   33 |   34 |   35 |   36 |   37 |   38 |   39 |   40 |
|         0 | 2.48 | 2.72 | 1.57 | 1.68 | 2.76 | 2.32 | 2.56 |  2.13 | 2.13 | 2.24 | 2.13 | 2.05 |  1.56 |  1.70 | 1.68 | 2.23 | 2.26 | 2.59 | 2.14 | 1.93 | 1.65 | 2.25 | 1.83 |  2.42 | 1.58 |  2.60 |  1.79 | 2.40 | 1.71 | 2.39 | 2.55 | 3.14 | 2.71 | 3.18 | 1.99 | 2.15 | 1.98 | 2.50 | 2.29 | 2.99 |
|         1 | 2.24 | 2.78 | 2.07 | 1.82 | 2.37 | 2.16 | 2.67 |  2.08 | 2.36 | 2.12 | 1.93 | 2.13 |  1.69 |  1.58 | 1.86 | 2.39 | 2.30 | 2.63 | 2.11 | 2.07 | 1.76 | 2.52 | 1.82 |  2.40 | 1.57 |  2.44 |  1.69 | 2.40 | 1.72 | 2.71 | 2.56 | 3.08 | 2.57 | 2.79 | 1.91 | 2.21 | 2.24 | 2.46 | 2.51 | 2.82 |
|         2 | 2.23 | 2.64 | 2.41 | 2.15 | 2.36 | 2.24 | 3.04 |  2.13 | 2.52 | 2.26 | 1.82 | 2.05 |  1.97 |  1.67 | 2.23 | 2.48 | 2.43 | 2.67 | 2.20 | 2.24 | 1.91 | 2.47 | 1.89 |  2.32 | 1.74 |  2.30 |  1.70 | 2.39 | 1.83 | 2.75 | 2.47 | 2.94 | 2.74 | 2.75 | 2.21 | 2.39 | 2.32 | 2.29 | 2.29 | 2.77 |
|         3 | 2.29 | 2.44 | 2.23 | 2.45 | 2.77 | 2.33 | 3.09 |  2.24 | 2.52 | 2.44 | 1.91 | 2.08 |  2.05 |  1.85 | 2.72 | 2.46 | 2.52 | 2.35 | 2.58 | 2.51 | 2.15 | 2.37 | 2.31 |  2.18 | 1.91 |  2.07 |  1.96 | 2.36 | 2.01 | 2.87 | 2.28 | 2.95 | 2.96 | 2.87 | 2.29 | 2.52 | 2.16 | 2.43 | 2.08 | 2.77 |
|         4 | 2.63 | 2.45 | 2.27 | 2.55 | 2.96 | 2.46 | 3.09 |  2.50 | 2.60 | 2.45 | 1.99 | 2.12 |  2.31 |  2.07 | 2.43 | 2.55 | 2.67 | 2.43 | 2.86 | 2.94 | 2.43 | 2.31 | 2.58 |  2.32 | 2.08 |  2.13 |  2.26 | 2.37 | 2.20 | 2.87 | 2.42 | 2.97 | 2.70 | 2.98 | 2.56 | 2.50 | 2.14 | 2.37 | 2.07 | 2.79 |
|         5 | 2.62 | 1.97 | 2.28 | 2.56 | 2.59 | 2.42 | 3.14 |  2.44 | 2.61 | 2.47 | 1.94 | 2.14 |  1.93 |  1.92 | 2.09 | 2.39 | 2.63 | 2.25 | 2.64 | 2.55 | 2.47 | 2.12 | 2.39 |  2.53 | 2.22 |  2.47 |  2.32 | 2.47 | 2.25 | 2.51 | 2.86 | 2.89 | 2.32 | 2.98 | 2.55 | 2.44 | 2.18 | 2.27 | 2.17 | 2.76 |
|         6 | 2.58 | 1.95 | 2.50 | 2.56 | 2.51 | 2.45 | 2.89 |  2.38 | 2.38 | 2.56 | 1.86 | 1.97 |  1.87 |  1.81 | 1.77 | 2.35 | 2.56 | 2.12 | 2.40 | 2.43 | 2.61 | 1.98 | 2.26 |  2.41 | 2.45 |  2.61 |  2.52 | 2.45 | 2.26 | 2.53 | 2.58 | 2.68 | 2.11 | 2.85 | 2.53 | 2.42 | 2.30 | 2.47 | 2.28 | 2.87 |
|         7 | 2.66 | 2.13 | 2.46 | 2.82 | 2.70 | 2.42 | 2.53 |  2.43 | 2.29 | 2.58 | 1.96 | 1.84 |  2.29 |  1.93 | 1.80 | 2.57 | 2.69 | 1.99 | 2.28 | 2.47 | 2.86 | 2.18 | 2.28 |  2.24 | 2.64 |  2.76 |  2.56 | 2.33 | 2.37 | 2.68 | 2.53 | 2.57 | 1.92 | 2.78 | 2.76 | 2.44 | 2.50 | 2.70 | 2.29 | 2.90 |
|         8 | 2.47 | 2.53 | 2.31 | 2.95 | 2.74 | 2.40 | 2.47 |  2.66 | 2.15 | 2.73 | 1.85 | 1.83 |  2.67 |  2.11 | 2.07 | 2.73 | 2.73 | 1.93 | 2.37 | 2.71 | 3.09 | 2.46 | 2.47 |  2.25 | 2.23 |  2.64 |  2.88 | 2.29 | 2.52 | 2.68 | 2.43 | 2.59 | 1.74 | 2.82 | 2.86 | 2.50 | 2.52 | 2.68 | 2.31 | 2.96 |
|         9 | 2.07 | 2.80 | 2.09 | 2.91 | 2.66 | 2.32 | 2.63 |  3.04 | 2.16 | 2.69 | 1.71 | 2.09 |  2.52 |  2.19 | 2.48 | 2.78 | 2.66 | 1.91 | 2.72 | 2.90 | 3.33 | 2.33 | 2.22 |  2.49 | 1.57 |  2.67 |  3.11 | 2.40 | 2.79 | 2.47 | 2.32 | 2.56 | 1.60 | 2.68 | 2.71 | 2.48 | 2.49 | 2.58 | 2.18 | 3.10 |
