# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |    2 |    3 |    4 |    5 |    6 |     7 |     8 |     9 |    10 |    11 |    12 |   13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |   23 |   24 |    25 |    26 |    27 |   28 |    29 |    30 |   31 |    32 |    33 |   34 |   35 |    36 |    37 |   38 |   39 |    40 |
|         0 |  5.34 | 5.07 | 5.12 | 5.87 | 4.08 | 5.06 |  4.57 |  5.90 |  5.02 |  5.46 |  5.02 |  5.50 | 4.94 |  5.37 |  4.67 |  4.96 |  5.15 |  4.82 |  5.01 |  4.50 |  5.76 |  6.17 | 5.22 | 4.75 |  4.76 |  5.45 |  5.64 | 4.99 |  5.55 |  5.27 | 2.96 |  4.87 |  5.03 | 5.61 | 5.37 |  4.99 |  5.61 | 5.36 | 5.33 |  4.97 |
|         1 |  5.83 | 5.75 | 5.61 | 6.27 | 4.54 | 4.94 |  4.99 |  6.55 |  5.64 |  6.34 |  5.42 |  5.71 | 5.59 |  5.74 |  4.95 |  5.64 |  5.68 |  5.65 |  5.45 |  4.59 |  5.92 |  6.41 | 5.97 | 5.66 |  5.38 |  5.93 |  6.01 | 4.92 |  5.81 |  5.78 | 3.42 |  5.30 |  5.23 | 5.73 | 6.23 |  4.86 |  5.97 | 5.68 | 5.84 |  5.64 |
|         2 |  6.05 | 6.03 | 5.53 | 6.08 | 4.82 | 4.54 |  4.97 |  6.38 |  5.58 |  6.40 |  5.19 |  5.69 | 5.44 |  5.52 |  5.21 |  6.04 |  5.73 |  5.91 |  5.76 |  4.97 |  5.74 |  6.19 | 6.13 | 5.87 |  5.45 |  6.17 |  5.80 | 4.96 |  5.98 |  5.86 | 3.84 |  5.16 |  5.05 | 5.59 | 6.21 |  4.66 |  6.40 | 5.61 | 5.96 |  5.61 |
|         3 |  5.91 | 5.73 | 5.34 | 5.71 | 4.88 | 4.63 |  5.00 |  6.03 |  5.24 |  6.03 |  5.16 |  5.57 | 5.37 |  5.36 |  5.19 |  6.08 |  5.74 |  5.55 |  5.70 |  5.34 |  5.57 |  5.81 | 5.81 | 5.60 |  5.26 |  6.17 |  5.24 | 4.90 |  5.84 |  5.73 | 4.30 |  4.89 |  4.89 | 5.36 | 5.90 |  4.90 |  6.19 | 5.84 | 5.61 |  5.27 |
|         4 |  5.79 | 5.59 | 5.49 | 5.60 | 5.04 | 5.02 |  5.25 |  6.06 |  5.43 |  6.03 |  5.56 |  5.64 | 5.73 |  5.43 |  5.33 |  5.88 |  6.04 |  5.43 |  5.68 |  5.68 |  5.66 |  5.75 | 5.67 | 5.74 |  5.36 |  6.12 |  5.13 | 5.01 |  5.94 |  5.89 | 4.73 |  5.05 |  4.89 | 5.34 | 6.07 |  4.90 |  6.01 | 5.98 | 5.77 |  5.39 |
|         5 |  5.83 | 5.89 | 5.74 | 5.56 | 5.45 | 5.34 |  5.38 |  6.30 |  5.71 |  6.24 |  5.89 |  5.87 | 6.01 |  5.53 |  5.78 |  5.84 |  5.97 |  5.69 |  5.97 |  5.79 |  5.93 |  5.94 | 5.90 | 5.98 |  5.50 |  6.11 |  5.30 | 5.26 |  5.90 |  6.05 | 5.00 |  5.56 |  5.10 | 5.74 | 5.92 |  5.05 |  6.25 | 6.08 | 5.99 |  5.62 |
|         6 |  5.92 | 5.98 | 5.61 | 5.49 | 5.71 | 5.45 |  5.43 |  6.28 |  5.69 |  6.13 |  5.88 |  5.99 | 5.91 |  5.42 |  5.80 |  5.91 |  5.70 |  5.92 |  6.19 |  5.68 |  6.18 |  6.05 | 6.00 | 5.98 |  5.49 |  6.07 |  5.42 | 5.35 |  5.68 |  5.84 | 4.91 |  5.45 |  5.19 | 5.90 | 5.59 |  5.24 |  6.35 | 6.18 | 5.84 |  5.52 |
|         7 |  5.92 | 5.87 | 5.36 | 5.42 | 5.60 | 4.96 |  5.28 |  5.97 |  5.44 |  5.88 |  5.77 |  5.93 | 5.67 |  5.30 |  5.56 |  5.85 |  5.47 |  5.90 |  6.04 |  5.57 |  5.98 |  5.76 | 5.80 | 5.74 |  5.43 |  5.83 |  5.38 | 5.49 |  5.61 |  5.53 | 4.28 |  5.21 |  5.15 | 5.48 | 5.31 |  5.30 |  6.28 | 6.06 | 5.75 |  5.15 |
|         8 |  5.64 | 5.60 | 5.16 | 5.35 | 5.25 | 4.50 |  4.75 |  5.75 |  5.20 |  5.74 |  5.60 |  5.53 | 5.44 |  5.29 |  4.98 |  5.69 |  5.14 |  5.47 |  5.79 |  5.48 |  5.47 |  5.49 | 5.62 | 5.17 |  5.22 |  5.59 |  5.34 | 5.45 |  5.52 |  5.28 | 4.32 |  5.07 |  5.19 | 4.98 | 5.07 |  5.20 |  6.09 | 5.62 | 5.70 |  4.97 |
|         9 |  5.44 | 5.25 | 4.77 | 5.50 | 4.95 | 4.19 |  4.38 |  5.63 |  4.66 |  5.75 |  4.95 |  4.99 | 5.07 |  5.38 |  3.87 |  5.46 |  4.78 |  5.01 |  5.32 |  5.36 |  5.14 |  5.33 | 5.41 | 4.48 |  5.09 |  5.56 |  5.65 | 4.98 |  5.80 |  5.26 | 5.10 |  5.07 |  5.41 | 4.78 | 5.56 |  5.19 |  5.99 | 5.03 | 5.44 |  5.03 |
|        10 |  5.31 | 5.41 | 4.79 | 5.61 | 4.74 | 4.13 |  4.37 |  5.58 |  4.36 |  6.21 |  4.72 |  4.69 | 5.00 |  5.58 |  4.27 |  5.52 |  5.16 |  4.65 |  5.18 |  5.49 |  5.43 |  5.87 | 5.26 | 4.80 |  5.32 |  5.40 |  5.65 | 5.01 |  6.22 |  5.64 | 5.28 |  5.02 |  5.67 | 4.85 | 6.00 |  5.59 |  5.92 | 4.69 | 5.61 |  5.23 |
|        11 |  5.11 | 5.08 | 4.65 | 5.48 | 4.36 | 4.08 |  3.79 |  5.12 |  4.65 |  5.47 |  4.14 |  4.43 | 4.16 |  5.76 |  4.51 |  5.48 |  5.46 |  3.99 |  4.29 |  5.82 |  5.75 |  5.45 | 5.25 | 5.01 |  5.30 |  4.97 |  4.91 | 5.15 |  6.32 |  5.07 | 5.07 |  4.84 |  5.25 | 5.25 | 6.00 |  5.77 |  5.82 | 4.20 | 4.80 |  5.04 |
|        12 |  4.68 | 3.97 | 4.13 | 4.12 | 4.02 | 3.83 |  3.88 |  4.69 |  4.61 |  5.04 |  3.52 |  3.83 | 4.18 |  4.91 |  3.87 |  4.60 |  4.92 |  3.56 |  4.05 |  4.73 |  4.84 |  4.85 | 4.33 | 4.19 |  4.09 |  4.16 |  4.30 | 4.33 |  5.47 |  4.35 | 4.59 |  3.91 |  4.89 | 4.69 | 4.87 |  4.82 |  4.36 | 3.77 | 4.20 |  4.11 |
|        13 |  4.52 | 3.94 | 4.09 | 3.99 | 4.29 | 3.99 |  3.71 |  4.56 |  3.91 |  4.98 |  3.50 |  3.97 | 4.29 |  4.53 |  3.83 |  4.86 |  4.59 |  4.03 |  3.81 |  4.22 |  4.61 |  4.64 | 4.31 | 3.82 |  4.19 |  4.06 |  4.06 | 4.24 |  5.27 |  4.37 | 4.54 |  3.92 |  4.51 | 4.51 | 4.46 |  4.05 |  4.07 | 3.93 | 4.00 |  4.18 |
|        14 |  4.43 | 3.88 | 4.21 | 4.10 | 4.19 | 4.06 |  3.65 |  4.50 |  4.07 |  4.92 |  3.53 |  4.03 | 4.10 |  4.54 |  4.03 |  5.35 |  4.27 |  4.18 |  3.77 |  4.07 |  4.50 |  4.49 | 4.40 | 3.79 |  4.23 |  4.27 |  4.32 | 4.16 |  5.23 |  4.45 | 4.54 |  4.02 |  4.82 | 4.12 | 4.31 |  3.97 |  3.92 | 4.03 | 3.97 |  4.17 |
|        15 |  4.46 | 4.02 | 4.48 | 4.11 | 4.21 | 4.08 |  3.74 |  4.54 |  3.97 |  5.66 |  3.68 |  4.08 | 4.25 |  5.02 |  4.29 |  6.32 |  4.35 |  3.86 |  3.88 |  4.15 |  4.89 |  4.49 | 4.67 | 4.31 |  4.41 |  4.22 |  4.45 | 4.09 |  5.40 |  4.12 | 4.79 |  4.34 |  5.19 | 4.20 | 4.35 |  3.85 |  4.12 | 4.14 | 4.13 |  4.47 |
