# variable: Total Cloud Cover
# units: percent
# 
| fcst_hour |      1 |      2 |      3 |      4 |      5 |      6 |      7 |      8 |      9 |     10 |     11 |     12 |     13 |     14 |     15 |     16 |     17 |     18 |     19 |     20 |     21 |     22 |     23 |     24 |     25 |     26 |     27 |     28 |     29 |     30 |     31 |     32 |     33 |     34 |     35 |     36 |     37 |     38 |     39 |     40 |
|         0 | 100.00 | 100.00 | 100.00 |  92.82 | 100.00 | 100.00 | 100.00 |  97.82 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 |  85.96 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 |  99.55 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 |
|         1 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 |  99.21 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 |  99.53 |  92.30 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 |
|         2 | 100.00 | 100.00 |  99.77 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 |  99.76 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 |  99.07 |  98.35 |  99.75 | 100.00 |  99.73 | 100.00 | 100.00 |  98.90 | 100.00 | 100.00 |
|         3 | 100.00 | 100.00 | 100.00 | 100.00 |  99.29 | 100.00 |  99.46 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 |  99.43 |  99.82 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 |  97.73 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 |
|         4 | 100.00 | 100.00 | 100.00 | 100.00 |  99.70 | 100.00 |  98.06 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 |  99.67 | 100.00 | 100.00 | 100.00 |  99.68 | 100.00 | 100.00 | 100.00 | 100.00 |  97.36 | 100.00 | 100.00 | 100.00 |  99.99 | 100.00 | 100.00 |  97.79 | 100.00 | 100.00 |  99.87 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 |  98.46 |
|         5 |  97.42 | 100.00 | 100.00 |  99.38 |  97.15 |  98.29 | 100.00 | 100.00 | 100.00 | 100.00 |  99.94 | 100.00 |  99.86 |  98.57 |  99.59 | 100.00 | 100.00 |  99.02 |  99.53 |  98.94 | 100.00 | 100.00 |  96.77 |  92.53 |  97.23 |  95.91 |  98.03 |  96.37 | 100.00 | 100.00 |  94.90 |  99.51 | 100.00 |  96.73 |  95.88 | 100.00 | 100.00 | 100.00 | 100.00 |  97.44 |
|         6 |  93.17 |  98.38 |  98.55 |  94.97 |  98.08 |  97.65 | 100.00 |  97.83 |  97.73 |  99.96 |  95.70 |  96.79 |  98.37 |  98.18 |  97.46 |  96.84 | 100.00 |  94.94 |  94.29 |  96.15 |  98.76 |  99.76 |  94.93 |  96.41 |  97.66 |  91.49 |  96.79 |  97.79 | 100.00 |  98.55 |  95.98 |  95.99 |  99.27 |  93.49 |  97.67 |  91.80 | 100.00 | 100.00 |  99.51 |  95.96 |
|         7 |  87.88 |  98.02 |  96.09 |  93.58 |  94.42 |  95.58 |  87.93 |  93.35 |  95.43 |  98.13 |  99.65 |  94.54 |  92.80 |  94.93 |  99.14 |  97.89 |  94.88 |  92.34 |  90.75 |  92.48 |  93.77 |  98.65 |  94.11 |  98.31 |  92.27 |  90.08 |  95.62 |  96.56 |  98.96 |  95.26 |  96.79 |  92.87 |  96.55 |  92.24 |  98.37 | 100.00 |  96.15 |  99.26 |  97.31 |  93.45 |
|         8 |  85.79 |  96.47 |  97.52 |  83.73 |  96.06 |  94.98 |  90.60 |  90.57 |  93.23 |  92.72 | 100.00 |  93.43 |  97.15 |  90.63 | 100.00 |  93.51 |  92.44 |  92.04 |  91.00 |  90.57 |  93.21 |  98.76 |  93.63 |  90.96 |  96.79 |  89.27 |  96.64 |  89.67 |  95.11 |  94.98 |  83.55 |  92.78 |  98.39 |  91.02 |  93.72 |  98.87 | 100.00 |  89.66 | 100.00 |  97.09 |
|         9 |  84.00 |  76.18 |  82.87 |  81.36 |  88.81 |  95.81 |  94.77 |  86.81 |  92.75 |  87.22 |  89.64 |  94.60 |  93.13 |  85.51 | 100.00 |  91.57 |  91.49 |  91.28 |  87.43 |  99.92 |  97.79 |  96.86 |  98.21 |  96.49 |  98.34 |  93.40 |  99.14 |  92.30 |  97.60 |  99.50 |  90.17 |  90.59 |  88.78 |  87.98 |  95.01 | 100.00 |  95.20 |  90.73 |  97.74 |  92.65 |
|        10 |  88.70 |  90.63 |  96.28 |  82.92 |  92.80 |  92.26 |  89.42 |  81.25 |  95.57 |  88.57 |  88.85 |  93.55 |  92.59 |  95.59 | 100.00 |  95.70 |  93.53 |  90.78 | 100.00 |  91.13 |  96.65 |  98.18 |  97.83 |  98.98 |  99.96 |  95.05 |  99.31 |  96.27 | 100.00 |  94.47 | 100.00 |  92.20 |  86.60 |  92.15 |  96.75 |  94.43 |  99.52 |  98.30 | 100.00 |  97.88 |
|        11 | 100.00 |  80.80 | 100.00 | 100.00 |  76.73 |  93.21 | 100.00 |  92.39 | 100.00 |  99.39 | 100.00 |  85.57 |  88.79 |  82.65 | 100.00 |  94.59 |  97.54 |  96.64 | 100.00 | 100.00 |  99.37 | 100.00 |  97.81 | 100.00 | 100.00 | 100.00 |  99.64 |  95.77 |  98.35 |  97.78 |  95.63 |  97.22 | 100.00 |  94.14 |  95.77 |  91.68 | 100.00 | 100.00 |  99.26 |  99.36 |
|        12 | 100.00 |  96.65 |  98.84 |  97.56 | 100.00 |  95.79 | 100.00 | 100.00 |  98.36 | 100.00 |  96.33 |  95.39 |  95.90 | 100.00 | 100.00 |  93.37 |  99.92 |  91.79 |  99.66 |  99.30 | 100.00 | 100.00 |  96.24 | 100.00 | 100.00 |  99.42 |  98.05 | 100.00 |  98.08 | 100.00 |  96.57 |  94.85 | 100.00 | 100.00 | 100.00 |  89.65 | 100.00 | 100.00 | 100.00 | 100.00 |
|        13 |  96.16 | 100.00 |  98.88 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 |  98.38 |  99.54 |  98.10 |  96.92 | 100.00 | 100.00 |  97.56 |  99.71 |  97.35 | 100.00 | 100.00 |  99.40 | 100.00 | 100.00 |  98.23 |  97.92 |  93.09 | 100.00 |  93.76 | 100.00 |  98.50 | 100.00 |  93.08 |  99.99 | 100.00 | 100.00 |  99.74 |  99.28 | 100.00 | 100.00 | 100.00 |  99.98 |
|        14 |  92.18 | 100.00 |  95.76 |  93.64 | 100.00 | 100.00 | 100.00 | 100.00 |  90.89 |  97.66 | 100.00 |  99.95 |  94.32 |  95.81 |  99.55 | 100.00 |  95.04 | 100.00 |  98.83 | 100.00 | 100.00 | 100.00 | 100.00 |  95.44 | 100.00 |  98.66 |  96.33 |  99.78 |  94.06 | 100.00 |  97.51 | 100.00 | 100.00 |  99.97 |  94.60 |  95.51 |  94.43 | 100.00 | 100.00 | 100.00 |
|        15 |  98.69 |  98.67 |  99.85 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 |  93.82 | 100.00 | 100.00 | 100.00 |  96.54 | 100.00 | 100.00 | 100.00 |  98.21 | 100.00 |  96.82 | 100.00 | 100.00 |  97.99 |  93.97 | 100.00 | 100.00 | 100.00 |  95.04 |  98.03 | 100.00 |  98.49 | 100.00 | 100.00 | 100.00 |  90.53 | 100.00 |  99.98 | 100.00 | 100.00 | 100.00 | 100.00 |
|        16 | 100.00 | 100.00 | 100.00 | 100.00 |  98.64 |  90.07 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 |  97.74 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 |  99.37 |  92.76 | 100.00 | 100.00 |  96.56 | 100.00 |  98.42 | 100.00 | 100.00 |  98.63 | 100.00 |  91.79 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 |  95.44 | 100.00 |
|        17 |  94.33 | 100.00 | 100.00 | 100.00 | 100.00 |  93.15 | 100.00 | 100.00 |  98.08 | 100.00 | 100.00 | 100.00 | 100.00 | 100.00 |  94.61 | 100.00 | 100.00 | 100.00 | 100.00 |  99.80 | 100.00 |  90.40 |  92.88 | 100.00 | 100.00 | 100.00 |  95.47 |  97.03 |  89.85 |  99.30 |  95.82 | 100.00 |  96.29 | 100.00 | 100.00 | 100.00 | 100.00 |  95.69 | 100.00 |  91.69 |
|        18 |  98.06 | 100.00 | 100.00 |  96.54 |  98.46 |  94.51 | 100.00 |  99.03 |  97.67 | 100.00 | 100.00 | 100.00 |  92.28 | 100.00 | 100.00 |  99.41 | 100.00 |  90.75 |  97.81 |  98.68 | 100.00 |  97.83 |  93.63 | 100.00 | 100.00 | 100.00 |  92.65 | 100.00 |  88.51 | 100.00 |  91.88 | 100.00 |  93.48 |  98.09 |  99.03 | 100.00 | 100.00 |  93.62 | 100.00 |  88.55 |
|        19 |  97.48 | 100.00 | 100.00 | 100.00 | 100.00 |  93.81 |  93.16 |  90.61 |  97.56 | 100.00 | 100.00 |  96.46 | 100.00 |  98.98 |  96.06 | 100.00 |  94.47 |  95.38 |  97.31 |  96.15 |  97.15 |  95.06 | 100.00 | 100.00 | 100.00 | 100.00 |  90.26 |  96.87 |  83.72 |  99.20 |  99.13 |  97.13 | 100.00 | 100.00 |  95.68 | 100.00 |  98.93 | 100.00 | 100.00 |  89.00 |
|        20 |  94.74 |  98.72 |  98.45 |  92.97 | 100.00 |  85.62 |  81.97 |  76.63 |  98.37 |  99.37 | 100.00 | 100.00 |  78.22 |  98.04 |  96.48 | 100.00 |  96.34 |  88.88 |  88.39 |  89.79 |  96.74 | 100.00 |  92.99 |  99.69 |  97.98 |  99.02 |  85.61 | 100.00 |  85.79 |  88.13 |  98.97 | 100.00 | 100.00 | 100.00 |  90.53 | 100.00 |  77.35 |  98.89 | 100.00 |  85.63 |
