# variable: Momentary Wind Speed at 10m
# units: km/h
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |   32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  4.50 |  4.08 |  4.14 |  4.77 |  4.69 |  4.26 |  4.92 |  4.10 |  5.47 |  5.79 |  5.63 |  2.48 |  4.56 |  4.50 |  4.99 |  4.53 |  4.21 |  5.68 |  4.75 |  4.24 |  4.84 |  4.42 |  4.98 |  5.65 |  5.59 |  5.00 |  4.43 |  3.81 |  4.61 |  2.66 |  3.68 | 6.75 |  5.95 |  5.50 |  4.32 |  5.71 |  3.62 |  4.89 |  5.18 |  5.04 |
|         1 |  5.18 |  3.66 |  3.99 |  4.28 |  4.76 |  4.48 |  6.01 |  3.28 |  4.56 |  5.65 |  5.69 |  2.62 |  4.34 |  4.26 |  4.26 |  4.78 |  3.52 |  6.05 |  4.34 |  4.89 |  4.23 |  4.25 |  4.68 |  4.96 |  5.45 |  5.38 |  4.69 |  4.98 |  4.45 |  2.52 |  4.45 | 5.74 |  4.41 |  5.18 |  4.50 |  5.41 |  3.68 |  4.14 |  5.61 |  5.24 |
|         2 |  5.88 |  3.61 |  4.39 |  3.89 |  4.62 |  4.12 |  6.22 |  3.08 |  4.17 |  5.07 |  5.58 |  2.62 |  4.64 |  3.83 |  3.69 |  4.53 |  3.55 |  5.84 |  5.00 |  4.88 |  3.67 |  4.40 |  4.08 |  4.17 |  5.46 |  5.33 |  4.90 |  5.71 |  3.91 |  2.68 |  5.25 | 4.73 |  3.92 |  5.26 |  5.13 |  5.04 |  4.04 |  3.26 |  5.75 |  5.48 |
|         3 |  5.93 |  3.17 |  3.85 |  3.37 |  4.49 |  3.16 |  5.06 |  3.84 |  3.77 |  4.63 |  4.68 |  2.50 |  4.47 |  3.48 |  3.58 |  4.23 |  3.72 |  4.77 |  4.63 |  5.09 |  3.29 |  4.12 |  3.70 |  3.37 |  4.86 |  4.64 |  4.58 |  5.09 |  3.25 |  3.52 |  4.61 | 3.67 |  3.42 |  4.27 |  5.00 |  4.03 |  3.57 |  3.15 |  5.06 |  4.91 |
|         4 |  4.86 |  2.93 |  3.60 |  2.53 |  4.54 |  2.66 |  4.05 |  3.44 |  3.41 |  4.15 |  3.95 |  3.04 |  3.92 |  2.94 |  3.44 |  3.70 |  3.60 |  3.78 |  3.89 |  4.25 |  3.52 |  3.80 |  3.65 |  3.42 |  3.78 |  4.08 |  3.82 |  4.17 |  3.59 |  3.47 |  3.05 | 3.27 |  3.19 |  3.14 |  3.66 |  3.19 |  2.97 |  3.16 |  4.28 |  4.48 |
|         5 |  3.93 |  3.11 |  3.99 |  2.29 |  4.21 |  2.64 |  3.73 |  2.44 |  2.68 |  4.49 |  4.09 |  4.00 |  2.93 |  2.68 |  3.53 |  3.26 |  3.38 |  3.56 |  3.29 |  3.45 |  3.29 |  3.11 |  3.89 |  3.85 |  3.18 |  3.77 |  3.75 |  3.82 |  3.71 |  3.38 |  3.34 | 3.45 |  3.20 |  2.42 |  2.66 |  3.31 |  3.57 |  3.13 |  3.49 |  3.62 |
|         6 |  2.55 |  4.42 |  4.47 |  2.20 |  3.25 |  3.06 |  3.51 |  2.22 |  2.78 |  3.73 |  4.21 |  3.68 |  3.14 |  2.54 |  3.37 |  2.73 |  2.89 |  3.47 |  3.67 |  2.49 |  2.99 |  2.31 |  3.42 |  3.51 |  2.41 |  3.53 |  2.59 |  3.53 |  3.00 |  2.69 |  4.21 | 3.61 |  3.89 |  2.26 |  2.63 |  3.50 |  3.64 |  3.17 |  2.25 |  2.47 |
|         7 |  1.92 |  4.42 |  4.10 |  2.42 |  3.09 |  2.75 |  3.66 |  2.82 |  2.69 |  3.41 |  3.98 |  3.20 |  3.50 |  3.09 |  3.81 |  3.68 |  2.41 |  3.00 |  3.96 |  1.24 |  3.09 |  2.04 |  4.49 |  2.34 |  2.98 |  4.58 |  2.30 |  3.22 |  2.66 |  1.83 |  3.60 | 3.88 |  4.24 |  2.66 |  3.31 |  4.04 |  2.99 |  3.92 |  2.02 |  3.11 |
|         8 |  2.67 |  5.19 |  4.91 |  1.90 |  4.18 |  3.81 |  4.10 |  3.64 |  2.76 |  4.30 |  4.43 |  4.65 |  4.16 |  4.64 |  4.58 |  4.44 |  3.36 |  3.45 |  4.23 |  2.57 |  3.36 |  2.86 |  5.95 |  3.52 |  2.99 |  6.52 |  3.54 |  3.75 |  2.79 |  2.44 |  3.58 | 4.50 |  6.75 |  3.87 |  3.74 |  3.89 |  2.73 |  2.79 |  2.59 |  3.84 |
|         9 |  3.48 |  5.20 |  5.25 |  2.23 |  3.66 |  7.14 |  5.25 |  5.43 |  4.69 |  4.44 |  4.57 |  3.85 |  4.36 |  6.04 |  6.65 |  5.56 |  6.90 |  3.85 |  6.56 |  5.34 |  4.62 |  5.19 |  7.58 |  5.87 |  3.83 |  5.38 |  4.76 |  6.20 |  4.59 |  6.12 |  6.82 | 3.77 |  6.47 |  5.08 |  3.65 |  5.50 |  2.66 |  2.97 |  2.78 |  4.11 |
