# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |     2 |    3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |   17 |   18 |   19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |   35 |   36 |   37 |    38 |    39 |   40 |
|         0 |  0.29 |  0.21 | 0.27 |  0.33 | -0.02 | -0.26 |  0.04 |     0 | -0.11 |  0.18 | -0.12 | -0.39 | -0.04 |  0.26 | -0.36 | -0.10 | 0.35 | 0.11 | 0.13 | -0.25 | -0.53 |  0.24 |  0.52 | -0.13 |  0.05 | -0.49 |  0.02 |  0.09 | -0.24 |  0.26 | -0.17 |  0.31 |  0.41 |  0.34 | 0.83 | 0.03 | 0.24 |  0.28 |  0.16 | 0.12 |
|         1 |  0.35 |  0.36 | 0.44 |  0.42 |  0.12 |  0.05 |  0.44 |  0.12 | -0.03 |  0.37 |  0.10 | -0.28 |  0.25 |  0.46 |  0.12 |  0.07 | 0.58 | 0.40 | 0.57 | -0.11 | -0.20 |  0.59 |  0.69 | -0.03 |  0.24 | -0.31 |  0.21 |  0.27 | -0.03 |  0.48 | -0.06 |  0.37 |  0.46 |  0.62 | 0.97 | 0.32 | 0.38 |  0.51 |  0.50 | 0.44 |
|         2 |  0.49 |  0.54 | 0.43 |  0.60 |  0.21 |  0.39 |  0.68 |  0.28 |  0.12 |  0.54 |  0.53 | -0.04 |  0.28 |  0.48 |  0.54 |  0.45 | 0.95 | 0.79 | 0.83 |  0.09 |  0.11 |  0.97 |  1.00 |  0.13 |  0.46 | -0.20 |  0.38 |  0.56 |  0.34 |  0.69 |  0.19 |  0.63 |  0.75 |  0.83 | 1.24 | 0.73 | 0.44 |  0.82 |  0.73 | 0.56 |
|         3 |  0.81 |  1.18 | 0.80 |  0.80 |  0.45 |  0.92 |  0.83 |  0.52 |  0.42 |  0.92 |  0.84 |  0.28 |  0.43 |  0.76 |  0.93 |  0.96 | 1.23 | 0.99 | 1.07 |  0.46 |  0.37 |  1.34 |  1.38 |  0.50 |  0.75 |  0.06 |  0.65 |  0.85 |  0.71 |  1.07 |  0.62 |  0.76 |  1.04 |  1.23 | 1.50 | 1.02 | 0.70 |  1.13 |  1.05 | 0.81 |
|         4 |  1.23 |  1.33 | 1.15 |  1.22 |  0.79 |  1.40 |  1.05 |  0.88 |  0.74 |  1.35 |  1.26 |  0.67 |  0.54 |  1.26 |  1.20 |  1.48 | 1.41 | 1.19 | 1.54 |  0.89 |  0.69 |  1.97 |  1.74 |  1.12 |  1.30 |  0.35 |  0.87 |  1.27 |  0.98 |  1.50 |  1.06 |  1.01 |  1.30 |  1.50 | 1.96 | 1.43 | 0.93 |  1.60 |  1.33 | 1.17 |
|         5 |  1.68 |  1.33 | 2.00 |  1.55 |  1.68 |  1.72 |  1.37 |  1.35 |  1.44 |  1.78 |  1.98 |  1.14 |  1.27 |  1.65 |  1.70 |  2.00 | 1.76 | 1.57 | 2.11 |  1.26 |  1.25 |  2.39 |  1.94 |  1.73 |  1.80 |  0.45 |  1.53 |  1.88 |  1.17 |  1.82 |  1.81 |  1.43 |  1.94 |  1.77 | 2.88 | 1.87 | 1.50 |  2.03 |  1.45 | 1.74 |
|         6 |  2.23 |  2.21 | 3.03 |  1.92 |  2.43 |  1.97 |  1.86 |  2.38 |  2.03 |  2.09 |  2.80 |  1.55 |  1.40 |  1.98 |  2.54 |  2.46 | 2.13 | 2.01 | 2.94 |  1.86 |  1.85 |  2.65 |  2.25 |  1.87 |  2.40 |  0.98 |  2.31 |  2.65 |  1.49 |  2.30 |  2.36 |  2.30 |  2.57 |  2.37 | 3.27 | 2.85 | 2.39 |  2.52 |  2.03 | 2.48 |
|         7 |  3.04 |  3.66 | 3.34 |  2.49 |  2.31 |  2.22 |  2.53 |  2.88 |  2.43 |  2.21 |  3.26 |  2.19 |  1.98 |  2.72 |  2.85 |  2.67 | 2.43 | 2.45 | 2.90 |  2.05 |  2.35 |  3.38 |  2.64 |  2.15 |  2.66 |  2.22 |  2.42 |  3.05 |  1.90 |  2.68 |  1.56 |  3.21 |  2.96 |  3.36 | 3.44 | 3.38 | 3.15 |  3.14 |  2.21 | 2.51 |
|         8 |  3.13 |  3.74 | 3.10 |  3.44 |  2.28 |  2.68 |  2.95 |  3.23 |  2.76 |  2.66 |  3.40 |  2.72 |  2.86 |  3.50 |  2.68 |  3.10 | 2.82 | 2.91 | 2.57 |  2.53 |  2.88 |  3.63 |  2.97 |  2.78 |  2.85 |  3.00 |  2.45 |  3.02 |  2.47 |  3.34 |  2.78 |  3.41 |  2.86 |  3.71 | 3.46 | 3.68 | 3.25 |  3.18 |  3.26 | 2.85 |
|         9 |  3.29 |  3.40 | 3.12 |  4.47 |  3.00 |  2.98 |  3.43 |  3.79 |  3.52 |  3.05 |  3.95 |  2.78 |  3.60 |  3.72 |  2.90 |  3.41 | 4.26 | 3.24 | 3.05 |  3.43 |  3.03 |  3.89 |  3.61 |  3.18 |  2.88 |  2.75 |  2.87 |  3.16 |  2.48 |  3.39 |  2.96 |  3.47 |  2.80 |  3.83 | 3.74 | 3.90 | 3.56 |  3.44 |  3.56 | 3.23 |
