# variable: Wind Gust at 10m, Maximum of Time Interval before fcst_hour
# units: km/h
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         1 |  7.28 |  7.26 |  7.95 |  3.83 |  8.77 |  6.40 |  6.18 |  6.12 |  5.74 |  7.43 |  7.19 |  6.51 |  8.42 |  6.92 |  8.66 |  9.79 |  2.99 |  9.47 |  5.13 |  5.73 |  6.91 |  5.71 |  8.09 |  7.40 |  7.38 |  6.81 |  6.48 |  8.09 |  6.40 |  9.13 |  4.82 |  5.88 |  6.31 |  6.50 |  7.26 |  7.15 |  8.59 |  9.06 |  6.09 |  4.69 |
|         2 |  7.24 |  7.70 |  8.59 |  4.96 |  8.48 |  5.97 |  5.66 |  5.75 |  7.41 |  7.05 |  7.69 |  6.29 |  8.04 |  6.85 |  8.76 | 10.49 |  3.79 | 10.78 |  5.29 |  5.73 |  5.67 |  5.92 |  8.57 |  6.50 |  8.16 |  6.15 |  6.78 |  8.97 |  6.80 |  9.23 |  3.58 |  4.59 |  6.72 |  6.71 |  8.08 |  7.38 |  8.57 |  9.53 |  6.01 |  4.59 |
|         3 |  8.47 |  9.88 | 10.83 |  5.37 |  9.57 |  7.51 |  5.55 |  7.36 |  7.94 |  8.75 |  8.52 |  5.65 |  7.48 |  8.37 |  9.15 | 11.21 |  5.14 | 11.12 |  6.63 |  7.17 |  4.22 |  7.28 |  9.37 |  7.24 |  9.26 |  6.24 |  8.39 |  9.79 |  7.45 |  9.79 |  6.88 |  4.09 |  8.80 |  7.91 |  8.85 |  7.15 |  9.44 | 10.18 |  6.97 |  4.66 |
|         4 |  9.25 | 10.05 | 11.14 |  7.44 | 11.28 |  7.91 |  6.55 |  8.83 |  8.90 | 10.01 | 10.17 |  5.91 |  7.53 |  9.65 |  8.91 | 12.13 |  6.32 | 12.04 |  8.55 |  7.94 |  5.88 |  8.23 | 10.26 |  9.27 | 11.55 |  7.06 |  9.50 | 11.60 |  8.84 | 10.99 |  9.66 |  5.61 |  7.85 |  8.43 | 10.97 |  8.25 | 10.12 | 11.29 |  7.86 |  5.56 |
|         5 | 10.15 |  9.61 | 13.97 |  8.01 | 13.50 |  8.95 |  7.84 |  9.67 | 11.53 | 11.67 | 11.42 |  6.34 | 10.82 | 10.08 | 10.90 | 13.51 |  7.62 | 13.60 |  9.64 |  7.90 |  7.83 |  8.63 | 10.39 | 10.14 | 12.72 |  7.19 | 10.81 | 13.47 |  9.61 | 11.29 | 11.75 |  7.68 | 10.00 |  9.16 | 14.46 | 10.01 | 12.31 | 12.61 |  9.15 |  7.31 |
|         6 | 10.73 | 12.21 | 15.85 |  8.66 | 13.60 |  9.02 |  9.34 | 11.95 | 12.68 | 12.39 | 12.94 |  7.48 | 10.86 | 11.39 | 13.54 | 14.28 |  8.75 | 15.51 | 12.27 |  8.80 |  8.31 |  9.04 | 11.96 | 10.07 | 13.77 | 10.72 | 12.21 | 15.72 | 10.31 | 12.74 | 12.56 | 10.30 | 11.12 | 11.06 | 14.21 | 13.42 | 15.34 | 13.81 | 12.94 |  8.19 |
|         7 | 11.23 | 14.14 | 16.49 | 10.89 | 13.37 |  9.14 | 10.73 | 12.87 | 14.18 | 12.62 | 14.19 |  8.61 | 11.31 | 14.41 | 13.77 | 14.08 | 10.80 | 17.20 | 12.32 |  8.54 | 10.47 | 11.01 | 13.45 | 11.45 | 13.68 | 13.05 | 12.48 | 16.16 | 11.01 | 13.60 |  9.41 | 12.54 | 11.24 | 11.97 | 14.88 | 13.46 | 16.42 | 15.76 | 12.93 |  8.15 |
|         8 | 13.89 | 14.81 | 15.86 | 13.98 | 13.47 | 11.33 | 12.36 | 14.87 | 14.80 | 16.04 | 14.55 |  9.90 | 15.62 | 18.02 | 13.32 | 15.15 | 12.08 | 17.14 | 10.24 | 10.90 | 12.88 | 15.45 | 16.17 | 14.27 | 15.99 | 13.40 | 13.28 | 15.30 | 12.33 | 17.90 | 16.51 | 13.68 | 13.65 | 12.02 | 15.86 | 13.54 | 15.65 | 15.55 | 16.21 | 12.72 |
|         9 | 14.88 | 17.80 | 18.76 | 15.55 | 18.43 | 15.38 | 15.63 | 18.32 | 18.89 | 17.96 | 19.78 | 13.57 | 19.34 | 21.08 | 16.43 | 18.76 | 20.85 | 17.48 | 15.97 | 16.38 | 15.57 | 17.72 | 20.62 | 18.91 | 21.24 | 14.41 | 21.04 | 19.71 | 12.53 | 19.27 | 17.46 | 15.87 | 17.32 | 18.82 | 19.52 | 18.09 | 21.36 | 19.44 | 16.19 | 15.29 |
|        10 | 19.14 | 23.01 | 23.17 | 15.26 | 23.05 | 18.63 | 14.96 | 20.88 | 20.77 | 17.41 | 24.07 | 16.75 | 20.95 | 24.99 | 18.31 | 21.27 | 21.16 | 18.74 | 19.44 | 18.12 | 19.66 | 19.12 | 21.36 | 20.93 | 25.20 | 19.24 | 23.25 | 22.04 | 13.87 | 22.21 | 20.93 | 16.39 | 20.66 | 20.97 | 25.53 | 20.50 | 21.97 | 21.30 | 17.92 | 18.53 |
|        11 | 20.82 | 23.39 | 23.36 | 13.28 | 24.34 | 20.61 | 15.47 | 21.16 | 20.66 | 17.67 | 26.31 | 19.55 | 20.11 | 25.67 | 18.34 | 22.10 | 16.86 | 20.35 | 19.18 | 21.50 | 21.32 | 19.64 | 23.96 | 19.67 | 26.82 | 21.23 | 23.16 | 23.16 | 16.68 | 23.53 | 20.93 | 16.48 | 21.95 | 20.39 | 26.72 | 20.81 | 25.52 | 21.65 | 22.20 | 18.38 |
|        12 | 20.67 | 24.89 | 24.51 | 12.17 | 22.12 | 20.98 | 17.55 | 21.60 | 23.66 | 18.93 | 25.76 | 19.56 | 20.33 | 25.46 | 18.55 | 21.42 | 14.80 | 20.36 | 16.46 | 23.60 | 22.32 | 21.13 | 24.18 | 20.86 | 26.99 | 20.07 | 22.71 | 21.45 | 17.06 | 23.79 | 18.26 | 16.72 | 22.88 | 19.76 | 25.91 | 20.55 | 26.07 | 22.68 | 23.00 | 18.51 |
|        13 | 18.91 | 24.89 | 24.77 | 12.87 | 24.34 | 21.27 | 17.39 | 19.91 | 25.31 | 20.81 | 24.24 | 17.87 | 19.88 | 24.95 | 18.60 | 20.58 | 15.50 | 20.21 | 15.48 | 23.62 | 22.49 | 20.65 | 23.51 | 22.20 | 26.47 | 19.70 | 20.89 | 20.02 | 16.10 | 23.77 | 17.85 | 18.81 | 22.04 | 19.15 | 22.89 | 19.83 | 26.47 | 20.88 | 22.55 | 20.73 |
