# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |   21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  6.10 |  5.56 |  5.50 |  6.37 |  6.36 |  5.75 |  5.92 |  5.40 |  5.52 |  5.95 |  5.55 |  5.97 |  6.02 |  5.79 |  5.75 |  5.54 |  6.57 |  6.46 |  6.51 |  6.51 | 5.06 |  5.34 |  6.27 |  5.98 |  6.09 |  6.53 |  6.34 |  5.21 |  5.99 |  5.84 |  5.38 |  5.84 |  5.92 |  5.51 |  5.66 |  6.15 |  5.36 |  6.31 |  5.80 |  5.37 |
|         1 |  6.11 |  5.46 |  5.57 |  6.31 |  6.37 |  5.75 |  6.01 |  5.43 |  5.61 |  5.89 |  5.52 |  5.89 |  6.03 |  5.65 |  5.67 |  5.48 |  6.50 |  6.34 |  6.45 |  6.52 | 4.98 |  5.36 |  6.38 |  5.93 |  6.05 |  6.53 |  6.16 |  5.29 |  6.01 |  5.80 |  5.28 |  5.93 |  5.95 |  5.47 |  5.83 |  6.16 |  5.37 |  6.42 |  5.88 |  5.39 |
|         2 |  6.08 |  5.70 |  5.63 |  6.22 |  6.41 |  5.82 |  6.08 |  5.57 |  5.60 |  5.95 |  5.72 |  5.92 |  5.94 |  5.74 |  5.76 |  5.49 |  6.46 |  6.37 |  6.39 |  6.61 | 4.95 |  5.40 |  6.52 |  5.79 |  5.98 |  6.62 |  6.16 |  5.20 |  6.08 |  5.68 |  5.26 |  5.89 |  6.06 |  5.47 |  5.92 |  6.25 |  5.36 |  6.31 |  5.87 |  5.48 |
|         3 |  6.05 |  5.79 |  5.73 |  6.00 |  6.23 |  5.82 |  6.14 |  5.53 |  5.49 |  6.00 |  5.78 |  5.89 |  5.77 |  5.77 |  5.75 |  5.33 |  6.34 |  6.26 |  6.33 |  6.62 | 4.81 |  5.39 |  6.54 |  5.74 |  5.93 |  6.60 |  6.15 |  5.14 |  6.03 |  5.62 |  5.25 |  5.91 |  6.09 |  5.34 |  5.92 |  6.22 |  5.34 |  6.26 |  5.85 |  5.41 |
|         4 |  5.96 |  5.69 |  5.79 |  5.83 |  6.00 |  5.85 |  6.12 |  5.50 |  5.33 |  5.99 |  5.85 |  5.91 |  5.61 |  5.72 |  5.75 |  5.18 |  6.27 |  6.13 |  6.31 |  6.66 | 4.69 |  5.38 |  6.49 |  5.74 |  5.95 |  6.58 |  6.19 |  5.07 |  5.98 |  5.57 |  5.40 |  5.91 |  6.02 |  5.19 |  5.97 |  6.20 |  5.48 |  6.22 |  5.82 |  5.39 |
|         5 |  5.81 |  5.58 |  5.78 |  5.63 |  5.68 |  5.78 |  5.94 |  5.52 |  5.19 |  5.88 |  5.88 |  5.88 |  5.43 |  5.60 |  5.69 |  5.05 |  6.20 |  5.88 |  6.22 |  6.54 | 4.59 |  5.25 |  6.35 |  5.78 |  5.96 |  6.51 |  6.10 |  5.03 |  5.91 |  5.55 |  5.35 |  5.82 |  5.91 |  5.09 |  5.90 |  5.98 |  5.61 |  6.15 |  5.75 |  5.29 |
|         6 |  5.67 |  5.67 |  5.67 |  5.44 |  5.50 |  5.69 |  5.75 |  5.51 |  5.07 |  5.80 |  5.93 |  5.81 |  5.24 |  5.59 |  5.61 |  4.94 |  6.12 |  5.89 |  6.12 |  6.31 | 4.66 |  5.12 |  6.16 |  5.82 |  6.00 |  6.38 |  6.01 |  5.04 |  5.69 |  5.58 |  5.22 |  5.70 |  5.85 |  5.10 |  5.81 |  5.72 |  5.69 |  6.06 |  5.71 |  5.08 |
|         7 |  5.54 |  5.80 |  5.53 |  5.33 |  5.43 |  5.68 |  5.69 |  5.42 |  4.96 |  5.81 |  5.94 |  5.79 |  5.10 |  5.68 |  5.61 |  4.88 |  6.03 |  5.99 |  6.03 |  6.10 | 4.66 |  5.03 |  5.98 |  5.87 |  6.03 |  6.25 |  6.03 |  4.91 |  5.43 |  5.60 |  5.14 |  5.61 |  5.87 |  4.96 |  5.73 |  5.48 |  5.66 |  5.98 |  5.62 |  4.98 |
|         8 |  5.51 |  5.94 |  5.47 |  5.42 |  5.53 |  5.80 |  5.82 |  5.39 |  4.95 |  5.82 |  5.96 |  5.81 |  5.09 |  5.56 |  5.58 |  4.87 |  5.98 |  5.99 |  5.98 |  6.01 | 4.68 |  5.01 |  5.91 |  5.92 |  6.09 |  6.22 |  6.05 |  4.87 |  5.34 |  5.61 |  5.23 |  5.53 |  5.75 |  4.82 |  5.57 |  5.42 |  5.60 |  6.08 |  5.64 |  4.89 |
|         9 |  5.43 |  5.83 |  5.47 |  5.51 |  5.60 |  5.83 |  5.86 |  5.43 |  4.98 |  5.73 |  5.84 |  5.84 |  5.10 |  5.12 |  5.35 |  4.87 |  5.87 |  5.90 |  5.91 |  5.93 | 4.58 |  4.96 |  5.81 |  6.01 |  6.06 |  6.18 |  5.92 |  4.88 |  5.10 |  5.76 |  5.19 |  5.48 |  5.50 |  4.73 |  5.54 |  5.44 |  5.51 |  6.11 |  5.70 |  4.89 |
|        10 |  5.43 |  5.70 |  5.54 |  5.64 |  5.35 |  5.80 |  5.78 |  5.58 |  5.19 |  5.67 |  5.85 |  5.94 |  5.26 |  5.05 |  5.02 |  4.91 |  5.78 |  5.91 |  5.94 |  5.78 | 4.42 |  4.87 |  5.87 |  5.95 |  5.91 |  5.98 |  5.77 |  4.88 |  5.09 |  5.94 |  5.19 |  5.45 |  5.42 |  4.64 |  5.76 |  5.51 |  5.55 |  6.02 |  5.76 |  4.98 |
|        11 |  5.46 |  5.42 |  5.56 |  6.01 |  5.38 |  5.69 |  5.81 |  5.72 |  5.44 |  5.73 |  5.85 |  5.97 |  5.52 |  4.96 |  5.15 |  4.99 |  5.87 |  5.99 |  6.01 |  5.64 | 4.33 |  4.99 |  6.01 |  5.75 |  5.85 |  5.95 |  5.71 |  5.04 |  5.43 |  5.88 |  5.27 |  5.47 |  5.38 |  4.66 |  5.91 |  5.63 |  5.78 |  5.90 |  5.90 |  5.10 |
|        12 |  5.51 |  5.38 |  5.50 |  6.28 |  5.34 |  5.76 |  6.08 |  5.88 |  5.58 |  5.77 |  6.00 |  5.97 |  5.70 |  4.77 |  5.39 |  5.09 |  5.98 |  6.18 |  6.01 |  5.86 | 4.48 |  4.98 |  6.10 |  5.74 |  5.97 |  6.32 |  5.89 |  5.27 |  5.66 |  5.82 |  5.26 |  5.82 |  5.31 |  4.77 |  6.01 |  5.84 |  5.99 |  5.93 |  6.17 |  5.37 |
|        13 |  5.59 |  5.33 |  5.36 |  5.98 |  5.32 |  5.54 |  6.20 |  6.02 |  5.64 |  5.73 |  6.13 |  5.84 |  5.73 |  3.86 |  5.25 |  4.91 |  5.90 |  6.08 |  5.81 |  6.00 | 4.63 |  4.80 |  5.97 |  5.47 |  6.05 |  6.50 |  5.95 |  5.07 |  5.82 |  5.65 |  5.41 |  5.88 |  5.19 |  4.90 |  6.02 |  5.89 |  6.12 |  5.96 |  6.23 |  5.43 |
|        14 |  5.72 |  5.47 |  5.15 |  5.81 |  4.89 |  5.46 |  6.30 |  5.87 |  5.81 |  5.75 |  5.88 |  5.88 |  5.73 |  2.96 |  4.21 |  4.83 |  5.69 |  5.64 |  5.74 |  5.64 | 4.44 |  4.57 |  5.76 |  5.20 |  6.06 |  6.42 |  5.84 |  4.81 |  5.27 |  5.74 |  5.45 |  5.88 |  4.13 |  4.98 |  5.88 |  5.66 |  6.10 |  5.80 |  5.89 |  5.41 |
|        15 |  5.67 |  5.14 |  4.94 |  5.42 |  4.00 |  5.12 |  6.32 |  5.69 |  5.85 |  5.44 |  5.28 |  5.63 |  5.78 |  2.91 |  3.75 |  4.62 |  4.84 |  5.02 |  5.62 |  4.90 | 3.88 |  4.29 |  5.54 |  4.91 |  5.96 |  6.36 |  5.44 |  4.77 |  4.45 |  5.56 |  5.26 |  5.62 |  3.37 |  4.96 |  5.66 |  5.43 |  5.95 |  5.62 |  5.54 |  5.32 |
|        16 |  5.21 |  4.86 |  4.64 |  4.80 |  3.68 |  4.80 |  5.98 |  5.66 |  5.78 |  5.00 |  5.06 |  5.42 |  5.71 |  3.38 |  3.94 |  4.10 |  4.25 |  4.40 |  5.28 |  4.44 | 3.49 |  4.19 |  5.24 |  4.43 |  5.73 |  6.21 |  5.07 |  4.51 |  4.24 |  5.15 |  5.02 |  5.23 |  3.08 |  4.93 |  5.89 |  5.09 |  5.77 |  5.29 |  5.21 |  5.01 |
|        17 |  4.88 |  4.68 |  4.22 |  4.40 |  4.07 |  4.40 |  5.55 |  5.55 |  5.63 |  4.66 |  4.73 |  4.93 |  5.45 |  3.82 |  3.91 |  3.75 |  4.35 |  4.26 |  5.07 |  4.40 | 3.75 |  3.82 |  4.82 |  4.17 |  5.44 |  5.66 |  4.68 |  4.28 |  3.92 |  4.80 |  4.96 |  4.77 |  3.22 |  5.10 |  5.57 |  4.75 |  5.62 |  5.04 |  4.88 |  4.74 |
|        18 |  4.81 |  4.14 |  4.20 |  4.03 |  4.04 |  4.01 |  5.40 |  5.33 |  5.52 |  4.36 |  4.28 |  4.59 |  5.24 |  3.80 |  3.74 |  3.90 |  4.13 |  4.11 |  4.99 |  4.52 | 4.27 |  3.84 |  4.26 |  4.02 |  4.92 |  5.11 |  4.67 |  4.27 |  3.49 |  4.38 |  4.77 |  4.31 |  3.58 |  5.14 |  4.76 |  4.45 |  5.60 |  4.72 |  4.57 |  4.49 |
|        19 |  4.74 |  3.63 |  3.82 |  3.74 |  3.66 |  3.96 |  5.19 |  4.57 |  5.13 |  4.01 |  3.94 |  4.37 |  4.95 |  3.78 |  4.15 |  4.15 |  3.71 |  3.60 |  4.82 |  4.37 | 4.40 |  3.72 |  3.87 |  3.72 |  4.47 |  4.97 |  4.34 |  3.91 |  3.26 |  4.09 |  4.75 |  3.82 |  3.68 |  4.91 |  4.32 |  4.24 |  5.59 |  4.33 |  4.23 |  4.12 |
|        20 |  4.51 |  3.60 |  3.80 |  3.55 |  3.72 |  3.98 |  4.94 |  3.75 |  4.63 |  3.78 |  3.95 |  4.22 |  4.51 |  3.80 |  4.46 |  4.02 |  3.72 |  3.38 |  4.48 |  4.23 | 4.12 |  3.72 |  3.65 |  3.70 |  4.10 |  4.87 |  3.80 |  3.37 |  3.08 |  3.83 |  4.45 |  3.67 |  3.75 |  4.51 |  4.22 |  3.80 |  5.46 |  4.10 |  4.00 |  3.84 |
|        21 |  4.08 |  3.65 |  3.97 |  3.53 |  3.98 |  4.05 |  4.75 |  3.66 |  4.22 |  3.86 |  3.78 |  4.09 |  4.19 |  3.65 |  4.37 |  3.67 |  3.63 |  3.28 |  4.19 |  4.29 | 3.71 |  3.59 |  3.67 |  3.70 |  3.92 |  4.62 |  3.54 |  3.36 |  2.99 |  3.59 |  4.03 |  3.69 |  3.76 |  4.22 |  4.17 |  3.38 |  5.11 |  3.84 |  3.61 |  3.47 |
|        22 |  3.80 |  3.52 |  3.87 |  3.48 |  3.84 |  4.02 |  4.67 |  3.67 |  4.06 |  3.85 |  3.59 |  4.02 |  4.02 |  3.65 |  4.35 |  3.50 |  3.67 |  3.20 |  4.05 |  4.37 | 3.48 |  3.14 |  3.44 |  3.70 |  3.88 |  4.27 |  3.44 |  3.52 |  2.91 |  3.51 |  4.01 |  3.65 |  3.52 |  4.15 |  4.17 |  3.25 |  4.89 |  3.61 |  3.42 |  3.44 |
|        23 |  3.83 |  3.31 |  3.99 |  3.35 |  3.79 |  3.88 |  4.48 |  3.66 |  4.18 |  3.72 |  3.51 |  3.99 |  3.92 |  3.91 |  4.27 |  3.55 |  3.84 |  3.33 |  3.79 |  4.41 | 3.37 |  2.91 |  3.36 |  3.91 |  4.04 |  4.03 |  3.39 |  3.46 |  2.72 |  3.62 |  3.95 |  3.54 |  3.40 |  4.27 |  4.09 |  3.36 |  4.93 |  3.60 |  3.47 |  3.35 |
|        24 |  3.92 |  3.23 |  3.98 |  3.28 |  3.60 |  3.78 |  4.18 |  3.98 |  4.23 |  3.65 |  3.49 |  3.98 |  3.66 |  3.89 |  4.16 |  3.64 |  3.53 |  3.46 |  3.66 |  4.29 | 3.58 |  3.00 |  3.39 |  3.77 |  4.21 |  3.98 |  3.50 |  3.37 |  2.70 |  3.80 |  3.83 |  3.45 |  3.28 |  4.36 |  3.98 |  3.55 |  4.89 |  3.58 |  3.73 |  3.26 |
