# variable: Total Cloud Cover
# units: percent
# 
| fcst_hour |      1 |      2 |      3 |      4 |      5 |      6 |      7 |      8 |      9 |     10 |     11 |     12 |     13 |     14 |     15 |     16 |    17 |     18 |     19 |     20 |     21 |     22 |     23 |     24 |     25 |     26 |     27 |     28 |     29 |     30 |     31 |    32 |     33 |     34 |     35 |     36 |    37 |     38 |     39 |     40 |
|         0 |  39.83 |  31.62 |  70.40 |  50.65 |  23.67 |  64.46 |  41.72 |  46.26 |  38.23 |  47.74 |  24.69 |  48.70 |  72.23 |  50.18 |  36.79 |  61.67 | 49.00 |  41.06 |  41.37 |  80.43 |  62.20 |  49.27 |  55.96 |  30.68 |      0 |  50.26 |  32.65 |  59.54 |  51.35 |  30.78 |  27.22 | 70.44 |  43.31 |  82.49 |  89.92 |  60.80 | 51.64 |  44.24 |  63.10 |  89.55 |
|         1 |      0 |   7.32 |  85.44 |  61.73 |  34.01 |  51.39 |  44.50 |  31.52 |  49.29 |  55.15 |  34.22 |  44.25 |  41.89 |  32.38 |   6.45 |  67.57 | 47.39 |  57.91 |  41.85 |  61.59 |  56.38 |  49.06 |  51.30 |  56.59 |   4.47 |  60.65 |  24.80 |  44.57 |  60.90 |   9.46 |  53.05 | 46.45 |  26.98 |  87.04 |  62.47 |  63.23 | 61.71 |  44.19 |  64.75 |  62.94 |
|         2 |   4.33 |   9.46 |  79.52 |  83.59 |  48.98 |  59.01 |  60.28 |  34.66 |  54.06 |  71.93 |  44.94 |  56.52 |  42.60 |  28.34 |  52.02 |  81.87 | 45.24 |  73.48 |  39.40 |  60.10 |  58.88 |  61.10 |  60.57 |  55.09 |  28.12 |  52.40 |  33.01 |  73.61 |  72.27 |   9.12 |  59.08 | 51.94 |  22.22 |  96.46 |  66.67 |  73.18 | 64.70 |  62.21 |  63.75 |  73.82 |
|         3 |  48.64 |   6.46 |  46.22 |  78.82 |  43.44 |  61.57 |  67.51 |   7.12 |  51.28 |  63.54 |  45.65 |  49.55 |  25.47 |  27.75 |  43.23 |  69.77 | 39.56 |  66.27 |  43.29 |  46.33 |  59.54 |  51.49 |  64.16 |  50.52 |  42.41 |  44.34 |  36.82 |  56.08 |  66.29 |  40.81 |  54.13 | 54.73 |   9.76 |  76.03 |  71.12 |  62.85 | 56.69 |  69.76 |  56.46 |  70.01 |
|         4 |  57.25 |   9.65 |   4.61 |  80.79 |  39.14 |  46.51 |  73.33 |      0 |  53.70 |  41.37 |  74.36 |  31.93 |  50.38 |  24.71 |  38.63 |  60.73 | 35.50 |  37.07 |  54.57 |  45.26 |  63.82 |  27.57 |  75.72 |  41.38 |  57.48 |  19.21 |  39.07 |  44.71 |  55.99 |  74.05 |  51.38 | 50.31 |  10.21 |  65.69 |  67.22 |  41.26 | 66.39 |  74.68 |  58.63 |  73.28 |
|         5 |  53.15 |      0 |      0 |  50.75 |  37.09 |  46.45 |  71.49 |   6.94 |  61.12 |  55.85 |  42.21 |      0 |  67.94 |  10.91 |  29.34 |  68.46 | 36.65 |   6.40 |  69.32 |  50.11 |  55.63 |  28.21 |  55.07 |  13.59 |  57.20 |   5.15 |  27.80 |  30.63 |  53.89 |  71.14 |  50.47 | 41.20 |  21.66 |  66.57 |  63.69 |  52.77 | 72.46 |  73.96 |  49.72 |  69.17 |
|         6 |  50.35 |      0 |      0 |  45.55 |  40.05 |      0 |  17.19 |   8.32 |  75.55 |  61.42 |   7.81 |      0 |  45.24 |  25.39 |  37.16 |  67.44 | 36.39 |  15.73 |  72.89 |  40.67 |  54.10 |  42.18 |  38.32 |  36.66 |  52.32 |  36.96 |  27.14 |  40.10 |  73.98 |  56.86 |  46.27 | 39.81 |  21.54 |  71.75 |  50.36 |  69.46 | 69.40 |  74.43 |  47.35 |  62.96 |
|         7 |  31.79 |      0 |      0 |  47.62 |  23.64 |      0 |      0 |      0 |  80.12 |  54.87 |  68.57 |      0 |   7.38 |  17.75 |  31.21 |  56.97 |  8.15 |      0 |  89.52 |  38.32 |  51.30 |  40.70 |  22.45 |  21.64 |  27.16 |  37.26 |      0 |  33.13 |  79.64 |  34.99 |  33.81 | 33.41 |      0 |  24.34 |  36.53 |  74.34 | 48.49 |  73.59 |  38.13 |   5.32 |
|         8 |      0 |      0 |  34.88 |  49.26 |      0 |      0 |      0 |   4.56 |  87.37 |  51.56 |  58.09 |      0 |  41.74 |  12.37 |  71.60 |  61.86 |  6.48 |      0 |  79.70 |  52.27 |  38.66 |  26.76 |  55.23 |      0 |      0 |  55.50 |      0 |  16.60 |  57.25 |   9.98 |  17.54 |     0 |  53.86 |  36.63 |  27.71 |  76.14 | 31.63 |  49.32 |  45.10 |   8.87 |
|         9 |  32.89 |  32.44 |  52.64 |  57.59 |  36.51 |  29.31 |  43.01 |  35.55 |  68.76 |  50.20 |  61.06 |  54.90 |  48.29 |  33.87 |  38.75 |  36.87 | 30.12 |  29.79 |  49.65 |  26.25 |  51.53 |  55.58 |  57.54 |  31.56 |  63.30 |  47.82 |  28.98 |  54.16 |  58.10 |  13.71 |  45.91 | 29.50 |  62.36 |  39.49 |  25.37 |  66.38 | 22.39 |  54.57 |  59.93 |  37.18 |
|        10 |  40.15 |  38.68 |  34.16 |  38.82 |  32.45 |  27.17 |  44.76 |  45.09 |  40.61 |  26.40 |  26.48 |      0 |  38.58 |  39.93 |  29.88 |  65.30 | 30.80 |  28.03 |  29.97 |  24.16 |  24.47 |  25.62 |  11.56 |  38.21 |  46.93 |  36.87 |  32.14 |  22.91 |   4.79 |  33.15 |  26.33 | 36.38 |  36.60 |  39.79 |  27.88 |  11.36 | 15.49 |  32.42 |  25.61 |  30.85 |
|        11 |   8.43 |  26.87 |  33.54 |  37.50 |  41.95 |  27.65 |  33.49 |  27.84 |  20.53 |  27.90 |  36.44 |  12.38 |  32.31 |  29.06 |  24.50 |  27.31 | 38.62 |  44.12 |  56.38 |  30.79 |  44.59 |  35.00 |  41.22 |  32.33 |  25.06 |  17.79 |  24.00 |  37.81 |  44.44 |  34.16 |  23.42 | 34.48 |  33.42 |  43.40 |   8.34 |  37.72 | 36.21 |  39.22 |  15.05 |  32.04 |
|        12 |   2.53 |  32.09 |  22.22 |  44.40 |   5.32 |      0 |  19.07 |  23.54 |  56.83 |  38.21 |  60.18 |  28.07 |   7.20 |   5.29 |  37.75 |  71.07 | 50.69 |  46.74 |  62.78 |  40.70 |  34.37 |  35.56 |  34.23 |  35.56 |  43.65 |  44.66 |  29.67 |  54.49 |  87.48 |  22.75 |  35.88 | 30.51 |   4.95 |  65.84 |  59.34 |  44.48 |  7.20 |  49.44 |  37.20 |      0 |
|        13 |      0 |      0 |  66.07 |  61.14 |  35.42 |      0 |  17.83 |  38.79 |  32.76 |  36.73 |  67.01 |   4.73 |  15.75 |   5.52 |  19.34 |  72.75 | 37.08 |  23.50 |  55.30 |  45.14 |  81.12 |  50.37 |   4.05 |  28.25 |  50.40 |  37.44 |  30.67 |  87.12 |  78.89 |  31.21 |  42.03 | 53.22 |      0 |  69.25 |  76.98 |  22.45 |  7.81 |  71.90 |  39.97 |  35.70 |
