# variable: Momentary Wind Speed at 10m
# units: km/h
# 
| fcst_hour |     1 |     2 |     3 |     4 |    5 |     6 |     7 |    8 |    9 |    10 |    11 |    12 |    13 |   14 |   15 |   16 |   17 |    18 |    19 |   20 |    21 |   22 |    23 |    24 |    25 |    26 |    27 |    28 |   29 |    30 |    31 |   32 |   33 |    34 |   35 |    36 |    37 |    38 |   39 |    40 |
|         0 |  8.54 | 10.36 |  8.41 | 10.89 | 6.90 |  9.90 |  8.81 | 9.04 | 8.00 |  8.33 |  6.57 |  9.08 |  9.19 | 8.88 | 7.26 | 6.71 | 7.03 |  6.85 |  8.11 | 9.42 |  6.15 | 8.47 |  8.10 |  7.52 |  8.19 |  8.36 |  8.01 |  8.60 | 8.01 | 10.20 |  6.91 | 7.26 | 9.18 |  8.39 | 7.91 |  7.22 |  6.95 |  7.78 | 6.62 |  7.42 |
|         1 |  7.99 |  9.07 |  7.86 |  8.40 | 6.07 |  9.14 |  7.83 | 8.12 | 7.35 |  7.73 |  5.96 |  8.39 |  8.61 | 7.93 | 6.47 | 6.16 | 6.37 |  6.46 |  7.57 | 9.08 |  5.66 | 7.28 |  7.31 |  6.52 |  7.73 |  8.09 |  7.38 |  7.41 | 6.82 |  9.10 |  6.21 | 6.23 | 8.48 |  7.54 | 7.70 |  7.04 |  6.07 |  7.01 | 6.34 |  6.61 |
|         2 |  7.12 |  8.42 |  6.94 |  7.19 | 5.35 |  8.19 |  6.95 | 7.16 | 6.52 |  7.24 |  5.63 |  7.28 |  7.16 | 6.79 | 5.67 | 5.60 | 5.69 |  5.82 |  6.56 | 8.51 |  5.06 | 6.42 |  6.35 |  5.66 |  6.90 |  7.18 |  6.36 |  6.63 | 6.13 |  8.54 |  5.71 | 5.22 | 7.52 |  6.61 | 6.88 |  6.57 |  5.44 |  6.15 | 5.82 |  5.78 |
|         3 |  6.41 |  8.55 |  6.53 |  6.87 | 5.32 |  7.38 |  6.30 | 6.52 | 5.26 |  6.87 |  5.20 |  6.52 |  6.27 | 5.87 | 5.43 | 5.31 | 5.58 |  5.44 |  5.99 | 8.20 |  4.46 | 6.29 |  5.83 |  5.12 |  6.89 |  6.28 |  6.10 |  6.41 | 5.91 |  8.18 |  5.51 | 4.97 | 7.06 |  5.93 | 6.57 |  6.07 |  5.04 |  6.05 | 5.74 |  6.00 |
|         4 |  5.58 |  8.23 |  6.22 |  6.75 | 5.15 |  7.27 |  6.04 | 6.31 | 4.39 |  6.62 |  5.06 |  5.88 |  5.93 | 4.93 | 5.57 | 4.84 | 5.63 |  5.73 |  5.42 | 7.54 |  4.18 | 6.16 |  5.61 |  4.96 |  6.71 |  5.41 |  5.97 |  6.04 | 6.08 |  7.72 |  5.12 | 5.18 | 6.82 |  5.86 | 6.22 |  5.69 |  4.87 |  5.57 | 5.52 |  5.73 |
|         5 |  5.20 |  7.38 |  6.25 |  6.36 | 5.20 |  6.44 |  6.13 | 6.12 | 4.05 |  5.44 |  4.08 |  5.17 |  5.23 | 4.58 | 5.25 | 4.37 | 5.18 |  5.42 |  5.08 | 6.50 |  4.00 | 5.68 |  5.23 |  4.65 |  6.02 |  4.80 |  5.76 |  6.05 | 6.17 |  6.82 |  4.60 | 4.89 | 5.92 |  5.81 | 5.82 |  5.61 |  4.47 |  4.87 | 5.34 |  5.34 |
|         6 |  3.99 |  6.43 |  5.51 |  4.94 | 4.12 |  5.25 |  5.44 | 5.05 | 2.88 |  5.22 |  3.72 |  3.63 |  4.99 | 5.26 | 4.49 | 3.66 | 4.17 |  4.37 |  4.26 | 6.08 |  3.43 | 4.93 |  4.77 |  3.82 |  4.54 |  4.31 |  5.23 |  5.29 | 5.47 |  5.43 |  4.06 | 4.10 | 6.03 |  4.53 | 4.95 |  4.95 |  3.46 |  3.80 | 4.32 |  4.54 |
|         7 |  3.42 |  6.64 |  4.97 |  3.39 | 3.30 |  4.47 |  4.11 | 4.45 | 2.15 |  4.10 |  2.93 |  2.44 |  4.19 | 4.57 | 3.35 | 2.56 | 3.40 |  3.03 |  3.22 | 6.24 |  1.93 | 3.63 |  4.52 |  2.95 |  4.29 |  3.55 |  4.64 |  4.20 | 4.18 |  4.96 |  3.34 | 3.26 | 4.81 |  3.22 | 3.79 |  3.45 |  2.57 |  3.06 | 3.01 |  3.22 |
|         8 |  2.81 |  6.45 |  6.40 |  4.03 | 2.60 |  3.77 |  4.46 | 4.36 | 1.99 |  4.15 |  2.01 |  1.74 |  4.72 | 4.60 | 2.56 | 1.68 | 3.46 |  2.33 |  3.87 | 5.67 |  1.74 | 3.61 |  5.31 |  2.36 |  4.08 |  3.15 |  3.81 |  6.25 | 4.67 |  4.83 |  2.80 | 2.11 | 3.68 |  3.23 | 3.80 |  3.05 |  1.64 |  2.07 | 1.92 |  3.79 |
|         9 |  3.41 |  7.25 |  6.62 |  5.33 | 3.31 |  3.23 |  4.44 | 4.56 | 3.28 |  6.57 |  2.60 |  1.57 |  4.31 | 4.14 | 3.22 | 2.22 | 3.96 |  1.56 |  5.05 | 6.81 |  2.56 | 2.31 |  4.48 |  3.69 |  5.95 |  4.70 |  3.72 |  6.48 | 6.65 |  4.18 |  3.39 | 3.49 | 2.35 |  1.80 | 4.52 |  5.29 |  3.10 |  3.88 | 3.10 |  3.13 |
