# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |    1 |     2 |     3 |     4 |     5 |     6 |    7 |    8 |     9 |    10 |    11 |    12 |    13 |    14 |   15 |    16 |   17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |   29 |   30 |    31 |    32 |   33 |   34 |    35 |    36 |   37 |    38 |   39 |   40 |
|         0 | 7.49 |  6.94 |  7.01 |  7.22 |  8.23 |  8.05 | 7.39 | 6.73 |  7.54 |  8.10 |  7.70 |  8.06 |  7.34 |  7.01 | 8.40 |  8.15 | 7.33 |  8.45 |  7.67 |  8.01 |  6.58 |  7.13 |  7.98 |  8.29 |  7.91 |  8.00 |  7.73 |  6.51 | 7.73 | 7.80 |  8.62 |  7.83 | 8.92 | 7.24 |  8.06 |  7.83 | 8.20 |  7.68 | 7.19 | 7.50 |
|         1 | 8.45 |  7.50 |  7.79 |  8.16 |  8.72 |  8.77 | 8.18 | 7.33 |  8.40 |  8.65 |  8.46 |  8.70 |  8.03 |  7.73 | 8.80 |  8.72 | 8.07 |  8.96 |  8.35 |  8.76 |  7.46 |  8.14 |  8.56 |  8.86 |  8.60 |  8.56 |  8.53 |  7.40 | 8.48 | 8.33 |  9.18 |  8.51 | 9.27 | 7.84 |  8.76 |  8.41 | 8.59 |  8.32 | 7.85 | 8.09 |
|         2 | 8.66 |  7.82 |  8.22 |  8.38 |  8.83 |  8.92 | 8.56 | 7.64 |  8.83 |  8.93 |  8.79 |  8.84 |  8.37 |  8.09 | 8.73 |  8.87 | 8.32 |  9.07 |  8.65 |  8.86 |  7.76 |  8.46 |  8.68 |  8.77 |  8.81 |  8.60 |  9.02 |  7.81 | 8.61 | 8.50 |  9.28 |  8.58 | 9.16 | 7.93 |  9.01 |  8.58 | 8.60 |  8.39 | 8.02 | 8.18 |
|         3 | 8.84 |  8.34 |  8.52 |  8.50 |  9.03 |  9.08 | 8.85 | 7.91 |  9.07 |  9.14 |  9.00 |  8.87 |  8.74 |  8.32 | 8.89 |  9.13 | 8.60 |  9.24 |  8.80 |  9.00 |  8.10 |  8.73 |  8.84 |  8.89 |  9.05 |  8.70 |  9.34 |  8.23 | 8.97 | 8.69 |  9.47 |  8.78 | 9.29 | 8.10 |  9.18 |  8.68 | 8.70 |  8.51 | 8.33 | 8.39 |
|         4 | 9.06 |  8.85 |  8.81 |  8.71 |  9.23 |  9.35 | 9.09 | 8.17 |  9.21 |  9.34 |  9.19 |  9.00 |  9.09 |  8.45 | 9.09 |  9.40 | 8.90 |  9.49 |  9.09 |  9.20 |  8.53 |  8.98 |  9.06 |  8.98 |  9.27 |  8.79 |  9.62 |  8.70 | 9.31 | 8.88 |  9.64 |  9.13 | 9.43 | 8.45 |  9.34 |  8.88 | 8.81 |  8.70 | 8.68 | 8.59 |
|         5 | 9.21 |  9.27 |  9.09 |  8.89 |  9.31 |  9.62 | 9.26 | 8.42 |  9.25 |  9.49 |  9.28 |  9.21 |  9.43 |  8.55 | 9.21 |  9.65 | 9.03 |  9.68 |  9.38 |  9.38 |  8.79 |  9.18 |  9.23 |  9.00 |  9.38 |  8.90 |  9.90 |  9.03 | 9.49 | 9.05 |  9.76 |  9.42 | 9.57 | 8.80 |  9.49 |  9.10 | 8.91 |  8.92 | 8.91 | 8.74 |
|         6 | 9.36 |  9.66 |  9.42 |  9.08 |  9.36 |  9.82 | 9.38 | 8.69 |  9.24 |  9.66 |  9.31 |  9.43 |  9.74 |  8.64 | 9.33 |  9.84 | 9.09 |  9.86 |  9.61 |  9.57 |  9.03 |  9.41 |  9.28 |  9.09 |  9.44 |  9.08 | 10.12 |  9.21 | 9.63 | 9.20 |  9.84 |  9.64 | 9.74 | 9.12 |  9.63 |  9.33 | 9.02 |  9.14 | 9.05 | 8.94 |
|         7 | 9.51 | 10.03 |  9.76 |  9.22 |  9.42 |  9.93 | 9.47 | 8.95 |  9.21 |  9.79 |  9.29 |  9.60 | 10.03 |  8.81 | 9.42 |  9.93 | 9.14 | 10.03 |  9.77 |  9.76 |  9.31 |  9.50 |  9.29 |  9.17 |  9.50 |  9.38 | 10.23 |  9.40 | 9.79 | 9.27 |  9.94 |  9.76 | 9.90 | 9.40 |  9.76 |  9.56 | 9.13 |  9.31 | 9.15 | 9.09 |
|         8 | 9.65 | 10.30 | 10.00 |  9.33 |  9.50 | 10.07 | 9.60 | 9.17 |  9.34 |  9.90 |  9.27 |  9.73 | 10.28 |  9.07 | 9.54 | 10.02 | 9.13 | 10.22 |  9.92 |  9.88 |  9.61 |  9.49 |  9.33 |  9.29 |  9.62 |  9.77 | 10.36 |  9.67 | 9.89 | 9.31 | 10.04 |  9.89 | 9.97 | 9.59 |  9.90 |  9.74 | 9.35 |  9.46 | 9.26 | 9.22 |
|         9 | 9.69 | 10.42 | 10.13 |  9.46 |  9.59 | 10.18 | 9.68 | 9.35 |  9.47 |  9.95 |  9.20 |  9.79 | 10.38 |  9.38 | 9.63 | 10.11 | 9.12 | 10.36 | 10.04 |  9.96 |  9.81 |  9.51 |  9.46 |  9.37 |  9.75 | 10.03 | 10.42 |  9.91 | 9.83 | 9.28 | 10.20 | 10.00 | 9.83 | 9.71 |  9.99 |  9.88 | 9.60 |  9.59 | 9.38 | 9.30 |
