# variable: Momentary Wind Speed at 10m
# units: km/h
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |    8 |    9 |    10 |    11 |   12 |    13 |    14 |    15 |    16 |    17 |    18 |   19 |    20 |    21 |    22 |    23 |    24 |   25 |   26 |    27 |    28 |    29 |    30 |   31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |   39 |   40 |
|         0 |  6.71 |  7.22 |  5.92 |  7.12 |  7.04 |  8.71 |  6.16 | 7.08 | 5.42 |  5.91 |  7.34 | 7.70 |  6.18 |  6.47 |  6.45 |  6.49 |  7.28 |  9.27 | 7.77 |  8.52 |  6.89 |  7.80 |  7.99 |  7.51 | 6.58 | 7.44 |  7.65 |  7.42 |  6.34 |  8.38 | 7.51 |  6.54 |  7.65 |  8.20 |  6.67 |  7.30 |  6.99 |  6.88 | 7.14 | 6.52 |
|         1 |  6.73 |  7.15 |  6.18 |  7.22 |  7.01 |  8.65 |  6.38 | 7.30 | 5.66 |  5.88 |  7.39 | 7.51 |  6.32 |  6.86 |  6.40 |  6.72 |  7.43 |  9.00 | 7.90 |  8.32 |  7.13 |  8.07 |  8.10 |  7.43 | 6.79 | 7.45 |  7.79 |  7.64 |  6.40 |  8.37 | 7.35 |  6.80 |  7.50 |  7.95 |  6.81 |  7.66 |  7.13 |  6.98 | 7.33 | 6.43 |
|         2 |  6.50 |  6.66 |  5.89 |  7.13 |  6.69 |  8.24 |  6.09 | 7.03 | 5.14 |  5.48 |  6.86 | 7.07 |  5.96 |  6.91 |  5.77 |  6.39 |  7.07 |  8.26 | 7.70 |  7.50 |  6.58 |  7.83 |  7.70 |  7.00 | 6.52 | 6.84 |  7.27 |  7.34 |  5.87 |  7.89 | 6.73 |  6.50 |  6.74 |  7.25 |  6.18 |  7.30 |  6.58 |  6.50 | 7.15 | 5.96 |
|         3 |  6.31 |  5.96 |  5.67 |  7.11 |  6.54 |  7.81 |  6.05 | 6.88 | 4.91 |  5.06 |  6.48 | 6.63 |  5.96 |  7.03 |  5.41 |  5.90 |  6.69 |  7.17 | 7.30 |  6.67 |  6.39 |  7.57 |  7.42 |  6.40 | 6.04 | 6.41 |  7.14 |  7.14 |  5.21 |  7.55 | 5.98 |  6.11 |  5.87 |  6.40 |  5.82 |  6.97 |  6.25 |  6.29 | 7.04 | 5.80 |
|         4 |  6.13 |  5.27 |  5.36 |  7.01 |  6.29 |  7.01 |  5.99 | 6.74 | 4.73 |  4.83 |  5.87 | 5.75 |  5.87 |  6.95 |  5.31 |  5.26 |  6.06 |  5.90 | 6.49 |  5.99 |  6.14 |  7.43 |  7.01 |  5.86 | 5.69 | 6.02 |  6.87 |  6.58 |  4.45 |  7.19 | 5.53 |  5.74 |  5.27 |  5.45 |  5.31 |  6.63 |  5.74 |  5.75 | 6.67 | 5.57 |
|         5 |  6.01 |  4.85 |  5.11 |  6.77 |  5.99 |  6.21 |  5.74 | 6.31 | 4.89 |  4.50 |  5.47 | 5.03 |  5.41 |  6.42 |  5.09 |  4.87 |  5.33 |  5.32 | 5.81 |  5.54 |  6.15 |  6.96 |  6.80 |  5.16 | 5.33 | 5.62 |  6.30 |  6.04 |  3.92 |  6.31 | 5.47 |  5.33 |  4.59 |  4.93 |  4.64 |  6.10 |  5.21 |  5.50 | 6.14 | 5.19 |
|         6 |  5.61 |  4.57 |  4.67 |  6.26 |  5.54 |  5.97 |  5.27 | 5.84 | 5.20 |  4.01 |  5.14 | 4.71 |  4.75 |  5.70 |  4.83 |  4.34 |  4.61 |  5.06 | 5.09 |  5.47 |  6.01 |  6.59 |  6.54 |  4.30 | 4.65 | 4.89 |  5.67 |  5.05 |  3.32 |  5.50 | 5.19 |  4.81 |  3.53 |  5.06 |  4.05 |  5.55 |  4.67 |  5.10 | 5.56 | 4.66 |
|         7 |  4.69 |  3.70 |  3.81 |  5.34 |  4.65 |  5.46 |  4.09 | 4.87 | 4.76 |  3.16 |  4.52 | 4.13 |  3.73 |  4.37 |  4.11 |  3.39 |  3.83 |  3.91 | 4.45 |  5.06 |  5.16 |  5.80 |  5.81 |  3.44 | 3.76 | 3.73 |  4.81 |  3.72 |  2.38 |  4.79 | 4.29 |  4.26 |  2.65 |  4.54 |  3.08 |  4.79 |  3.55 |  4.28 | 4.85 | 4.17 |
|         8 |  4.30 |  3.31 |  3.58 |  6.24 |  3.97 |  6.00 |  3.22 | 4.57 | 5.00 |  2.67 |  4.15 | 4.73 |  3.02 |  3.81 |  3.75 |  2.86 |  3.33 |  3.47 | 3.89 |  5.07 |  4.47 |  6.04 |  6.53 |  2.48 | 3.00 | 2.73 |  3.84 |  2.94 |  2.05 |  5.06 | 3.85 |  3.38 |  2.27 |  5.13 |  3.04 |  4.16 |  2.76 |  3.26 | 4.07 | 3.89 |
|         9 |  6.81 |  4.52 |  4.67 |  7.72 |  7.24 |  6.91 |  4.81 | 6.20 | 7.33 |  4.79 |  8.04 | 6.01 |  5.32 |  6.10 |  5.46 |  5.19 |  6.66 |  5.82 | 7.11 |  6.70 |  7.34 |  6.82 |  8.35 |  4.40 | 6.03 | 4.87 |  7.13 |  4.91 |  3.32 |  6.16 | 5.97 |  5.88 |  3.91 |  6.80 |  5.19 |  6.35 |  5.57 |  5.55 | 6.79 | 5.65 |
|        10 |  4.94 |  3.27 |  3.39 |  7.62 |  6.94 |  6.00 |  3.78 | 5.67 | 6.41 |  4.66 |  8.37 | 5.49 |  5.79 |  6.20 |  5.01 |  3.86 |  6.10 |  5.42 | 5.68 |  6.11 |  5.58 |  6.11 |  7.74 |  2.68 | 5.13 | 3.02 |  6.05 |  4.17 |  2.75 |  5.67 | 4.28 |  3.68 |  3.80 |  5.31 |  4.43 |  5.23 |  4.25 |  4.59 | 5.57 | 4.54 |
|        11 |  3.84 |  2.11 |  2.93 |  7.21 |  6.25 |  5.29 |  3.56 | 5.26 | 6.18 |  4.36 |  8.05 | 4.61 |  5.95 |  5.86 |  4.27 |  3.07 |  6.01 |  5.73 | 4.37 |  5.14 |  3.93 |  5.38 |  6.73 |  1.51 | 4.64 | 1.93 |  5.04 |  2.63 |  2.50 |  5.73 | 2.56 |  2.03 |  4.38 |  3.13 |  3.77 |  4.07 |  3.51 |  4.11 | 3.97 | 3.59 |
|        12 |  3.34 |  1.30 |  1.88 |  5.68 |  4.69 |  3.74 |  3.25 | 4.19 | 5.23 |  3.69 |  6.12 | 2.93 |  4.78 |  4.75 |  2.80 |  2.42 |  5.43 |  4.54 | 3.30 |  4.18 |  2.52 |  4.08 |  4.10 |  1.11 | 3.66 | 0.84 |  2.98 |  0.52 |  2.13 |  5.18 | 0.64 |  0.96 |  4.25 |  1.40 |  3.17 |  3.31 |  2.18 |  3.10 | 2.31 | 2.45 |
|        13 |  2.72 |  1.66 |  1.96 |  4.39 |  3.90 |  2.54 |  3.73 | 4.27 | 4.66 |  3.82 |  4.70 | 1.76 |  4.13 |  2.75 |  1.89 |  2.42 |  4.93 |  4.20 | 2.92 |  4.02 |  1.83 |  3.01 |  1.84 |  1.82 | 3.09 | 0.44 |  2.42 |  0.13 |  2.10 |  4.03 | 0.74 |  0.57 |  3.01 |  0.58 |  2.26 |  2.72 |  2.18 |  2.52 | 1.81 | 2.06 |
|        14 |  1.62 |  2.29 |  2.30 |  2.60 |  3.03 |  3.00 |  3.36 | 4.05 | 2.70 |  2.22 |  4.19 | 0.54 |  2.52 |  0.69 |  0.21 |  2.06 |  3.38 |  3.51 | 2.69 |  2.87 |  2.95 |  2.46 |  1.00 |  1.76 | 2.04 | 0.26 |  2.20 |  1.41 |  3.09 |  1.76 | 1.79 |  1.38 |  2.72 |  0.94 |  1.30 |  2.07 |  1.76 |  1.91 | 2.14 | 1.77 |
|        15 |  1.69 |  2.18 |  2.67 |  1.28 |  2.82 |  3.34 |  3.04 | 2.90 | 0.79 |  2.02 |  2.13 | 0.64 |  1.96 |  0.94 |  0.72 |  1.65 |  2.43 |  2.80 | 2.10 |  1.41 |  3.91 |  2.22 |  0.86 |  1.33 | 2.46 | 1.31 |  1.48 |  1.86 |  2.69 |  0.46 | 2.66 |  1.09 |  2.54 |  0.34 |  0.70 |  1.18 |  1.73 |  1.62 | 2.25 | 1.75 |
|        16 |  2.28 |  3.05 |  2.74 |  2.25 |  3.00 |  3.06 |  3.34 | 3.21 | 1.13 |  2.14 |  2.03 | 0.61 |  2.28 |  2.23 |  1.25 |  1.61 |  2.31 |  2.48 | 2.59 |  2.24 |  3.34 |  3.05 |  1.40 |  1.60 | 2.05 | 1.27 |  1.91 |  2.13 |  2.40 |  1.08 | 2.41 |  0.31 |  2.33 |  1.75 |  0.93 |  1.85 |  2.10 |  1.73 | 2.78 | 2.29 |
|        17 |  1.88 |  2.65 |  2.17 |  2.40 |  2.84 |  2.58 |  2.36 | 2.03 | 0.52 |  0.72 |  2.61 | 0.79 |  2.16 |  1.09 |  1.01 |  1.95 |  0.69 |  2.40 | 0.83 |  1.29 |  3.13 |  1.55 |  1.20 |  0.72 | 1.32 | 2.46 |  0.77 |  2.99 |  1.59 |  1.15 | 1.58 |  0.66 |  1.46 |  2.49 |  0.47 |  0.49 |  1.55 |  1.22 | 2.24 | 0.97 |
|        18 |  0.71 |  1.19 |  1.01 |  3.09 |  1.49 |  1.44 |  0.26 | 0.56 | 1.33 |  1.11 |  1.85 | 1.00 |  1.09 |  1.44 |  2.21 |  0.78 |  1.06 |  1.51 | 0.24 |  1.12 |  1.91 |  0.26 |  0.89 |  0.62 | 1.29 | 1.43 |  0.43 |  2.27 |  1.34 |  1.69 | 0.84 |  1.10 |  1.63 |  0.39 |  0.35 |  2.02 |  1.57 |  0.52 | 1.51 | 1.35 |
|        19 |  1.73 |  0.90 |  0.50 |  3.10 |  1.08 |  0.88 |  1.04 | 0.96 | 1.76 |  0.69 |  2.31 | 1.48 |  1.26 |  0.31 |  0.97 |  0.19 |  1.47 |  0.40 | 0.51 |  1.90 |  1.50 |  0.90 |  1.29 |  0.89 | 0.43 | 0.64 |  1.72 |  0.49 |  0.06 |  2.41 | 0.51 |  0.29 |  1.40 |  0.27 |  0.85 |  0.95 |  0.77 |  0.72 | 0.89 | 1.86 |
|        20 |  1.64 |  1.25 |  1.75 |  3.16 |  0.90 |  1.98 |  1.11 | 2.36 | 1.71 |  0.59 |  3.00 | 1.14 |  2.06 |  0.61 |  0.94 |  1.05 |  0.84 |  0.93 | 1.55 |  2.67 |  2.16 |  0.92 |  1.67 |  1.63 | 0.98 | 1.53 |  1.62 |  1.48 |  0.76 |  2.22 | 2.05 |  0.46 |  2.23 |  0.60 |  1.60 |  1.98 |  1.97 |  1.39 | 1.32 | 2.47 |
|        21 |  1.38 |  3.75 |  2.18 |  3.38 |  1.00 |  1.92 |  2.43 | 2.88 | 2.30 |  0.89 |  2.46 | 1.16 |  2.67 |  0.72 |  1.42 |  1.71 |  0.73 |  1.73 | 2.77 |  1.87 |  2.50 |  0.84 |  2.40 |  1.08 | 2.23 | 1.52 |  1.78 |  2.00 |  1.69 |  1.93 | 2.70 |  1.50 |  2.56 |  1.86 |  2.39 |  2.71 |  2.66 |  1.98 | 2.39 | 2.35 |
|        22 |  1.20 |  2.70 |  2.58 |  2.42 |  0.90 |  1.80 |  2.76 | 3.20 | 2.21 |  1.59 |  2.34 | 1.50 |  2.65 |  1.39 |  1.73 |  1.85 |  1.58 |  1.89 | 2.40 |  1.79 |  2.38 |  1.64 |  2.31 |  1.30 | 3.04 | 2.38 |  2.23 |  2.31 |  2.33 |  2.07 | 2.60 |  2.36 |  2.39 |  1.94 |  2.48 |  2.64 |  2.92 |  2.25 | 2.78 | 1.99 |
|        23 |  1.27 |  2.35 |  3.20 |  2.44 |  1.03 |  1.18 |  2.03 | 2.77 | 2.49 |  1.94 |  1.90 | 1.89 |  2.45 |  1.75 |  1.99 |  2.02 |  2.10 |  2.33 | 1.80 |  1.60 |  2.28 |  1.51 |  2.98 |  1.47 | 2.95 | 2.22 |  2.16 |  2.98 |  2.38 |  1.70 | 2.17 |  2.35 |  2.00 |  1.68 |  2.86 |  2.35 |  2.61 |  2.35 | 2.18 | 2.06 |
|        24 |  2.09 |  1.86 |  3.24 |  2.50 |  1.79 |  0.87 |  2.15 | 3.17 | 2.62 |  2.80 |  1.47 | 2.37 |  2.54 |  2.09 |  1.99 |  2.08 |  2.33 |  2.68 | 1.84 |  1.36 |  2.07 |  2.17 |  3.59 |  2.58 | 2.71 | 1.51 |  2.65 |  3.53 |  2.74 |  1.43 | 1.80 |  2.51 |  2.16 |  1.49 |  2.91 |  2.54 |  2.60 |  2.76 | 2.09 | 1.98 |
|        25 |  2.79 |  2.02 |  3.56 |  2.87 |  1.50 |  1.51 |  2.31 | 3.23 | 2.94 |  3.16 |  2.02 | 2.74 |  3.05 |  2.36 |  2.36 |  1.81 |  2.60 |  2.96 | 2.06 |  1.47 |  2.33 |  2.26 |  3.88 |  2.79 | 2.55 | 2.16 |  2.39 |  2.78 |  2.73 |  1.67 | 2.57 |  3.04 |  2.55 |  1.98 |  3.44 |  2.71 |  3.52 |  2.69 | 2.01 | 2.06 |
|        26 |  2.28 |  2.32 |  3.41 |  2.80 |  1.21 |  2.03 |  2.44 | 3.38 | 3.16 |  2.80 |  2.42 | 2.48 |  2.58 |  2.34 |  2.26 |  1.92 |  2.52 |  2.73 | 2.48 |  1.59 |  2.28 |  2.82 |  3.30 |  3.00 | 2.44 | 2.26 |  2.28 |  2.97 |  2.62 |  2.01 | 2.71 |  3.19 |  2.55 |  2.85 |  3.76 |  2.86 |  3.17 |  2.98 | 2.35 | 2.52 |
|        27 |  2.66 |  2.64 |  3.58 |  2.86 |  1.21 |  2.17 |  2.38 | 3.62 | 3.12 |  2.09 |  2.42 | 2.89 |  2.59 |  2.80 |  2.54 |  2.13 |  2.46 |  2.51 | 2.60 |  1.80 |  2.01 |  2.24 |  2.55 |  2.82 | 2.68 | 1.72 |  2.26 |  3.30 |  2.77 |  2.07 | 2.78 |  2.18 |  2.56 |  3.66 |  3.58 |  2.92 |  3.05 |  3.16 | 2.53 | 3.00 |
|        28 |  2.54 |  2.47 |  3.17 |  2.86 |  1.38 |  1.89 |  2.41 | 2.76 | 3.21 |  1.60 |  2.40 | 2.66 |  2.82 |  3.26 |  2.09 |  1.86 |  2.05 |  2.42 | 2.74 |  1.65 |  1.97 |  2.08 |  2.80 |  2.94 | 2.76 | 1.02 |  1.88 |  3.81 |  2.52 |  1.63 | 2.54 |  1.75 |  2.28 |  3.46 |  3.38 |  2.46 |  2.78 |  2.66 | 2.38 | 2.86 |
|        29 |  2.32 |  2.66 |  2.53 |  3.29 |  1.03 |  2.29 |  2.14 | 2.37 | 3.07 |  2.19 |  2.63 | 2.97 |  2.23 |  3.09 |  2.11 |  1.99 |  2.57 |  2.70 | 2.97 |  1.99 |  1.93 |  2.35 |  3.23 |  3.02 | 2.44 | 0.76 |  1.99 |  4.06 |  2.75 |  1.54 | 2.71 |  1.86 |  2.77 |  3.22 |  3.07 |  2.80 |  2.61 |  2.83 | 2.64 | 2.80 |
|        30 |  2.08 |  3.15 |  1.49 |  3.38 |  0.75 |  1.77 |  1.94 | 1.99 | 3.32 |  2.38 |  2.00 | 2.75 |  1.89 |  2.70 |  1.76 |  2.15 |  2.15 |  2.27 | 2.86 |  1.56 |  2.08 |  2.51 |  3.05 |  2.68 | 1.70 | 1.06 |  1.76 |  3.83 |  2.49 |  0.93 | 2.33 |  1.84 |  2.34 |  2.90 |  2.59 |  2.41 |  1.70 |  2.52 | 2.01 | 2.72 |
|        31 |  1.96 |  2.40 |  1.69 |  3.09 |  0.96 |  1.50 |  1.78 | 1.77 | 2.49 |  2.20 |  2.22 | 2.97 |  1.95 |  2.67 |  1.64 |  1.77 |  2.42 |  1.84 | 2.62 |  1.52 |  1.87 |  2.86 |  2.58 |  2.70 | 1.71 | 0.91 |  2.55 |  3.49 |  1.64 |  0.85 | 1.81 |  2.13 |  2.00 |  2.28 |  2.45 |  1.87 |  2.35 |  2.26 | 1.41 | 2.80 |
|        32 |  0.96 |  1.10 |  1.08 |  1.68 |  0.61 |  0.05 |  0.88 | 1.19 | 1.24 |  1.00 |  1.77 | 2.54 |  0.97 |  1.51 |  0.93 |  1.00 |  1.11 |  1.22 | 2.02 |  1.25 |  1.79 |  1.48 |  2.71 |  1.34 | 1.05 | 1.30 |  1.26 |  4.33 |  0.29 |  0.39 | 0.98 |  1.38 |  1.28 |  1.69 |  1.32 |  1.38 |  0.79 |  1.12 | 1.19 | 1.42 |
|        33 |  0.61 |  1.28 |  2.26 |  1.66 |  0.58 |  0.91 |  1.40 | 1.39 | 1.46 |  1.94 |  2.09 | 2.39 |  1.89 |  1.51 |  0.71 |  1.26 |  1.53 |  1.15 | 2.14 |  0.93 |  1.69 |  1.83 |  1.36 |  2.12 | 1.89 | 2.16 |  1.40 |  3.41 |  0.20 |  0.64 | 1.54 |  1.18 |  0.45 |  1.36 |  2.20 |  2.92 |  1.10 |  1.07 | 2.46 | 2.11 |
|        34 |  1.65 |  0.65 |  1.80 |  1.88 |  2.16 |  0.53 |  1.01 | 0.68 | 1.20 |  0.68 |  1.16 | 2.00 |  1.98 |  0.75 |  0.91 |  1.40 |  1.21 |  0.83 | 1.84 |  1.13 |  1.04 |  1.07 |  1.04 |  0.48 | 1.13 | 1.40 |  0.32 |  3.27 |  2.36 |  2.83 | 1.65 |  0.35 |  1.83 |  1.56 |  1.26 |  3.13 |  1.58 |  1.24 | 1.99 | 1.63 |
|        35 |  0.88 |  0.52 |  2.00 |  1.91 |  1.50 |  3.17 |  1.42 | 0.70 | 1.53 |  1.73 |  1.35 | 2.84 |  1.66 |  0.86 |  1.04 |  1.05 |  1.38 |  1.05 | 1.34 |  1.70 |  1.44 |  1.11 |  0.42 |  0.80 | 1.63 | 1.68 |  1.60 |  4.56 |  3.16 |  1.10 | 1.13 |  1.44 |  4.10 |  2.26 |  1.46 |  4.00 |  0.41 |  0.58 | 1.02 | 2.05 |
