# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |    1 |     2 |    3 |     4 |     5 |    6 |    7 |    8 |     9 |    10 |    11 |    12 |   13 |    14 |    15 |    16 |    17 |   18 |    19 |    20 |    21 |   22 |    23 |    24 |    25 |   26 |    27 |   28 |    29 |   30 |   31 |   32 |    33 |   34 |   35 |   36 |    37 |    38 |   39 |    40 |
|         0 | 8.94 |  9.12 | 9.23 |  9.06 |  8.72 | 9.20 | 9.04 | 9.01 |  9.04 |  8.27 |  9.62 |  9.10 | 9.22 |  8.17 |  7.96 |  8.66 |  8.98 | 9.57 |  8.82 |  9.67 |  9.48 | 9.19 |  8.72 |  8.66 |  9.65 | 8.86 |  8.46 | 9.53 |  8.21 | 9.60 | 7.30 | 8.98 |  8.59 | 8.99 | 8.89 | 8.90 |  9.53 |  8.84 | 8.63 |  8.27 |
|         1 | 8.79 |  9.07 | 9.18 |  8.45 |  8.38 | 9.21 | 8.86 | 8.77 |  8.93 |  8.17 |  9.11 |  8.87 | 9.18 |  7.99 |  7.87 |  8.50 |  8.71 | 9.17 |  8.39 |  9.57 |  9.35 | 8.93 |  8.85 |  8.11 |  9.37 | 8.84 |  8.01 | 9.30 |  8.18 | 9.58 | 7.12 | 8.87 |  8.12 | 8.67 | 8.65 | 8.74 |  9.04 |  8.80 | 8.61 |  7.88 |
|         2 | 8.29 |  8.93 | 8.99 |  7.88 |  7.81 | 8.96 | 8.37 | 8.28 |  8.68 |  7.93 |  8.53 |  8.62 | 8.96 |  7.61 |  7.69 |  7.97 |  8.19 | 8.59 |  7.84 |  9.14 |  9.04 | 8.21 |  8.99 |  7.42 |  8.83 | 8.43 |  7.27 | 9.03 |  7.96 | 9.41 | 6.80 | 8.52 |  7.57 | 8.16 | 8.47 | 8.37 |  8.47 |  8.63 | 8.41 |  7.10 |
|         3 | 7.73 |  8.83 | 8.76 |  7.30 |  7.51 | 8.75 | 7.79 | 7.73 |  8.14 |  7.73 |  8.04 |  8.38 | 8.68 |  7.28 |  7.42 |  7.63 |  7.73 | 8.13 |  7.35 |  8.52 |  8.51 | 7.86 |  9.04 |  6.92 |  8.42 | 8.16 |  6.70 | 8.63 |  7.53 | 9.33 | 6.49 | 8.42 |  7.26 | 7.57 | 8.18 | 7.94 |  8.01 |  8.46 | 8.12 |  6.57 |
|         4 | 7.18 |  8.40 | 8.21 |  6.89 |  7.38 | 8.20 | 7.14 | 6.94 |  7.66 |  7.35 |  7.72 |  8.25 | 8.27 |  7.12 |  6.92 |  7.34 |  7.22 | 7.64 |  6.79 |  8.00 |  7.94 | 7.64 |  8.89 |  6.67 |  7.94 | 7.71 |  6.35 | 8.09 |  6.88 | 9.00 | 6.15 | 8.13 |  6.99 | 6.84 | 7.77 | 7.26 |  7.48 |  8.16 | 7.65 |  6.08 |
|         5 | 7.03 |  8.07 | 7.83 |  6.82 |  7.29 | 7.60 | 6.64 | 6.64 |  7.39 |  7.37 |  7.70 |  8.06 | 7.89 |  7.17 |  6.47 |  7.48 |  6.96 | 7.44 |  6.65 |  7.77 |  7.67 | 7.81 |  8.50 |  6.70 |  7.70 | 7.08 |  6.41 | 7.75 |  6.49 | 8.64 | 6.17 | 7.86 |  6.77 | 6.27 | 7.48 | 6.93 |  7.31 |  8.07 | 7.34 |  5.97 |
|         6 | 7.08 |  7.52 | 7.47 |  6.60 |  6.93 | 7.10 | 6.17 | 6.52 |  7.25 |  7.15 |  7.50 |  7.73 | 7.29 |  7.16 |  6.26 |  7.58 |  6.91 | 7.43 |  6.58 |  7.48 |  7.44 | 7.80 |  7.89 |  6.83 |  7.56 | 6.27 |  6.35 | 7.40 |  6.13 | 8.41 | 5.99 | 7.59 |  6.25 | 5.62 | 7.29 | 6.67 |  6.98 |  7.83 | 6.85 |  5.97 |
|         7 | 7.16 |  7.10 | 7.17 |  6.40 |  6.63 | 6.84 | 5.79 | 6.50 |  7.17 |  6.75 |  7.37 |  7.40 | 6.83 |  7.05 |  6.18 |  7.52 |  6.64 | 7.19 |  6.21 |  7.22 |  7.30 | 7.56 |  7.55 |  6.60 |  7.33 | 5.83 |  6.23 | 7.33 |  5.84 | 8.07 | 5.66 | 7.36 |  5.64 | 5.26 | 7.17 | 6.30 |  6.56 |  7.64 | 6.36 |  6.01 |
|         8 | 6.89 |  6.64 | 6.76 |  6.19 |  6.47 | 6.22 | 5.39 | 6.01 |  7.17 |  6.47 |  7.10 |  7.13 | 6.35 |  6.70 |  5.74 |  7.10 |  6.40 | 7.00 |  5.80 |  7.11 |  6.81 | 7.21 |  6.90 |  6.37 |  6.83 | 5.48 |  6.10 | 7.07 |  5.44 | 7.72 | 5.26 | 6.93 |  5.21 | 5.01 | 6.99 | 5.90 |  6.56 |  7.45 | 5.98 |  6.08 |
|         9 | 6.63 |  6.24 | 6.44 |  5.78 |  6.13 | 6.05 | 5.20 | 5.67 |  6.97 |  6.03 |  6.93 |  6.90 | 5.83 |  6.19 |  5.39 |  6.64 |  6.07 | 6.76 |  5.65 |  6.77 |  6.36 | 6.88 |  6.30 |  6.36 |  6.36 | 5.02 |  6.05 | 6.59 |  5.15 | 7.50 | 4.56 | 6.73 |  5.03 | 4.95 | 6.67 | 5.75 |  6.17 |  7.19 | 5.66 |  5.92 |
