# variable: Momentary Wind Speed at 10m
# units: km/h
# 
| fcst_hour |     1 |    2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |   15 |    16 |    17 |    18 |    19 |    20 |    21 |   22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |   32 |    33 |   34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  3.46 | 2.56 |  2.11 |  3.17 |  2.40 |  3.89 |  2.19 |  1.54 |  2.88 |  3.38 |  2.88 |  2.51 |  2.95 |  2.88 | 2.48 |  0.82 |  2.76 |  1.96 |  3.11 |  2.67 |  1.56 | 3.51 |  4.70 |  2.47 |  3.29 |  2.93 |  1.93 |  2.94 |  2.04 |  1.28 |  3.70 | 3.21 |  3.51 | 3.03 |  3.95 |  3.10 |  2.26 |  2.81 |  2.42 |  1.61 |
|         1 |  3.01 | 2.39 |  2.09 |  2.43 |  2.71 |  3.23 |  2.13 |  0.87 |  2.68 |  2.96 |  2.42 |  2.61 |  2.85 |  2.72 | 2.19 |  1.07 |  2.55 |  1.83 |  3.45 |  2.16 |  1.27 | 2.92 |  4.02 |  2.21 |  2.98 |  2.37 |  2.26 |  3.29 |  2.05 |  0.80 |  3.27 | 2.75 |  3.24 | 2.17 |  4.09 |  3.04 |  2.34 |  2.38 |  2.29 |  1.80 |
|         2 |  3.79 | 3.34 |  2.68 |  3.07 |  3.34 |  3.44 |  2.78 |  1.45 |  3.08 |  3.09 |  2.76 |  2.42 |  3.43 |  3.22 | 2.76 |  2.66 |  3.24 |  3.00 |  3.88 |  1.84 |  2.59 | 3.22 |  3.80 |  2.70 |  3.13 |  2.70 |  3.28 |  3.73 |  2.88 |  1.92 |  3.72 | 2.80 |  3.42 | 2.55 |  4.18 |  3.32 |  3.11 |  3.00 |  2.71 |  3.09 |
|         3 |  4.47 | 3.53 |  3.07 |  3.46 |  3.88 |  3.59 |  3.48 |  2.95 |  4.44 |  3.53 |  3.09 |  3.40 |  3.51 |  3.66 | 3.59 |  2.96 |  3.47 |  3.50 |  3.95 |  2.21 |  3.26 | 3.57 |  4.21 |  2.97 |  3.77 |  2.75 |  3.90 |  4.55 |  3.27 |  2.03 |  3.75 | 3.21 |  3.59 | 3.40 |  4.13 |  4.05 |  3.43 |  2.96 |  2.78 |  3.52 |
|         4 |  4.45 | 3.55 |  3.06 |  3.28 |  3.60 |  3.07 |  3.47 |  3.58 |  4.17 |  3.63 |  2.99 |  3.03 |  3.13 |  3.78 | 3.69 |  3.03 |  4.03 |  2.75 |  4.14 |  2.42 |  3.78 | 3.42 |  4.04 |  3.16 |  3.83 |  2.92 |  4.04 |  4.24 |  3.50 |  2.73 |  3.34 | 2.74 |  3.27 | 3.55 |  3.77 |  3.60 |  3.57 |  3.41 |  2.83 |  3.77 |
|         5 |  3.89 | 3.12 |  3.63 |  3.16 |  3.60 |  3.21 |  3.45 |  3.51 |  4.32 |  3.12 |  2.90 |  3.31 |  3.08 |  3.61 | 3.86 |  3.52 |  3.49 |  2.81 |  3.48 |  2.24 |  4.02 | 3.06 |  3.93 |  3.41 |  4.10 |  3.29 |  3.82 |  4.36 |  3.15 |  2.94 |  2.91 | 2.84 |  3.44 | 3.86 |  3.42 |  3.20 |  3.44 |  3.57 |  2.53 |  3.93 |
|         6 |  3.54 | 2.97 |  2.42 |  2.96 |  3.24 |  2.66 |  2.97 |  3.22 |  2.64 |  3.02 |  2.75 |  3.03 |  2.70 |  3.00 | 3.49 |  2.59 |  2.64 |  2.02 |  2.41 |  1.59 |  3.38 | 2.47 |  3.48 |  2.49 |  3.69 |  2.92 |  3.40 |  4.11 |  2.47 |  2.21 |  2.44 | 1.96 |  3.10 | 3.38 |  2.58 |  2.70 |  2.81 |  2.89 |  2.14 |  3.46 |
|         7 |  2.75 | 2.49 |  2.11 |  2.66 |  2.34 |  2.29 |  2.35 |  2.36 |  2.47 |  2.24 |  2.19 |  3.21 |  2.77 |  2.43 | 3.00 |  2.46 |  2.79 |  2.02 |  2.28 |  2.04 |  2.88 | 2.09 |  3.05 |  2.63 |  3.38 |  2.37 |  2.81 |  3.14 |  2.48 |  2.73 |  1.92 | 2.05 |  2.88 | 2.72 |  2.48 |  2.60 |  3.05 |  2.38 |  1.83 |  2.37 |
|         8 |  1.68 | 1.49 |  1.37 |  1.24 |  1.52 |  2.44 |  1.16 |  2.26 |  1.13 |  0.96 |  1.44 |  2.33 |  1.41 |  1.47 | 2.76 |  1.27 |  1.63 |  1.51 |  1.16 |  1.11 |  1.97 | 1.49 |  2.30 |  1.17 |  2.35 |  1.43 |  1.33 |  2.63 |  2.65 |  1.73 |  1.27 | 1.11 |  1.82 | 1.78 |  0.73 |  1.42 |  1.27 |  1.18 |  0.84 |  1.01 |
|         9 |  2.04 | 2.41 |  1.95 |  2.54 |  2.02 |  0.75 |  2.71 |  3.10 |  1.66 |  2.20 |  2.25 |  2.24 |  2.74 |  3.24 | 1.72 |  2.04 |  2.21 |  1.87 |  2.36 |  1.66 |  2.17 | 2.46 |  1.30 |  1.70 |  3.10 |  2.43 |  2.77 |  2.19 |  2.48 |  2.25 |  2.73 | 2.20 |  1.44 | 1.85 |  2.72 |  2.51 |  2.15 |  2.20 |  1.85 |  2.43 |
